Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.48847 Ccrux.Trinity.48847, Calvadosia_cruxmelitensis_Ccrux.Trinity.48848 Ccrux.Trinity.48848	Clytia_hemispherica_TCONS_00057330-protein TCONS_00057330-protein, Clytia_hemispherica_TCONS_00016953-protein TCONS_00016953-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.48835 Ccrux.Trinity.48835, Calvadosia_cruxmelitensis_Ccrux.Trinity.48834 Ccrux.Trinity.48834, Calvadosia_cruxmelitensis_Ccrux.Trinity.48839 Ccrux.Trinity.48839	Clytia_hemispherica_TCONS_00016956-protein TCONS_00016956-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.55911 Ccrux.Trinity.55911	Clytia_hemispherica_TCONS_00009629-protein TCONS_00009629-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.40217 Ccrux.Trinity.40217, Calvadosia_cruxmelitensis_Ccrux.Trinity.40213 Ccrux.Trinity.40213	Clytia_hemispherica_TCONS_00020927-protein TCONS_00020927-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.32954 Ccrux.Trinity.32954, Calvadosia_cruxmelitensis_Ccrux.Trinity.32955 Ccrux.Trinity.32955, Calvadosia_cruxmelitensis_Ccrux.Trinity.32953 Ccrux.Trinity.32953, Calvadosia_cruxmelitensis_Ccrux.Trinity.32959 Ccrux.Trinity.32959, Calvadosia_cruxmelitensis_Ccrux.Trinity.32958 Ccrux.Trinity.32958, Calvadosia_cruxmelitensis_Ccrux.Trinity.32957 Ccrux.Trinity.32957	Clytia_hemispherica_TCONS_00003803-protein TCONS_00003803-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.14603 Ccrux.Trinity.14603, Calvadosia_cruxmelitensis_Ccrux.Trinity.14608 Ccrux.Trinity.14608, Calvadosia_cruxmelitensis_Ccrux.Trinity.14604 Ccrux.Trinity.14604, Calvadosia_cruxmelitensis_Ccrux.Trinity.14605 Ccrux.Trinity.14605, Calvadosia_cruxmelitensis_Ccrux.Trinity.14607 Ccrux.Trinity.14607, Calvadosia_cruxmelitensis_Ccrux.Trinity.58543 Ccrux.Trinity.58543	Clytia_hemispherica_TCONS_00067913-protein TCONS_00067913-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.66350 Ccrux.Trinity.66350	Clytia_hemispherica_TCONS_00040020-protein TCONS_00040020-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.13790 Ccrux.Trinity.13790, Calvadosia_cruxmelitensis_Ccrux.Trinity.58446 Ccrux.Trinity.58446	Clytia_hemispherica_TCONS_00062091-protein TCONS_00062091-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.39956 Ccrux.Trinity.39956, Calvadosia_cruxmelitensis_Ccrux.Trinity.39954 Ccrux.Trinity.39954	Clytia_hemispherica_TCONS_00011304-protein TCONS_00011304-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.24841 Ccrux.Trinity.24841	Clytia_hemispherica_TCONS_00043373-protein TCONS_00043373-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.55054 Ccrux.Trinity.55054	Clytia_hemispherica_TCONS_00032821-protein TCONS_00032821-protein, Clytia_hemispherica_TCONS_00054066-protein TCONS_00054066-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.41879 Ccrux.Trinity.41879, Calvadosia_cruxmelitensis_Ccrux.Trinity.41880 Ccrux.Trinity.41880, Calvadosia_cruxmelitensis_Ccrux.Trinity.17494 Ccrux.Trinity.17494, Calvadosia_cruxmelitensis_Ccrux.Trinity.17496 Ccrux.Trinity.17496, Calvadosia_cruxmelitensis_Ccrux.Trinity.17495 Ccrux.Trinity.17495	Clytia_hemispherica_TCONS_00071884-protein TCONS_00071884-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.34800 Ccrux.Trinity.34800	Clytia_hemispherica_TCONS_00021585-protein TCONS_00021585-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.57509 Ccrux.Trinity.57509, Calvadosia_cruxmelitensis_Ccrux.Trinity.15276 Ccrux.Trinity.15276, Calvadosia_cruxmelitensis_Ccrux.Trinity.56932 Ccrux.Trinity.56932	Clytia_hemispherica_TCONS_00065680-protein TCONS_00065680-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.58651 Ccrux.Trinity.58651, Calvadosia_cruxmelitensis_Ccrux.Trinity.24655 Ccrux.Trinity.24655, Calvadosia_cruxmelitensis_Ccrux.Trinity.24658 Ccrux.Trinity.24658	Clytia_hemispherica_TCONS_00042536-protein TCONS_00042536-protein, Clytia_hemispherica_TCONS_00008538-protein TCONS_00008538-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.59111 Ccrux.Trinity.59111	Clytia_hemispherica_TCONS_00073219-protein TCONS_00073219-protein, Clytia_hemispherica_TCONS_00070803-protein TCONS_00070803-protein, Clytia_hemispherica_TCONS_00070795-protein TCONS_00070795-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.3684 Ccrux.Trinity.3684	Clytia_hemispherica_TCONS_00022855-protein TCONS_00022855-protein, Clytia_hemispherica_TCONS_00064167-protein TCONS_00064167-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.45764 Ccrux.Trinity.45764, Calvadosia_cruxmelitensis_Ccrux.Trinity.45772 Ccrux.Trinity.45772, Calvadosia_cruxmelitensis_Ccrux.Trinity.45763 Ccrux.Trinity.45763	Clytia_hemispherica_TCONS_00050254-protein TCONS_00050254-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.32463 Ccrux.Trinity.32463, Calvadosia_cruxmelitensis_Ccrux.Trinity.32462 Ccrux.Trinity.32462, Calvadosia_cruxmelitensis_Ccrux.Trinity.32461 Ccrux.Trinity.32461, Calvadosia_cruxmelitensis_Ccrux.Trinity.32465 Ccrux.Trinity.32465	Clytia_hemispherica_TCONS_00006687-protein TCONS_00006687-protein, Clytia_hemispherica_TCONS_00010430-protein TCONS_00010430-protein, Clytia_hemispherica_TCONS_00010066-protein TCONS_00010066-protein, Clytia_hemispherica_TCONS_00010069-protein TCONS_00010069-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.71377 Ccrux.Trinity.71377, Calvadosia_cruxmelitensis_Ccrux.Trinity.31757 Ccrux.Trinity.31757, Calvadosia_cruxmelitensis_Ccrux.Trinity.14634 Ccrux.Trinity.14634, Calvadosia_cruxmelitensis_Ccrux.Trinity.11443 Ccrux.Trinity.11443, Calvadosia_cruxmelitensis_Ccrux.Trinity.63196 Ccrux.Trinity.63196, Calvadosia_cruxmelitensis_Ccrux.Trinity.57071 Ccrux.Trinity.57071, Calvadosia_cruxmelitensis_Ccrux.Trinity.69270 Ccrux.Trinity.69270, Calvadosia_cruxmelitensis_Ccrux.Trinity.68015 Ccrux.Trinity.68015, Calvadosia_cruxmelitensis_Ccrux.Trinity.6255 Ccrux.Trinity.6255	Clytia_hemispherica_TCONS_00050250-protein TCONS_00050250-protein
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.5848 Ccrux.Trinity.5848, Calvadosia_cruxmelitensis_Ccrux.Trinity.5849 Ccrux.Trinity.5849	Clytia_hemispherica_TCONS_00030562-protein TCONS_00030562-protein, Clytia_hemispherica_TCONS_00070450-protein TCONS_00070450-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.16460 Ccrux.Trinity.16460, Calvadosia_cruxmelitensis_Ccrux.Trinity.16459 Ccrux.Trinity.16459, Calvadosia_cruxmelitensis_Ccrux.Trinity.16464 Ccrux.Trinity.16464, Calvadosia_cruxmelitensis_Ccrux.Trinity.16465 Ccrux.Trinity.16465, Calvadosia_cruxmelitensis_Ccrux.Trinity.16461 Ccrux.Trinity.16461	Clytia_hemispherica_TCONS_00059665-protein TCONS_00059665-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.73549 Ccrux.Trinity.73549	Clytia_hemispherica_TCONS_00052747-protein TCONS_00052747-protein, Clytia_hemispherica_TCONS_00021064-protein TCONS_00021064-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.62416 Ccrux.Trinity.62416	Clytia_hemispherica_TCONS_00003294-protein TCONS_00003294-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.8190 Ccrux.Trinity.8190, Calvadosia_cruxmelitensis_Ccrux.Trinity.8191 Ccrux.Trinity.8191	Clytia_hemispherica_TCONS_00064671-protein TCONS_00064671-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.63471 Ccrux.Trinity.63471	Clytia_hemispherica_TCONS_00043994-protein TCONS_00043994-protein, Clytia_hemispherica_TCONS_00008792-protein TCONS_00008792-protein, Clytia_hemispherica_TCONS_00060110-protein TCONS_00060110-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.55921 Ccrux.Trinity.55921	Clytia_hemispherica_TCONS_00048264-protein TCONS_00048264-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.60980 Ccrux.Trinity.60980	Clytia_hemispherica_TCONS_00044056-protein TCONS_00044056-protein, Clytia_hemispherica_TCONS_00006800-protein TCONS_00006800-protein, Clytia_hemispherica_TCONS_00067484-protein TCONS_00067484-protein, Clytia_hemispherica_TCONS_00053707-protein TCONS_00053707-protein, Clytia_hemispherica_TCONS_00018684-protein TCONS_00018684-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.15969 Ccrux.Trinity.15969	Clytia_hemispherica_TCONS_00001968-protein TCONS_00001968-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.15495 Ccrux.Trinity.15495	Clytia_hemispherica_TCONS_00047185-protein TCONS_00047185-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.3563 Ccrux.Trinity.3563, Calvadosia_cruxmelitensis_Ccrux.Trinity.3561 Ccrux.Trinity.3561, Calvadosia_cruxmelitensis_Ccrux.Trinity.3565 Ccrux.Trinity.3565	Clytia_hemispherica_TCONS_00020411-protein TCONS_00020411-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.62691 Ccrux.Trinity.62691, Calvadosia_cruxmelitensis_Ccrux.Trinity.8809 Ccrux.Trinity.8809	Clytia_hemispherica_TCONS_00063107-protein TCONS_00063107-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.67573 Ccrux.Trinity.67573	Clytia_hemispherica_TCONS_00005662-protein TCONS_00005662-protein, Clytia_hemispherica_TCONS_00036482-protein TCONS_00036482-protein, Clytia_hemispherica_TCONS_00036492-protein TCONS_00036492-protein
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.72435 Ccrux.Trinity.72435	Clytia_hemispherica_TCONS_00002699-protein TCONS_00002699-protein
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.25633 Ccrux.Trinity.25633	Clytia_hemispherica_TCONS_00048850-protein TCONS_00048850-protein
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.63276 Ccrux.Trinity.63276, Calvadosia_cruxmelitensis_Ccrux.Trinity.26918 Ccrux.Trinity.26918, Calvadosia_cruxmelitensis_Ccrux.Trinity.15452 Ccrux.Trinity.15452	Clytia_hemispherica_TCONS_00071535-protein TCONS_00071535-protein, Clytia_hemispherica_TCONS_00071269-protein TCONS_00071269-protein, Clytia_hemispherica_TCONS_00071536-protein TCONS_00071536-protein, Clytia_hemispherica_TCONS_00070514-protein TCONS_00070514-protein
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.59759 Ccrux.Trinity.59759	Clytia_hemispherica_TCONS_00015570-protein TCONS_00015570-protein, Clytia_hemispherica_TCONS_00032641-protein TCONS_00032641-protein, Clytia_hemispherica_TCONS_00005919-protein TCONS_00005919-protein, Clytia_hemispherica_TCONS_00070512-protein TCONS_00070512-protein
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.17732 Ccrux.Trinity.17732	Clytia_hemispherica_TCONS_00060279-protein TCONS_00060279-protein
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.58799 Ccrux.Trinity.58799	Clytia_hemispherica_TCONS_00005832-protein TCONS_00005832-protein
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.53258 Ccrux.Trinity.53258, Calvadosia_cruxmelitensis_Ccrux.Trinity.16828 Ccrux.Trinity.16828	Clytia_hemispherica_TCONS_00025069-protein TCONS_00025069-protein
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.24893 Ccrux.Trinity.24893	Clytia_hemispherica_TCONS_00029812-protein TCONS_00029812-protein
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.28659 Ccrux.Trinity.28659, Calvadosia_cruxmelitensis_Ccrux.Trinity.28658 Ccrux.Trinity.28658	Clytia_hemispherica_TCONS_00053426-protein TCONS_00053426-protein
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.53571 Ccrux.Trinity.53571	Clytia_hemispherica_TCONS_00067398-protein TCONS_00067398-protein
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.33371 Ccrux.Trinity.33371	Clytia_hemispherica_TCONS_00068125-protein TCONS_00068125-protein, Clytia_hemispherica_TCONS_00059198-protein TCONS_00059198-protein
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.9483 Ccrux.Trinity.9483	Clytia_hemispherica_TCONS_00061976-protein TCONS_00061976-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.9020 Ccrux.Trinity.9020, Calvadosia_cruxmelitensis_Ccrux.Trinity.63285 Ccrux.Trinity.63285	Clytia_hemispherica_TCONS_00020465-protein TCONS_00020465-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.65603 Ccrux.Trinity.65603	Clytia_hemispherica_TCONS_00072424-protein TCONS_00072424-protein, Clytia_hemispherica_TCONS_00046799-protein TCONS_00046799-protein, Clytia_hemispherica_TCONS_00059668-protein TCONS_00059668-protein, Clytia_hemispherica_TCONS_00072452-protein TCONS_00072452-protein, Clytia_hemispherica_TCONS_00056619-protein TCONS_00056619-protein, Clytia_hemispherica_TCONS_00035264-protein TCONS_00035264-protein, Clytia_hemispherica_TCONS_00036935-protein TCONS_00036935-protein, Clytia_hemispherica_TCONS_00069650-protein TCONS_00069650-protein, Clytia_hemispherica_TCONS_00011313-protein TCONS_00011313-protein, Clytia_hemispherica_TCONS_00002962-protein TCONS_00002962-protein, Clytia_hemispherica_TCONS_00024366-protein TCONS_00024366-protein, Clytia_hemispherica_TCONS_00057830-protein TCONS_00057830-protein, Clytia_hemispherica_TCONS_00024970-protein TCONS_00024970-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.18101 Ccrux.Trinity.18101	Clytia_hemispherica_TCONS_00073000-protein TCONS_00073000-protein, Clytia_hemispherica_TCONS_00073053-protein TCONS_00073053-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.30673 Ccrux.Trinity.30673, Calvadosia_cruxmelitensis_Ccrux.Trinity.30682 Ccrux.Trinity.30682, Calvadosia_cruxmelitensis_Ccrux.Trinity.30690 Ccrux.Trinity.30690, Calvadosia_cruxmelitensis_Ccrux.Trinity.30678 Ccrux.Trinity.30678	Clytia_hemispherica_TCONS_00009569-protein TCONS_00009569-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.13823 Ccrux.Trinity.13823	Clytia_hemispherica_TCONS_00002523-protein TCONS_00002523-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.5896 Ccrux.Trinity.5896, Calvadosia_cruxmelitensis_Ccrux.Trinity.5895 Ccrux.Trinity.5895	Clytia_hemispherica_TCONS_00000846-protein TCONS_00000846-protein, Clytia_hemispherica_TCONS_00007901-protein TCONS_00007901-protein, Clytia_hemispherica_TCONS_00004270-protein TCONS_00004270-protein, Clytia_hemispherica_TCONS_00016883-protein TCONS_00016883-protein, Clytia_hemispherica_TCONS_00057198-protein TCONS_00057198-protein, Clytia_hemispherica_TCONS_00048402-protein TCONS_00048402-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.51911 Ccrux.Trinity.51911, Calvadosia_cruxmelitensis_Ccrux.Trinity.13820 Ccrux.Trinity.13820, Calvadosia_cruxmelitensis_Ccrux.Trinity.13831 Ccrux.Trinity.13831	Clytia_hemispherica_TCONS_00006064-protein TCONS_00006064-protein, Clytia_hemispherica_TCONS_00052231-protein TCONS_00052231-protein, Clytia_hemispherica_TCONS_00051903-protein TCONS_00051903-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.15917 Ccrux.Trinity.15917	Clytia_hemispherica_TCONS_00027231-protein TCONS_00027231-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.56208 Ccrux.Trinity.56208, Calvadosia_cruxmelitensis_Ccrux.Trinity.64070 Ccrux.Trinity.64070	Clytia_hemispherica_TCONS_00071679-protein TCONS_00071679-protein, Clytia_hemispherica_TCONS_00027341-protein TCONS_00027341-protein, Clytia_hemispherica_TCONS_00071675-protein TCONS_00071675-protein, Clytia_hemispherica_TCONS_00071669-protein TCONS_00071669-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.52298 Ccrux.Trinity.52298, Calvadosia_cruxmelitensis_Ccrux.Trinity.19787 Ccrux.Trinity.19787	Clytia_hemispherica_TCONS_00005324-protein TCONS_00005324-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.24982 Ccrux.Trinity.24982	Clytia_hemispherica_TCONS_00035760-protein TCONS_00035760-protein, Clytia_hemispherica_TCONS_00017220-protein TCONS_00017220-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.70693 Ccrux.Trinity.70693, Calvadosia_cruxmelitensis_Ccrux.Trinity.57017 Ccrux.Trinity.57017	Clytia_hemispherica_TCONS_00071436-protein TCONS_00071436-protein
