Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.40612 Ccrux.Trinity.40612, Calvadosia_cruxmelitensis_Ccrux.Trinity.40613 Ccrux.Trinity.40613	Aurelia_aurita_Seg420.2 Seg420.2 transcript_id=Seg420.2_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg420.2_GoldUCD_D3Y31
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.47275 Ccrux.Trinity.47275, Calvadosia_cruxmelitensis_Ccrux.Trinity.47256 Ccrux.Trinity.47256, Calvadosia_cruxmelitensis_Ccrux.Trinity.47271 Ccrux.Trinity.47271, Calvadosia_cruxmelitensis_Ccrux.Trinity.47257 Ccrux.Trinity.47257, Calvadosia_cruxmelitensis_Ccrux.Trinity.47260 Ccrux.Trinity.47260, Calvadosia_cruxmelitensis_Ccrux.Trinity.47278 Ccrux.Trinity.47278, Calvadosia_cruxmelitensis_Ccrux.Trinity.47280 Ccrux.Trinity.47280	Aurelia_aurita_Seg2740.1 Seg2740.1 transcript_id=Seg2740.1_GoldUCD_mRNA.D3Y31 product="Down syndrome cell adhesion molecule-like" protein_id=Seg2740.1_GoldUCD_D3Y31
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.70507 Ccrux.Trinity.70507	Aurelia_aurita_Seg5700.1 Seg5700.1 transcript_id=Seg5700.1_GoldUCD_mRNA.D3Y31 product=Neogenin protein_id=Seg5700.1_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.2523 Ccrux.Trinity.2523, Calvadosia_cruxmelitensis_Ccrux.Trinity.2527 Ccrux.Trinity.2527, Calvadosia_cruxmelitensis_Ccrux.Trinity.2526 Ccrux.Trinity.2526	Aurelia_aurita_Seg253.20 Seg253.20 transcript_id=Seg253.20_GoldUCD_mRNA.D3Y31 product="60S ribosomal protein L4" pseudo=true protein_id=Seg253.20_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.26582 Ccrux.Trinity.26582	Aurelia_aurita_Seg234.2 Seg234.2 transcript_id=Seg234.2_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg234.2_GoldUCD_D3Y31
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.45522 Ccrux.Trinity.45522	Aurelia_aurita_Seg4371.3 Seg4371.3 transcript_id=Seg4371.3_GoldUCD_mRNA.D3Y31 product="Two-pore potassium channel 3" protein_id=Seg4371.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1226.1 Seg1226.1 transcript_id=Seg1226.1_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg1226.1_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.56437 Ccrux.Trinity.56437	Aurelia_aurita_Seg2178.5 Seg2178.5 transcript_id=Seg2178.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg2178.5_GoldUCD_D3Y31
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.29916 Ccrux.Trinity.29916, Calvadosia_cruxmelitensis_Ccrux.Trinity.29915 Ccrux.Trinity.29915	Aurelia_aurita_Seg95.8 Seg95.8 transcript_id=Seg95.8_GoldUCD_mRNA.D3Y31 product="Potassium voltage-gated channel protein Shaker" protein_id=Seg95.8_GoldUCD_D3Y31
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.60745 Ccrux.Trinity.60745, Calvadosia_cruxmelitensis_Ccrux.Trinity.61474 Ccrux.Trinity.61474	Aurelia_aurita_Seg894.7 Seg894.7 transcript_id=Seg894.7_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase S" protein_id=Seg894.7_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1454.6 Seg1454.6 transcript_id=Seg1454.6_GoldUCD_mRNA.D3Y31 product="Down syndrome cell adhesion molecule-like protein Dscam2" protein_id=Seg1454.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1759.9 Seg1759.9 transcript_id=Seg1759.9_GoldUCD_mRNA.D3Y31 product="Protein sidekick" protein_id=Seg1759.9_GoldUCD_D3Y31, Aurelia_aurita_Seg94.1 Seg94.1 transcript_id=Seg94.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg94.1_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.557 Ccrux.Trinity.557	Aurelia_aurita_Seg1780.8 Seg1780.8 transcript_id=Seg1780.8_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1780.8_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1780.6 Seg1780.6 transcript_id=Seg1780.6_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1780.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2689.8 Seg2689.8 transcript_id=Seg2689.8_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg2689.8_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1780.7 Seg1780.7 transcript_id=Seg1780.7_GoldUCD_mRNA.D3Y31 product=Contactin-1 protein_id=Seg1780.7_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.36147 Ccrux.Trinity.36147, Calvadosia_cruxmelitensis_Ccrux.Trinity.36145 Ccrux.Trinity.36145, Calvadosia_cruxmelitensis_Ccrux.Trinity.40282 Ccrux.Trinity.40282, Calvadosia_cruxmelitensis_Ccrux.Trinity.40281 Ccrux.Trinity.40281	Aurelia_aurita_Seg6442.1 Seg6442.1 transcript_id=Seg6442.1_GoldUCD_mRNA.D3Y31 product=Usherin protein_id=Seg6442.1_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.39089 Ccrux.Trinity.39089, Calvadosia_cruxmelitensis_Ccrux.Trinity.39088 Ccrux.Trinity.39088	Aurelia_aurita_Seg823.5 Seg823.5 transcript_id=Seg823.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-2" protein_id=Seg823.5_GoldUCD_D3Y31
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.52972 Ccrux.Trinity.52972	Aurelia_aurita_Seg359.1 Seg359.1 transcript_id=Seg359.1_GoldUCD_mRNA.D3Y31 product=Netrin-1 protein_id=Seg359.1_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.70250 Ccrux.Trinity.70250, Calvadosia_cruxmelitensis_Ccrux.Trinity.33425 Ccrux.Trinity.33425, Calvadosia_cruxmelitensis_Ccrux.Trinity.33423 Ccrux.Trinity.33423, Calvadosia_cruxmelitensis_Ccrux.Trinity.33422 Ccrux.Trinity.33422, Calvadosia_cruxmelitensis_Ccrux.Trinity.33427 Ccrux.Trinity.33427	Aurelia_aurita_Seg9198.1 Seg9198.1 transcript_id=Seg9198.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg9198.1_GoldUCD_D3Y31, Aurelia_aurita_Seg80.10 Seg80.10 transcript_id=Seg80.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.10_GoldUCD_D3Y31, Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.20012 Ccrux.Trinity.20012	Aurelia_aurita_Seg1698.10 Seg1698.10 transcript_id=Seg1698.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg1698.10_GoldUCD_D3Y31
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.14897 Ccrux.Trinity.14897, Calvadosia_cruxmelitensis_Ccrux.Trinity.14896 Ccrux.Trinity.14896, Calvadosia_cruxmelitensis_Ccrux.Trinity.1401 Ccrux.Trinity.1401	Aurelia_aurita_Seg592.14 Seg592.14 transcript_id=Seg592.14_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg592.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg519.5 Seg519.5 transcript_id=Seg519.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg519.5_GoldUCD_D3Y31 partial=true
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.40216 Ccrux.Trinity.40216, Calvadosia_cruxmelitensis_Ccrux.Trinity.40220 Ccrux.Trinity.40220, Calvadosia_cruxmelitensis_Ccrux.Trinity.40212 Ccrux.Trinity.40212, Calvadosia_cruxmelitensis_Ccrux.Trinity.40218 Ccrux.Trinity.40218	Aurelia_aurita_Seg3995.1 Seg3995.1 transcript_id=Seg3995.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-4 protein_id=Seg3995.1_GoldUCD_D3Y31
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.31667 Ccrux.Trinity.31667, Calvadosia_cruxmelitensis_Ccrux.Trinity.31685 Ccrux.Trinity.31685, Calvadosia_cruxmelitensis_Ccrux.Trinity.31670 Ccrux.Trinity.31670, Calvadosia_cruxmelitensis_Ccrux.Trinity.31689 Ccrux.Trinity.31689, Calvadosia_cruxmelitensis_Ccrux.Trinity.31661 Ccrux.Trinity.31661, Calvadosia_cruxmelitensis_Ccrux.Trinity.31686 Ccrux.Trinity.31686, Calvadosia_cruxmelitensis_Ccrux.Trinity.31662 Ccrux.Trinity.31662, Calvadosia_cruxmelitensis_Ccrux.Trinity.31663 Ccrux.Trinity.31663, Calvadosia_cruxmelitensis_Ccrux.Trinity.31672 Ccrux.Trinity.31672, Calvadosia_cruxmelitensis_Ccrux.Trinity.31680 Ccrux.Trinity.31680	Aurelia_aurita_Seg1739.10 Seg1739.10 transcript_id=Seg1739.10_GoldUCD_mRNA.D3Y31 product=Thrombospondin-2 protein_id=Seg1739.10_GoldUCD_D3Y31
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.55911 Ccrux.Trinity.55911	Aurelia_aurita_Seg770.1 Seg770.1 transcript_id=Seg770.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-3b protein_id=Seg770.1_GoldUCD_D3Y31
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.32954 Ccrux.Trinity.32954, Calvadosia_cruxmelitensis_Ccrux.Trinity.32955 Ccrux.Trinity.32955, Calvadosia_cruxmelitensis_Ccrux.Trinity.32953 Ccrux.Trinity.32953, Calvadosia_cruxmelitensis_Ccrux.Trinity.32959 Ccrux.Trinity.32959, Calvadosia_cruxmelitensis_Ccrux.Trinity.32958 Ccrux.Trinity.32958, Calvadosia_cruxmelitensis_Ccrux.Trinity.32957 Ccrux.Trinity.32957	Aurelia_aurita_Seg3230.1 Seg3230.1 transcript_id=Seg3230.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg3230.1_GoldUCD_D3Y31 partial=true
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.14603 Ccrux.Trinity.14603, Calvadosia_cruxmelitensis_Ccrux.Trinity.14608 Ccrux.Trinity.14608, Calvadosia_cruxmelitensis_Ccrux.Trinity.14604 Ccrux.Trinity.14604, Calvadosia_cruxmelitensis_Ccrux.Trinity.14605 Ccrux.Trinity.14605, Calvadosia_cruxmelitensis_Ccrux.Trinity.14607 Ccrux.Trinity.14607, Calvadosia_cruxmelitensis_Ccrux.Trinity.58543 Ccrux.Trinity.58543, Calvadosia_cruxmelitensis_Ccrux.Trinity.66350 Ccrux.Trinity.66350	Aurelia_aurita_Seg1454.5 Seg1454.5 transcript_id=Seg1454.5_GoldUCD_mRNA.D3Y31 product=SCO-spondin protein_id=Seg1454.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3614.3 Seg3614.3 transcript_id=Seg3614.3_GoldUCD_mRNA.D3Y31 product=Thrombospondin-2 protein_id=Seg3614.3_GoldUCD_D3Y31 partial=true
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.13790 Ccrux.Trinity.13790, Calvadosia_cruxmelitensis_Ccrux.Trinity.58446 Ccrux.Trinity.58446	Aurelia_aurita_Seg1202.19 Seg1202.19 transcript_id=Seg1202.19_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1202.19_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1738.7 Seg1738.7 transcript_id=Seg1738.7_GoldUCD_mRNA.D3Y31 product=Spondin-1 protein_id=Seg1738.7_GoldUCD_D3Y31
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.67308 Ccrux.Trinity.67308, Calvadosia_cruxmelitensis_Ccrux.Trinity.15392 Ccrux.Trinity.15392	Aurelia_aurita_Seg3688.1 Seg3688.1 transcript_id=Seg3688.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg3688.1_GoldUCD_D3Y31 partial=true
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.61686 Ccrux.Trinity.61686, Calvadosia_cruxmelitensis_Ccrux.Trinity.54088 Ccrux.Trinity.54088	Aurelia_aurita_Seg1153.2 Seg1153.2 transcript_id=Seg1153.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1153.2_GoldUCD_D3Y31 partial=true
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.55054 Ccrux.Trinity.55054	Aurelia_aurita_Seg4543.1 Seg4543.1 transcript_id=Seg4543.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg4543.1_GoldUCD_D3Y31 partial=true
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.25901 Ccrux.Trinity.25901, Calvadosia_cruxmelitensis_Ccrux.Trinity.65483 Ccrux.Trinity.65483, Calvadosia_cruxmelitensis_Ccrux.Trinity.65484 Ccrux.Trinity.65484	Aurelia_aurita_Seg2502.1 Seg2502.1 transcript_id=Seg2502.1_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 7" protein_id=Seg2502.1_GoldUCD_D3Y31, Aurelia_aurita_Seg757.1 Seg757.1 transcript_id=Seg757.1_GoldUCD_mRNA.D3Y31 product="Metabotropic glutamate receptor 4" protein_id=Seg757.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2022.4 Seg2022.4 transcript_id=Seg2022.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-2 protein_id=Seg2022.4_GoldUCD_D3Y31
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.59035 Ccrux.Trinity.59035	Aurelia_aurita_Seg738.1 Seg738.1 transcript_id=Seg738.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-1 protein_id=Seg738.1_GoldUCD_D3Y31
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.59111 Ccrux.Trinity.59111	Aurelia_aurita_Seg10356.1 Seg10356.1 transcript_id=Seg10356.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg10356.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1773.10 Seg1773.10 transcript_id=Seg1773.10_GoldUCD_mRNA.D3Y31 product=Coadhesin protein_id=Seg1773.10_GoldUCD_D3Y31
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.3684 Ccrux.Trinity.3684	Aurelia_aurita_Seg1505.2 Seg1505.2 transcript_id=Seg1505.2_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1505.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4965.1 Seg4965.1 transcript_id=Seg4965.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg4965.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1296.4 Seg1296.4 transcript_id=Seg1296.4_GoldUCD_mRNA.D3Y31 product=Coadhesin protein_id=Seg1296.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1147.11 Seg1147.11 transcript_id=Seg1147.11_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1147.11_GoldUCD_D3Y31, Aurelia_aurita_Seg1581.4 Seg1581.4 transcript_id=Seg1581.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1581.4_GoldUCD_D3Y31
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.9779 Ccrux.Trinity.9779, Calvadosia_cruxmelitensis_Ccrux.Trinity.9778 Ccrux.Trinity.9778, Calvadosia_cruxmelitensis_Ccrux.Trinity.9777 Ccrux.Trinity.9777, Calvadosia_cruxmelitensis_Ccrux.Trinity.68784 Ccrux.Trinity.68784	Aurelia_aurita_Seg3725.1 Seg3725.1 transcript_id=Seg3725.1_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg3725.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3725.3 Seg3725.3 transcript_id=Seg3725.3_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg3725.3_GoldUCD_D3Y31
