Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Chordata_Vertebrata_Mus_musculus
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.71459 Ccrux.Trinity.71459, Calvadosia_cruxmelitensis_Ccrux.Trinity.18445 Ccrux.Trinity.18445, Calvadosia_cruxmelitensis_Ccrux.Trinity.18452 Ccrux.Trinity.18452, Calvadosia_cruxmelitensis_Ccrux.Trinity.18443 Ccrux.Trinity.18443, Calvadosia_cruxmelitensis_Ccrux.Trinity.18449 Ccrux.Trinity.18449, Calvadosia_cruxmelitensis_Ccrux.Trinity.64957 Ccrux.Trinity.64957, Calvadosia_cruxmelitensis_Ccrux.Trinity.64956 Ccrux.Trinity.64956, Calvadosia_cruxmelitensis_Ccrux.Trinity.62416 Ccrux.Trinity.62416, Calvadosia_cruxmelitensis_Ccrux.Trinity.8190 Ccrux.Trinity.8190, Calvadosia_cruxmelitensis_Ccrux.Trinity.8191 Ccrux.Trinity.8191, Calvadosia_cruxmelitensis_Ccrux.Trinity.63471 Ccrux.Trinity.63471	Mus_musculus_sp_Q3SXB8_COL11_MOUSE sp_Q3SXB8_COL11_MOUSE Collectin-11 OS=Mus musculus OX=10090 GN=Colec11 PE=2 SV=2, Mus_musculus_sp_P35242_SFTPA_MOUSE sp_P35242_SFTPA_MOUSE Pulmonary surfactant-associated protein A OS=Mus musculus OX=10090 GN=Sftpa1 PE=1 SV=1, Mus_musculus_sp_P50404_SFTPD_MOUSE sp_P50404_SFTPD_MOUSE Pulmonary surfactant-associated protein D OS=Mus musculus OX=10090 GN=Sftpd PE=1 SV=1, Mus_musculus_sp_P41317_MBL2_MOUSE sp_P41317_MBL2_MOUSE Mannose-binding protein C OS=Mus musculus OX=10090 GN=Mbl2 PE=1 SV=2, Mus_musculus_sp_P39039_MBL1_MOUSE sp_P39039_MBL1_MOUSE Mannose-binding protein A OS=Mus musculus OX=10090 GN=Mbl1 PE=1 SV=1
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.59807 Ccrux.Trinity.59807	Mus_musculus_sp_P43025_TETN_MOUSE sp_P43025_TETN_MOUSE Tetranectin OS=Mus musculus OX=10090 GN=Clec3b PE=1 SV=2, Mus_musculus_sp_Q9EPW4_CLC3A_MOUSE sp_Q9EPW4_CLC3A_MOUSE C-type lectin domain family 3 member A OS=Mus musculus OX=10090 GN=Clec3a PE=3 SV=1
OG0000003	Calvadosia_cruxmelitensis_Ccrux.Trinity.68657 Ccrux.Trinity.68657	Mus_musculus_sp_Q9D8G5_REG4_MOUSE sp_Q9D8G5_REG4_MOUSE Regenerating islet-derived protein 4 OS=Mus musculus OX=10090 GN=Reg4 PE=2 SV=1, Mus_musculus_sp_O09049_REG3G_MOUSE sp_O09049_REG3G_MOUSE Regenerating islet-derived protein 3-gamma OS=Mus musculus OX=10090 GN=Reg3g PE=1 SV=1, Mus_musculus_sp_P43137_LIT1_MOUSE sp_P43137_LIT1_MOUSE Lithostathine-1 OS=Mus musculus OX=10090 GN=Reg1 PE=1 SV=1, Mus_musculus_sp_Q08731_LIT2_MOUSE sp_Q08731_LIT2_MOUSE Lithostathine-2 OS=Mus musculus OX=10090 GN=Reg2 PE=1 SV=1
OG0000004	Calvadosia_cruxmelitensis_Ccrux.Trinity.58799 Ccrux.Trinity.58799, Calvadosia_cruxmelitensis_Ccrux.Trinity.69530 Ccrux.Trinity.69530	Mus_musculus_sp_Q8VHI5_VITRN_MOUSE sp_Q8VHI5_VITRN_MOUSE Vitrin OS=Mus musculus OX=10090 GN=Vit PE=1 SV=2, Mus_musculus_sp_Q62507_COCH_MOUSE sp_Q62507_COCH_MOUSE Cochlin OS=Mus musculus OX=10090 GN=Coch PE=1 SV=2
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.56208 Ccrux.Trinity.56208, Calvadosia_cruxmelitensis_Ccrux.Trinity.64070 Ccrux.Trinity.64070, Calvadosia_cruxmelitensis_Ccrux.Trinity.52298 Ccrux.Trinity.52298, Calvadosia_cruxmelitensis_Ccrux.Trinity.19787 Ccrux.Trinity.19787, Calvadosia_cruxmelitensis_Ccrux.Trinity.24982 Ccrux.Trinity.24982, Calvadosia_cruxmelitensis_Ccrux.Trinity.70693 Ccrux.Trinity.70693, Calvadosia_cruxmelitensis_Ccrux.Trinity.57017 Ccrux.Trinity.57017, Calvadosia_cruxmelitensis_Ccrux.Trinity.3352 Ccrux.Trinity.3352, Calvadosia_cruxmelitensis_Ccrux.Trinity.59261 Ccrux.Trinity.59261, Calvadosia_cruxmelitensis_Ccrux.Trinity.14400 Ccrux.Trinity.14400, Calvadosia_cruxmelitensis_Ccrux.Trinity.17343 Ccrux.Trinity.17343, Calvadosia_cruxmelitensis_Ccrux.Trinity.17344 Ccrux.Trinity.17344, Calvadosia_cruxmelitensis_Ccrux.Trinity.17342 Ccrux.Trinity.17342, Calvadosia_cruxmelitensis_Ccrux.Trinity.51739 Ccrux.Trinity.51739, Calvadosia_cruxmelitensis_Ccrux.Trinity.25433 Ccrux.Trinity.25433, Calvadosia_cruxmelitensis_Ccrux.Trinity.55128 Ccrux.Trinity.55128, Calvadosia_cruxmelitensis_Ccrux.Trinity.33090 Ccrux.Trinity.33090, Calvadosia_cruxmelitensis_Ccrux.Trinity.55366 Ccrux.Trinity.55366	Mus_musculus_sp_Q6HA09_ASTL_MOUSE sp_Q6HA09_ASTL_MOUSE Astacin-like metalloendopeptidase OS=Mus musculus OX=10090 GN=Astl PE=1 SV=3
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.51861 Ccrux.Trinity.51861	Mus_musculus_sp_Q07968_F13B_MOUSE sp_Q07968_F13B_MOUSE Coagulation factor XIII B chain OS=Mus musculus OX=10090 GN=F13b PE=1 SV=2
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.46513 Ccrux.Trinity.46513, Calvadosia_cruxmelitensis_Ccrux.Trinity.46509 Ccrux.Trinity.46509	Mus_musculus_sp_Q60736_ZP3R_MOUSE sp_Q60736_ZP3R_MOUSE Zona pellucida sperm-binding protein 3 receptor OS=Mus musculus OX=10090 GN=Zp3r PE=1 SV=1
OG0000007	Calvadosia_cruxmelitensis_Ccrux.Trinity.58492 Ccrux.Trinity.58492	Mus_musculus_sp_Q80V70_MEGF6_MOUSE sp_Q80V70_MEGF6_MOUSE Multiple epidermal growth factor-like domains protein 6 OS=Mus musculus OX=10090 GN=Megf6 PE=2 SV=3, Mus_musculus_sp_Q8C088_EGFEM_MOUSE sp_Q8C088_EGFEM_MOUSE EGF-like and EMI domain-containing protein 1 OS=Mus musculus OX=10090 GN=Egfem1 PE=2 SV=1
OG0000007	Calvadosia_cruxmelitensis_Ccrux.Trinity.48895 Ccrux.Trinity.48895	Mus_musculus_sp_Q501P1_FBLN7_MOUSE sp_Q501P1_FBLN7_MOUSE Fibulin-7 OS=Mus musculus OX=10090 GN=Fbln7 PE=1 SV=1
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.29159 Ccrux.Trinity.29159	Mus_musculus_sp_Q8R4W6_PCOC2_MOUSE sp_Q8R4W6_PCOC2_MOUSE Procollagen C-endopeptidase enhancer 2 OS=Mus musculus OX=10090 GN=Pcolce2 PE=2 SV=2, Mus_musculus_sp_Q61398_PCOC1_MOUSE sp_Q61398_PCOC1_MOUSE Procollagen C-endopeptidase enhancer 1 OS=Mus musculus OX=10090 GN=Pcolce PE=1 SV=2
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.34801 Ccrux.Trinity.34801, Calvadosia_cruxmelitensis_Ccrux.Trinity.34794 Ccrux.Trinity.34794, Calvadosia_cruxmelitensis_Ccrux.Trinity.34809 Ccrux.Trinity.34809	Mus_musculus_sp_A2AJ76_HMCN2_MOUSE sp_A2AJ76_HMCN2_MOUSE Hemicentin-2 OS=Mus musculus OX=10090 GN=Hmcn2 PE=1 SV=1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.8581 Ccrux.Trinity.8581	Mus_musculus_sp_Q3V1M1_IGS10_MOUSE sp_Q3V1M1_IGS10_MOUSE Immunoglobulin superfamily member 10 OS=Mus musculus OX=10090 GN=Igsf10 PE=2 SV=2
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.36547 Ccrux.Trinity.36547, Calvadosia_cruxmelitensis_Ccrux.Trinity.36546 Ccrux.Trinity.36546	Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.67054 Ccrux.Trinity.67054	Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1, Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.6213 Ccrux.Trinity.6213, Calvadosia_cruxmelitensis_Ccrux.Trinity.6216 Ccrux.Trinity.6216	Mus_musculus_sp_P47931_FST_MOUSE sp_P47931_FST_MOUSE Follistatin OS=Mus musculus OX=10090 GN=Fst PE=2 SV=1
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.18442 Ccrux.Trinity.18442	Mus_musculus_sp_Q8CG65_SSPO_MOUSE sp_Q8CG65_SSPO_MOUSE SCO-spondin OS=Mus musculus OX=10090 GN=Sspo PE=2 SV=2
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.71725 Ccrux.Trinity.71725	Mus_musculus_sp_O08523_TECTA_MOUSE sp_O08523_TECTA_MOUSE Alpha-tectorin OS=Mus musculus OX=10090 GN=Tecta PE=1 SV=2, Mus_musculus_sp_Q8CJ69_BMPER_MOUSE sp_Q8CJ69_BMPER_MOUSE BMP-binding endothelial regulator protein OS=Mus musculus OX=10090 GN=Bmper PE=1 SV=1, Mus_musculus_sp_Q3U492_KCP_MOUSE sp_Q3U492_KCP_MOUSE Kielin_chordin-like protein OS=Mus musculus OX=10090 GN=Kcp PE=1 SV=2, Mus_musculus_sp_Q3U515_VWCE_MOUSE sp_Q3U515_VWCE_MOUSE von Willebrand factor C and EGF domain-containing protein OS=Mus musculus OX=10090 GN=Vwce PE=2 SV=2
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.5481 Ccrux.Trinity.5481	Mus_musculus_sp_Q9QYS1_WNT16_MOUSE sp_Q9QYS1_WNT16_MOUSE Protein Wnt-16 OS=Mus musculus OX=10090 GN=Wnt16 PE=2 SV=2
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.69596 Ccrux.Trinity.69596, Calvadosia_cruxmelitensis_Ccrux.Trinity.69595 Ccrux.Trinity.69595	Mus_musculus_sp_P04426_WNT1_MOUSE sp_P04426_WNT1_MOUSE Proto-oncogene Wnt-1 OS=Mus musculus OX=10090 GN=Wnt1 PE=1 SV=1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.52696 Ccrux.Trinity.52696, Calvadosia_cruxmelitensis_Ccrux.Trinity.52694 Ccrux.Trinity.52694	Mus_musculus_sp_P17553_WNT3_MOUSE sp_P17553_WNT3_MOUSE Proto-oncogene Wnt-3 OS=Mus musculus OX=10090 GN=Wnt3 PE=1 SV=1, Mus_musculus_sp_P27467_WNT3A_MOUSE sp_P27467_WNT3A_MOUSE Protein Wnt-3a OS=Mus musculus OX=10090 GN=Wnt3a PE=1 SV=1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.56830 Ccrux.Trinity.56830, Calvadosia_cruxmelitensis_Ccrux.Trinity.58867 Ccrux.Trinity.58867	Mus_musculus_sp_P22724_WNT4_MOUSE sp_P22724_WNT4_MOUSE Protein Wnt-4 OS=Mus musculus OX=10090 GN=Wnt4 PE=1 SV=1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.55161 Ccrux.Trinity.55161, Calvadosia_cruxmelitensis_Ccrux.Trinity.14159 Ccrux.Trinity.14159	Mus_musculus_sp_P48615_WNT11_MOUSE sp_P48615_WNT11_MOUSE Protein Wnt-11 OS=Mus musculus OX=10090 GN=Wnt11 PE=2 SV=1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.26518 Ccrux.Trinity.26518, Calvadosia_cruxmelitensis_Ccrux.Trinity.26520 Ccrux.Trinity.26520, Calvadosia_cruxmelitensis_Ccrux.Trinity.26523 Ccrux.Trinity.26523	Mus_musculus_sp_P28047_WNT7B_MOUSE sp_P28047_WNT7B_MOUSE Protein Wnt-7b OS=Mus musculus OX=10090 GN=Wnt7b PE=1 SV=1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.65958 Ccrux.Trinity.65958	Mus_musculus_sp_P21552_WNT2_MOUSE sp_P21552_WNT2_MOUSE Protein Wnt-2 OS=Mus musculus OX=10090 GN=Wnt2 PE=2 SV=2, Mus_musculus_sp_O70283_WNT2B_MOUSE sp_O70283_WNT2B_MOUSE Protein Wnt-2b OS=Mus musculus OX=10090 GN=Wnt2b PE=2 SV=3
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.5191 Ccrux.Trinity.5191	Mus_musculus_sp_Q64527_WNT8A_MOUSE sp_Q64527_WNT8A_MOUSE Protein Wnt-8a OS=Mus musculus OX=10090 GN=Wnt8a PE=2 SV=2
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.18676 Ccrux.Trinity.18676, Calvadosia_cruxmelitensis_Ccrux.Trinity.18675 Ccrux.Trinity.18675, Calvadosia_cruxmelitensis_Ccrux.Trinity.18677 Ccrux.Trinity.18677	Mus_musculus_sp_Q80T21_ATL4_MOUSE sp_Q80T21_ATL4_MOUSE ADAMTS-like protein 4 OS=Mus musculus OX=10090 GN=Adamtsl4 PE=2 SV=1, Mus_musculus_sp_Q3UTY6_THSD4_MOUSE sp_Q3UTY6_THSD4_MOUSE Thrombospondin type-1 domain-containing protein 4 OS=Mus musculus OX=10090 GN=Thsd4 PE=1 SV=2
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.32441 Ccrux.Trinity.32441, Calvadosia_cruxmelitensis_Ccrux.Trinity.32444 Ccrux.Trinity.32444, Calvadosia_cruxmelitensis_Ccrux.Trinity.32433 Ccrux.Trinity.32433, Calvadosia_cruxmelitensis_Ccrux.Trinity.32425 Ccrux.Trinity.32425, Calvadosia_cruxmelitensis_Ccrux.Trinity.32411 Ccrux.Trinity.32411, Calvadosia_cruxmelitensis_Ccrux.Trinity.32439 Ccrux.Trinity.32439, Calvadosia_cruxmelitensis_Ccrux.Trinity.32432 Ccrux.Trinity.32432, Calvadosia_cruxmelitensis_Ccrux.Trinity.32426 Ccrux.Trinity.32426, Calvadosia_cruxmelitensis_Ccrux.Trinity.32445 Ccrux.Trinity.32445	Mus_musculus_sp_Q811B3_ATS12_MOUSE sp_Q811B3_ATS12_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Mus musculus OX=10090 GN=Adamts12 PE=2 SV=2
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.9543 Ccrux.Trinity.9543	Mus_musculus_sp_Q9EPX2_PPN_MOUSE sp_Q9EPX2_PPN_MOUSE Papilin OS=Mus musculus OX=10090 GN=Papln PE=2 SV=2
OG0000015	Calvadosia_cruxmelitensis_Ccrux.Trinity.58363 Ccrux.Trinity.58363, Calvadosia_cruxmelitensis_Ccrux.Trinity.883 Ccrux.Trinity.883	Mus_musculus_sp_O08524_TECTB_MOUSE sp_O08524_TECTB_MOUSE Beta-tectorin OS=Mus musculus OX=10090 GN=Tectb PE=1 SV=2
