Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Insecta_Diptera_Drosophila_melanogaster
OG0000006	Calvadosia_cruxmelitensis_Ccrux.Trinity.7531 Ccrux.Trinity.7531, Calvadosia_cruxmelitensis_Ccrux.Trinity.7543 Ccrux.Trinity.7543	Drosophila_melanogaster_sp_Q09101_HIG_DROME sp|Q09101|HIG_DROME Locomotion-related protein Hikaru genki OS=Drosophila melanogaster OX=7227 GN=hig PE=1 SV=2
OG0000007	Calvadosia_cruxmelitensis_Ccrux.Trinity.58492 Ccrux.Trinity.58492	Drosophila_melanogaster_tr_M9PHP7_M9PHP7_DROME tr|M9PHP7|M9PHP7_DROME Faulty attraction_ isoform F OS=Drosophila melanogaster OX=7227 GN=frac PE=4 SV=1, Drosophila_melanogaster_tr_Q9VS89_Q9VS89_DROME tr|Q9VS89|Q9VS89_DROME FI18763p1 OS=Drosophila melanogaster OX=7227 GN=frac PE=2 SV=4, Drosophila_melanogaster_tr_Q8MQJ4_Q8MQJ4_DROME tr|Q8MQJ4|Q8MQJ4_DROME LD32019p _Fragment_ OS=Drosophila melanogaster OX=7227 GN=frac PE=2 SV=1
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.64953 Ccrux.Trinity.64953, Calvadosia_cruxmelitensis_Ccrux.Trinity.21187 Ccrux.Trinity.21187, Calvadosia_cruxmelitensis_Ccrux.Trinity.21188 Ccrux.Trinity.21188, Calvadosia_cruxmelitensis_Ccrux.Trinity.21184 Ccrux.Trinity.21184	Drosophila_melanogaster_tr_Q49II5_Q49II5_DROME tr|Q49II5|Q49II5_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ1_Q49IJ1_DROME tr|Q49IJ1|Q49IJ1_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ0_Q49IJ0_DROME tr|Q49IJ0|Q49IJ0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II8_Q49II8_DROME tr|Q49II8|Q49II8_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II0_Q49II0_DROME tr|Q49II0|Q49II0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II7_Q49II7_DROME tr|Q49II7|Q49II7_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IK4_Q49IK4_DROME tr|Q49IK4|Q49IK4_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_sp_Q9VC47_TOK_DROME sp|Q9VC47|TOK_DROME Protein tolkin OS=Drosophila melanogaster OX=7227 GN=tok PE=1 SV=1, Drosophila_melanogaster_tr_Q7YU36_Q7YU36_DROME tr|Q7YU36|Q7YU36_DROME Metalloendopeptidase OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=1, Drosophila_melanogaster_sp_P25723_TLD_DROME sp|P25723|TLD_DROME Dorsal-ventral patterning protein tolloid OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=2
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.16979 Ccrux.Trinity.16979	Drosophila_melanogaster_tr_Q8MPN3_Q8MPN3_DROME tr|Q8MPN3|Q8MPN3_DROME Perlecan OS=Drosophila melanogaster OX=7227 GN=trol PE=2 SV=1, Drosophila_melanogaster_tr_M9NE56_M9NE56_DROME tr|M9NE56|M9NE56_DROME Terribly reduced optic lobes_ isoform AK OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_M9NDL5_M9NDL5_DROME tr|M9NDL5|M9NDL5_DROME Terribly reduced optic lobes_ isoform AF OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_M9NES6_M9NES6_DROME tr|M9NES6|M9NES6_DROME Terribly reduced optic lobes_ isoform AU OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q9W4Y3_Q9W4Y3_DROME tr|Q9W4Y3|Q9W4Y3_DROME Terribly reduced optic lobes_ isoform AT OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=4, Drosophila_melanogaster_tr_E1JJC0_E1JJC0_DROME tr|E1JJC0|E1JJC0_DROME Terribly reduced optic lobes_ isoform AH OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_X2JCE8_X2JCE8_DROME tr|X2JCE8|X2JCE8_DROME Terribly reduced optic lobes_ isoform BA OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_X2JE09_X2JE09_DROME tr|X2JE09|X2JE09_DROME Terribly reduced optic lobes_ isoform AV OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_A0A023GRW4_A0A023GRW4_DROME tr|A0A023GRW4|A0A023GRW4_DROME Terribly reduced optic lobes_ isoform AZ OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_Q8IRV8_Q8IRV8_DROME tr|Q8IRV8|Q8IRV8_DROME Terribly reduced optic lobes_ isoform AO OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_M9NDM1_M9NDM1_DROME tr|M9NDM1|M9NDM1_DROME Terribly reduced optic lobes_ isoform AP OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_X2JDK9_X2JDK9_DROME tr|X2JDK9|X2JDK9_DROME Terribly reduced optic lobes_ isoform AS OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_Q9NFS9_Q9NFS9_DROME tr|Q9NFS9|Q9NFS9_DROME Perlecan domain V _Fragment_ OS=Drosophila melanogaster OX=7227 GN=trol PE=2 SV=1, Drosophila_melanogaster_tr_Q9NEG1_Q9NEG1_DROME tr|Q9NEG1|Q9NEG1_DROME EG_BACR25B3.11 protein OS=Drosophila melanogaster OX=7227 GN=trol PE=4 SV=1, Drosophila_melanogaster_tr_M9NET2_M9NET2_DROME tr|M9NET2|M9NET2_DROME Terribly reduced optic lobes_ isoform AI OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_M9NGK3_M9NGK3_DROME tr|M9NGK3|M9NGK3_DROME Terribly reduced optic lobes_ isoform AL OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_M9NFR6_M9NFR6_DROME tr|M9NFR6|M9NFR6_DROME Terribly reduced optic lobes_ isoform AY OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q8IRV9_Q8IRV9_DROME tr|Q8IRV9|Q8IRV9_DROME Terribly reduced optic lobes_ isoform AW OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_M9NGL3_M9NGL3_DROME tr|M9NGL3|M9NGL3_DROME Terribly reduced optic lobes_ isoform AM OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q8MSR5_Q8MSR5_DROME tr|Q8MSR5|Q8MSR5_DROME SD04592p OS=Drosophila melanogaster OX=7227 GN=trol PE=2 SV=1, Drosophila_melanogaster_tr_Q8IRV7_Q8IRV7_DROME tr|Q8IRV7|Q8IRV7_DROME Terribly reduced optic lobes_ isoform AG OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_X2JAC7_X2JAC7_DROME tr|X2JAC7|X2JAC7_DROME Terribly reduced optic lobes_ isoform AX OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_M9NE61_M9NE61_DROME tr|M9NE61|M9NE61_DROME Terribly reduced optic lobes_ isoform AR OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q9W4Y4_Q9W4Y4_DROME tr|Q9W4Y4|Q9W4Y4_DROME Terribly reduced optic lobes_ isoform AN OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=5, Drosophila_melanogaster_tr_M9NFS1_M9NFS1_DROME tr|M9NFS1|M9NFS1_DROME Terribly reduced optic lobes_ isoform AQ OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q9NEF9_Q9NEF9_DROME tr|Q9NEF9|Q9NEF9_DROME EG_BACR25B3.1 protein OS=Drosophila melanogaster OX=7227 GN=trol PE=4 SV=1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.58517 Ccrux.Trinity.58517, Calvadosia_cruxmelitensis_Ccrux.Trinity.57575 Ccrux.Trinity.57575	Drosophila_melanogaster_sp_A0A1F4_EYS_DROME sp|A0A1F4|EYS_DROME Protein eyes shut OS=Drosophila melanogaster OX=7227 GN=eys PE=1 SV=1, Drosophila_melanogaster_tr_M9PBU9_M9PBU9_DROME tr|M9PBU9|M9PBU9_DROME Eyes shut_ isoform E OS=Drosophila melanogaster OX=7227 GN=eys PE=4 SV=2
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.36547 Ccrux.Trinity.36547, Calvadosia_cruxmelitensis_Ccrux.Trinity.36546 Ccrux.Trinity.36546	Drosophila_melanogaster_tr_A1ZA87_A1ZA87_DROME tr|A1ZA87|A1ZA87_DROME SP2353_ isoform A OS=Drosophila melanogaster OX=7227 GN=SP2353 PE=4 SV=1, Drosophila_melanogaster_tr_Q9NGV2_Q9NGV2_DROME tr|Q9NGV2|Q9NGV2_DROME SP2353 OS=Drosophila melanogaster OX=7227 GN=SP2353 PE=2 SV=1
OG0000010	Calvadosia_cruxmelitensis_Ccrux.Trinity.6213 Ccrux.Trinity.6213, Calvadosia_cruxmelitensis_Ccrux.Trinity.6216 Ccrux.Trinity.6216	Drosophila_melanogaster_tr_Q86NV3_Q86NV3_DROME tr|Q86NV3|Q86NV3_DROME Follistatin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Fs PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4LFH4_A0A0B4LFH4_DROME tr|A0A0B4LFH4|A0A0B4LFH4_DROME Follistatin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Fs PE=4 SV=1, Drosophila_melanogaster_tr_Q8WR59_Q8WR59_DROME tr|Q8WR59|Q8WR59_DROME Follistatin OS=Drosophila melanogaster OX=7227 GN=Fs PE=2 SV=1
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.17540 Ccrux.Trinity.17540, Calvadosia_cruxmelitensis_Ccrux.Trinity.18442 Ccrux.Trinity.18442	Drosophila_melanogaster_tr_Q9U5D0_Q9U5D0_DROME tr|Q9U5D0|Q9U5D0_DROME Hemolectin OS=Drosophila melanogaster OX=7227 GN=Hml PE=2 SV=1, Drosophila_melanogaster_tr_Q9VU94_Q9VU94_DROME tr|Q9VU94|Q9VU94_DROME Hemolectin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Hml PE=1 SV=2, Drosophila_melanogaster_tr_M9PCE5_M9PCE5_DROME tr|M9PCE5|M9PCE5_DROME Hemolectin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Hml PE=1 SV=1, Drosophila_melanogaster_tr_Q8MS79_Q8MS79_DROME tr|Q8MS79|Q8MS79_DROME LP05709p OS=Drosophila melanogaster OX=7227 GN=Hml PE=2 SV=1
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.71725 Ccrux.Trinity.71725	Drosophila_melanogaster_tr_Q9W2H2_Q9W2H2_DROME tr|Q9W2H2|Q9W2H2_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2, Drosophila_melanogaster_tr_Q9GYX3_Q9GYX3_DROME tr|Q9GYX3|Q9GYX3_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2
OG0000012	Calvadosia_cruxmelitensis_Ccrux.Trinity.67526 Ccrux.Trinity.67526, Calvadosia_cruxmelitensis_Ccrux.Trinity.53296 Ccrux.Trinity.53296, Calvadosia_cruxmelitensis_Ccrux.Trinity.43255 Ccrux.Trinity.43255, Calvadosia_cruxmelitensis_Ccrux.Trinity.22673 Ccrux.Trinity.22673, Calvadosia_cruxmelitensis_Ccrux.Trinity.22674 Ccrux.Trinity.22674, Calvadosia_cruxmelitensis_Ccrux.Trinity.24156 Ccrux.Trinity.24156	Drosophila_melanogaster_tr_Q9VKA7_Q9VKA7_DROME tr|Q9VKA7|Q9VKA7_DROME VWFC domain-containing protein OS=Drosophila melanogaster OX=7227 GN=Dmel\CG17211 PE=4 SV=1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.12887 Ccrux.Trinity.12887, Calvadosia_cruxmelitensis_Ccrux.Trinity.12891 Ccrux.Trinity.12891, Calvadosia_cruxmelitensis_Ccrux.Trinity.12894 Ccrux.Trinity.12894	Drosophila_melanogaster_tr_Q9VM26_Q9VM26_DROME tr|Q9VM26|Q9VM26_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt6 PE=2 SV=3
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.69596 Ccrux.Trinity.69596, Calvadosia_cruxmelitensis_Ccrux.Trinity.69595 Ccrux.Trinity.69595	Drosophila_melanogaster_sp_P09615_WNTG_DROME sp|P09615|WNTG_DROME Protein wingless OS=Drosophila melanogaster OX=7227 GN=wg PE=1 SV=1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.26517 Ccrux.Trinity.26517, Calvadosia_cruxmelitensis_Ccrux.Trinity.26521 Ccrux.Trinity.26521, Calvadosia_cruxmelitensis_Ccrux.Trinity.26524 Ccrux.Trinity.26524	Drosophila_melanogaster_sp_P28466_WNT5_DROME sp|P28466|WNT5_DROME Protein Wnt-5 OS=Drosophila melanogaster OX=7227 GN=Wnt5 PE=1 SV=2, Drosophila_melanogaster_tr_X2JL29_X2JL29_DROME tr|X2JL29|X2JL29_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt5 PE=3 SV=1, Drosophila_melanogaster_tr_Q2XY20_Q2XY20_DROME tr|Q2XY20|Q2XY20_DROME Protein Wnt _Fragment_ OS=Drosophila melanogaster OX=7227 GN=Wnt5 PE=3 SV=1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.26518 Ccrux.Trinity.26518, Calvadosia_cruxmelitensis_Ccrux.Trinity.26520 Ccrux.Trinity.26520, Calvadosia_cruxmelitensis_Ccrux.Trinity.26523 Ccrux.Trinity.26523	Drosophila_melanogaster_sp_P28465_WNT2_DROME sp|P28465|WNT2_DROME Protein Wnt-2 OS=Drosophila melanogaster OX=7227 GN=Wnt2 PE=2 SV=2, Drosophila_melanogaster_tr_A0A0B4LFY4_A0A0B4LFY4_DROME tr|A0A0B4LFY4|A0A0B4LFY4_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt2 PE=3 SV=1
OG0000013	Calvadosia_cruxmelitensis_Ccrux.Trinity.5191 Ccrux.Trinity.5191	Drosophila_melanogaster_sp_Q9VFX1_WNT8_DROME sp|Q9VFX1|WNT8_DROME Wnt inhibitor of Dorsal protein OS=Drosophila melanogaster OX=7227 GN=wntD PE=1 SV=2
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.18676 Ccrux.Trinity.18676, Calvadosia_cruxmelitensis_Ccrux.Trinity.18675 Ccrux.Trinity.18675, Calvadosia_cruxmelitensis_Ccrux.Trinity.18677 Ccrux.Trinity.18677	Drosophila_melanogaster_tr_Q9VKV3_Q9VKV3_DROME tr|Q9VKV3|Q9VKV3_DROME Lonely heart_ isoform A OS=Drosophila melanogaster OX=7227 GN=loh PE=4 SV=3, Drosophila_melanogaster_tr_Q8MSF8_Q8MSF8_DROME tr|Q8MSF8|Q8MSF8_DROME GM15606p OS=Drosophila melanogaster OX=7227 GN=loh PE=2 SV=1, Drosophila_melanogaster_tr_E1JHE3_E1JHE3_DROME tr|E1JHE3|E1JHE3_DROME Lonely heart_ isoform D OS=Drosophila melanogaster OX=7227 GN=loh PE=4 SV=2, Drosophila_melanogaster_tr_M9MRI1_M9MRI1_DROME tr|M9MRI1|M9MRI1_DROME Lonely heart_ isoform C OS=Drosophila melanogaster OX=7227 GN=loh PE=4 SV=1
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.9543 Ccrux.Trinity.9543	Drosophila_melanogaster_sp_Q868Z9_PPN_DROME sp|Q868Z9|PPN_DROME Papilin OS=Drosophila melanogaster OX=7227 GN=Ppn PE=1 SV=2
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.40003 Ccrux.Trinity.40003, Calvadosia_cruxmelitensis_Ccrux.Trinity.39999 Ccrux.Trinity.39999, Calvadosia_cruxmelitensis_Ccrux.Trinity.40000 Ccrux.Trinity.40000, Calvadosia_cruxmelitensis_Ccrux.Trinity.40004 Ccrux.Trinity.40004, Calvadosia_cruxmelitensis_Ccrux.Trinity.40001 Ccrux.Trinity.40001, Calvadosia_cruxmelitensis_Ccrux.Trinity.40006 Ccrux.Trinity.40006, Calvadosia_cruxmelitensis_Ccrux.Trinity.40002 Ccrux.Trinity.40002	Drosophila_melanogaster_tr_A0A0B4KHK4_A0A0B4KHK4_DROME tr|A0A0B4KHK4|A0A0B4KHK4_DROME ADAM metallopeptidase with thrombospondin type 1 motif A_ isoform C OS=Drosophila melanogaster OX=7227 GN=AdamTS-A PE=4 SV=1, Drosophila_melanogaster_tr_Q7KSH7_Q7KSH7_DROME tr|Q7KSH7|Q7KSH7_DROME ADAM metallopeptidase with thrombospondin type 1 motif A_ isoform E OS=Drosophila melanogaster OX=7227 GN=AdamTS-A PE=4 SV=1, Drosophila_melanogaster_tr_Q8SXB0_Q8SXB0_DROME tr|Q8SXB0|Q8SXB0_DROME ADAM metallopeptidase with thrombospondin type 1 motif A_ isoform B OS=Drosophila melanogaster OX=7227 GN=AdamTS-A PE=2 SV=1
OG0000014	Calvadosia_cruxmelitensis_Ccrux.Trinity.7002 Ccrux.Trinity.7002	Drosophila_melanogaster_tr_Q8MRL5_Q8MRL5_DROME tr|Q8MRL5|Q8MRL5_DROME ADAM metallopeptidase with thrombospondin type 1 motif B_ isoform C OS=Drosophila melanogaster OX=7227 GN=AdamTS-B PE=2 SV=1, Drosophila_melanogaster_tr_Q9W493_Q9W493_DROME tr|Q9W493|Q9W493_DROME ADAM metallopeptidase with thrombospondin type 1 motif B_ isoform B OS=Drosophila melanogaster OX=7227 GN=AdamTS-B PE=4 SV=3
OG0000017	Calvadosia_cruxmelitensis_Ccrux.Trinity.69078 Ccrux.Trinity.69078	Drosophila_melanogaster_tr_Q9VFC1_Q9VFC1_DROME tr|Q9VFC1|Q9VFC1_DROME CG6687 protein OS=Drosophila melanogaster OX=7227 GN=Spn88Eb PE=2 SV=1, Drosophila_melanogaster_sp_Q9VFC2_SP88E_DROME sp|Q9VFC2|SP88E_DROME Serine protease inhibitor 88Ea OS=Drosophila melanogaster OX=7227 GN=Spn88Ea PE=2 SV=1
OG0000017	Calvadosia_cruxmelitensis_Ccrux.Trinity.16708 Ccrux.Trinity.16708, Calvadosia_cruxmelitensis_Ccrux.Trinity.16709 Ccrux.Trinity.16709	Drosophila_melanogaster_sp_Q9V3N1_SP27A_DROME sp|Q9V3N1|SP27A_DROME Serine protease inhibitor 27A OS=Drosophila melanogaster OX=7227 GN=Spn27A PE=1 SV=1, Drosophila_melanogaster_sp_Q0E8C8_SP77B_DROME sp|Q0E8C8|SP77B_DROME Serine protease inhibitor 77Ba OS=Drosophila melanogaster OX=7227 GN=Spn77Ba PE=2 SV=1
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.6352 Ccrux.Trinity.6352, Calvadosia_cruxmelitensis_Ccrux.Trinity.66678 Ccrux.Trinity.66678	Drosophila_melanogaster_tr_Q9VQG9_Q9VQG9_DROME tr|Q9VQG9|Q9VQG9_DROME Dawdle_ isoform A OS=Drosophila melanogaster OX=7227 GN=daw PE=2 SV=1
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.66596 Ccrux.Trinity.66596	Drosophila_melanogaster_tr_X2JB15_X2JB15_DROME tr|X2JB15|X2JB15_DROME Screw_ isoform B OS=Drosophila melanogaster OX=7227 GN=scw PE=3 SV=1, Drosophila_melanogaster_sp_P54631_SCW_DROME sp|P54631|SCW_DROME Protein screw OS=Drosophila melanogaster OX=7227 GN=scw PE=2 SV=2, Drosophila_melanogaster_sp_P27091_60A_DROME sp|P27091|60A_DROME Protein 60A OS=Drosophila melanogaster OX=7227 GN=gbb PE=1 SV=1, Drosophila_melanogaster_tr_A0A0B4LGA7_A0A0B4LGA7_DROME tr|A0A0B4LGA7|A0A0B4LGA7_DROME Glass bottom boat_ isoform B OS=Drosophila melanogaster OX=7227 GN=gbb PE=3 SV=1
OG0000019	Calvadosia_cruxmelitensis_Ccrux.Trinity.66348 Ccrux.Trinity.66348	Drosophila_melanogaster_sp_P07713_DECA_DROME sp|P07713|DECA_DROME Protein decapentaplegic OS=Drosophila melanogaster OX=7227 GN=dpp PE=1 SV=2
OG0000021	Calvadosia_cruxmelitensis_Ccrux.Trinity.30901 Ccrux.Trinity.30901, Calvadosia_cruxmelitensis_Ccrux.Trinity.30902 Ccrux.Trinity.30902	Drosophila_melanogaster_sp_A1Z877_NDG_DROME sp|A1Z877|NDG_DROME Nidogen OS=Drosophila melanogaster OX=7227 GN=Ndg PE=1 SV=1
OG0000022	Calvadosia_cruxmelitensis_Ccrux.Trinity.16893 Ccrux.Trinity.16893, Calvadosia_cruxmelitensis_Ccrux.Trinity.16889 Ccrux.Trinity.16889, Calvadosia_cruxmelitensis_Ccrux.Trinity.16885 Ccrux.Trinity.16885, Calvadosia_cruxmelitensis_Ccrux.Trinity.16879 Ccrux.Trinity.16879, Calvadosia_cruxmelitensis_Ccrux.Trinity.1025 Ccrux.Trinity.1025, Calvadosia_cruxmelitensis_Ccrux.Trinity.1024 Ccrux.Trinity.1024	Drosophila_melanogaster_sp_Q9VXG4_ANX11_DROME sp|Q9VXG4|ANX11_DROME Annexin B11 OS=Drosophila melanogaster OX=7227 GN=AnxB11 PE=2 SV=2, Drosophila_melanogaster_tr_A0A0B4KH34_A0A0B4KH34_DROME tr|A0A0B4KH34|A0A0B4KH34_DROME Annexin OS=Drosophila melanogaster OX=7227 GN=AnxB9 PE=1 SV=1, Drosophila_melanogaster_sp_P22464_ANXB9_DROME sp|P22464|ANXB9_DROME Annexin B9 OS=Drosophila melanogaster OX=7227 GN=AnxB9 PE=1 SV=2, Drosophila_melanogaster_sp_P22465_ANX10_DROME sp|P22465|ANX10_DROME Annexin B10 OS=Drosophila melanogaster OX=7227 GN=AnxB10 PE=2 SV=3
OG0000023	Calvadosia_cruxmelitensis_Ccrux.Trinity.38278 Ccrux.Trinity.38278, Calvadosia_cruxmelitensis_Ccrux.Trinity.38288 Ccrux.Trinity.38288, Calvadosia_cruxmelitensis_Ccrux.Trinity.38282 Ccrux.Trinity.38282, Calvadosia_cruxmelitensis_Ccrux.Trinity.38277 Ccrux.Trinity.38277	Drosophila_melanogaster_tr_B7Z0Y2_B7Z0Y2_DROME tr|B7Z0Y2|B7Z0Y2_DROME Mind-meld_ isoform D OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_Q9VXL1_Q9VXL1_DROME tr|Q9VXL1|Q9VXL1_DROME Mind-meld_ isoform F OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=6, Drosophila_melanogaster_tr_X2JE21_X2JE21_DROME tr|X2JE21|X2JE21_DROME Mind-meld_ isoform J OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_M9PER2_M9PER2_DROME tr|M9PER2|M9PER2_DROME Mind-meld_ isoform H OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_M9PH86_M9PH86_DROME tr|M9PH86|M9PH86_DROME Mind-meld_ isoform I OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_M9NDY9_M9NDY9_DROME tr|M9NDY9|M9NDY9_DROME Mind-meld_ isoform G OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_M9NH46_M9NH46_DROME tr|M9NH46|M9NH46_DROME Mind-meld_ isoform E OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=1, Drosophila_melanogaster_tr_Q7KUY7_Q7KUY7_DROME tr|Q7KUY7|Q7KUY7_DROME Mind-meld_ isoform B OS=Drosophila melanogaster OX=7227 GN=mmd PE=4 SV=2, Drosophila_melanogaster_tr_Q9GZ15_Q9GZ15_DROME tr|Q9GZ15|Q9GZ15_DROME MIND-MELD _Fragment_ OS=Drosophila melanogaster OX=7227 GN=mmd PE=2 SV=1
OG0000024	Calvadosia_cruxmelitensis_Ccrux.Trinity.1042 Ccrux.Trinity.1042	Drosophila_melanogaster_tr_A0A0B4KH80_A0A0B4KH80_DROME tr|A0A0B4KH80|A0A0B4KH80_DROME Carrier of wingless_ isoform E OS=Drosophila melanogaster OX=7227 GN=Cow PE=4 SV=1, Drosophila_melanogaster_sp_Q9VCR3_COW_DROME sp|Q9VCR3|COW_DROME Proteoglycan Cow OS=Drosophila melanogaster OX=7227 GN=Cow PE=1 SV=3
OG0000028	Calvadosia_cruxmelitensis_Ccrux.Trinity.12863 Ccrux.Trinity.12863, Calvadosia_cruxmelitensis_Ccrux.Trinity.12860 Ccrux.Trinity.12860	Drosophila_melanogaster_tr_O18407_O18407_DROME tr|O18407|O18407_DROME Collagen type IV alpha 2 OS=Drosophila melanogaster OX=7227 GN=vkg PE=2 SV=1, Drosophila_melanogaster_tr_Q9VMV5_Q9VMV5_DROME tr|Q9VMV5|Q9VMV5_DROME Viking_ isoform A OS=Drosophila melanogaster OX=7227 GN=vkg PE=1 SV=1
OG0000030	Calvadosia_cruxmelitensis_Ccrux.Trinity.10006 Ccrux.Trinity.10006, Calvadosia_cruxmelitensis_Ccrux.Trinity.10008 Ccrux.Trinity.10008, Calvadosia_cruxmelitensis_Ccrux.Trinity.10007 Ccrux.Trinity.10007	Drosophila_melanogaster_sp_Q9VAC5_ADA17_DROME sp|Q9VAC5|ADA17_DROME ADAM 17-like protease OS=Drosophila melanogaster OX=7227 GN=Tace PE=2 SV=2
