Orthogroup	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_lanceolatum
OG0000000	Branchiostoma_belcheri_tr_A0A6P5AYB6_A0A6P5AYB6_BRABE tr|A0A6P5AYB6|A0A6P5AYB6_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109487523 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A1D2_A0A6P5A1D2_BRABE tr|A0A6P5A1D2|A0A6P5A1D2_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109487523 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AID3_A0A6P5AID3_BRABE tr|A0A6P5AID3|A0A6P5AID3_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484156 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y632_A0A6P4Y632_BRABE tr|A0A6P4Y632|A0A6P4Y632_BRABE Angiopoietin-4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109462109 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XU50_A0A6P4XU50_BRABE tr|A0A6P4XU50|A0A6P4XU50_BRABE Fibrinogen C domain-containing protein 1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109462108 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XCB3_A0A6P4XCB3_BRABE tr|A0A6P4XCB3|A0A6P4XCB3_BRABE Fibrinogen C domain-containing protein 1-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109462108 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YBH5_A0A6P4YBH5_BRABE tr|A0A6P4YBH5|A0A6P4YBH5_BRABE Fibrinogen-like protein 1 isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109462108 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y5H8_A0A6P4Y5H8_BRABE tr|A0A6P4Y5H8|A0A6P4Y5H8_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466418 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XZS8_A0A6P4XZS8_BRABE tr|A0A6P4XZS8|A0A6P4XZS8_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109463530 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZP44_A0A6P4ZP44_BRABE tr|A0A6P4ZP44|A0A6P4ZP44_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484158 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9YR05_A0A8J9YR05_BRALA tr|A0A8J9YR05|A0A8J9YR05_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9W7G3_A0A8J9W7G3_BRALA tr|A0A8J9W7G3|A0A8J9W7G3_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YMB2_A0A8J9YMB2_BRALA tr|A0A8J9YMB2|A0A8J9YMB2_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9W4J7_A0A8J9W4J7_BRALA tr|A0A8J9W4J7|A0A8J9W4J7_BRALA ANGPTL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YRQ3_A0A8J9YRQ3_BRALA tr|A0A8J9YRQ3|A0A8J9YRQ3_BRALA ANGPT4 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT4 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YNX7_A0A8J9YNX7_BRALA tr|A0A8J9YNX7|A0A8J9YNX7_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4ZGZ0_A0A6P4ZGZ0_BRABE tr|A0A6P4ZGZ0|A0A6P4ZGZ0_BRABE Fibrinogen-like protein A OS=Branchiostoma belcheri OX=7741 GN=LOC109478741 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9VIQ1_A0A8J9VIQ1_BRALA tr|A0A8J9VIQ1|A0A8J9VIQ1_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VXU5_A0A8J9VXU5_BRALA tr|A0A8J9VXU5|A0A8J9VXU5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4ZUM2_A0A6P4ZUM2_BRABE tr|A0A6P4ZUM2|A0A6P4ZUM2_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109476732 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0A1B6_A0A8K0A1B6_BRALA tr|A0A8K0A1B6|A0A8K0A1B6_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4YDZ3_A0A6P4YDZ3_BRABE tr|A0A6P4YDZ3|A0A6P4YDZ3_BRABE Uncharacterized protein LOC109466899 OS=Branchiostoma belcheri OX=7741 GN=LOC109466899 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9Z2P2_A0A8J9Z2P2_BRALA tr|A0A8J9Z2P2|A0A8J9Z2P2_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4Y569_A0A6P4Y569_BRABE tr|A0A6P4Y569|A0A6P4Y569_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109464875 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0AE29_A0A8K0AE29_BRALA tr|A0A8K0AE29|A0A8K0AE29_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4XWW1_A0A6P4XWW1_BRABE tr|A0A6P4XWW1|A0A6P4XWW1_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109467539 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZQQ3_A0A8J9ZQQ3_BRALA tr|A0A8J9ZQQ3|A0A8J9ZQQ3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0E5S9_A0A8K0E5S9_BRALA tr|A0A8K0E5S9|A0A8K0E5S9_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4YUQ5_A0A6P4YUQ5_BRABE tr|A0A6P4YUQ5|A0A6P4YUQ5_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109470870 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0A0Q2_A0A8K0A0Q2_BRALA tr|A0A8K0A0Q2|A0A8K0A0Q2_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4YBZ7_A0A6P4YBZ7_BRABE tr|A0A6P4YBZ7|A0A6P4YBZ7_BRABE Techylectin-5B-like OS=Branchiostoma belcheri OX=7741 GN=LOC109462292 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9VAX2_A0A8J9VAX2_BRALA tr|A0A8J9VAX2|A0A8J9VAX2_BRALA CACNA2D1 protein OS=Branchiostoma lanceolatum OX=7740 GN=CACNA2D1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4XSU8_A0A6P4XSU8_BRABE tr|A0A6P4XSU8|A0A6P4XSU8_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466438 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z6I5_A0A6P4Z6I5_BRABE tr|A0A6P4Z6I5|A0A6P4Z6I5_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109479517 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZSG7_A0A6P4ZSG7_BRABE tr|A0A6P4ZSG7|A0A6P4ZSG7_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109479517 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z896_A0A6P4Z896_BRABE tr|A0A6P4Z896|A0A6P4Z896_BRABE Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109476402 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZEG1_A0A6P4ZEG1_BRABE tr|A0A6P4ZEG1|A0A6P4ZEG1_BRABE Fibrinogen C domain-containing protein 1-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109475903 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z6L4_A0A6P4Z6L4_BRABE tr|A0A6P4Z6L4|A0A6P4Z6L4_BRABE Fibrinogen C domain-containing protein 1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109475903 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YF68_A0A6P4YF68_BRABE tr|A0A6P4YF68|A0A6P4YF68_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464785 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDH4_A0A6P4YDH4_BRABE tr|A0A6P4YDH4|A0A6P4YDH4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468614 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDG4_A0A6P4YDG4_BRABE tr|A0A6P4YDG4|A0A6P4YDG4_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109468607 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YUW2_A0A6P4YUW2_BRABE tr|A0A6P4YUW2|A0A6P4YUW2_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109468607 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YN77_A0A6P4YN77_BRABE tr|A0A6P4YN77|A0A6P4YN77_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109465683 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XZ48_A0A6P4XZ48_BRABE tr|A0A6P4XZ48|A0A6P4XZ48_BRABE Fibrinogen-like protein A OS=Branchiostoma belcheri OX=7741 GN=LOC109464786 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YHM8_A0A6P4YHM8_BRABE tr|A0A6P4YHM8|A0A6P4YHM8_BRABE Ryncolin-4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464026 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y4V3_A0A6P4Y4V3_BRABE tr|A0A6P4Y4V3|A0A6P4Y4V3_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464782 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZXX1_A0A6P4ZXX1_BRABE tr|A0A6P4ZXX1|A0A6P4ZXX1_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109483180 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z8L0_A0A6P4Z8L0_BRABE tr|A0A6P4Z8L0|A0A6P4Z8L0_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474373 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XLF2_A0A6P4XLF2_BRABE tr|A0A6P4XLF2|A0A6P4XLF2_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464783 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AQT5_A0A6P5AQT5_BRABE tr|A0A6P5AQT5|A0A6P5AQT5_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109486177 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A5V3_A0A6P5A5V3_BRABE tr|A0A6P5A5V3|A0A6P5A5V3_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479604 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z8I3_A0A6P4Z8I3_BRABE tr|A0A6P4Z8I3|A0A6P4Z8I3_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474346 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YT49_A0A6P4YT49_BRABE tr|A0A6P4YT49|A0A6P4YT49_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109470417 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y4V8_A0A6P4Y4V8_BRABE tr|A0A6P4Y4V8|A0A6P4Y4V8_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464787 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZKN5_A0A6P4ZKN5_BRABE tr|A0A6P4ZKN5|A0A6P4ZKN5_BRABE Techylectin-5B-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474349 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ACA1_A0A6P5ACA1_BRABE tr|A0A6P5ACA1|A0A6P5ACA1_BRABE Techylectin-5A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484963 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YJY2_A0A6P4YJY2_BRABE tr|A0A6P4YJY2|A0A6P4YJY2_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464784 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZFK3_A0A8J9ZFK3_BRALA tr|A0A8J9ZFK3|A0A8J9ZFK3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZEH8_A0A8J9ZEH8_BRALA tr|A0A8J9ZEH8|A0A8J9ZEH8_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P5AA72_A0A6P5AA72_BRABE tr|A0A6P5AA72|A0A6P5AA72_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484292 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZPI7_A0A6P4ZPI7_BRABE tr|A0A6P4ZPI7|A0A6P4ZPI7_BRABE Uncharacterized protein LOC109484279 OS=Branchiostoma belcheri OX=7741 GN=LOC109484279 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ANP5_A0A6P5ANP5_BRABE tr|A0A6P5ANP5|A0A6P5ANP5_BRABE Uncharacterized protein LOC109484728 isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109484728 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AKN7_A0A6P5AKN7_BRABE tr|A0A6P5AKN7|A0A6P5AKN7_BRABE Uncharacterized protein LOC109484728 isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109484728 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0A9G0_A0A8K0A9G0_BRALA tr|A0A8K0A9G0|A0A8K0A9G0_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P5AJ42_A0A6P5AJ42_BRABE tr|A0A6P5AJ42|A0A6P5AJ42_BRABE Ryncolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484349 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0F2M8_A0A8K0F2M8_BRALA tr|A0A8K0F2M8|A0A8K0F2M8_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4YDM3_A0A6P4YDM3_BRABE tr|A0A6P4YDM3|A0A6P4YDM3_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468654 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZZV3_A0A8J9ZZV3_BRALA tr|A0A8J9ZZV3|A0A8J9ZZV3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4ZQB3_A0A6P4ZQB3_BRABE tr|A0A6P4ZQB3|A0A6P4ZQB3_BRABE Angiopoietin-related protein 2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109480993 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZFC5_A0A8J9ZFC5_BRALA tr|A0A8J9ZFC5|A0A8J9ZFC5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4ZNZ9_A0A6P4ZNZ9_BRABE tr|A0A6P4ZNZ9|A0A6P4ZNZ9_BRABE Uncharacterized protein LOC109476292 OS=Branchiostoma belcheri OX=7741 GN=LOC109476292 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9Z5H0_A0A8J9Z5H0_BRALA tr|A0A8J9Z5H0|A0A8J9Z5H0_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4ZRR6_A0A6P4ZRR6_BRABE tr|A0A6P4ZRR6|A0A6P4ZRR6_BRABE Angiopoietin-related protein 7-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484948 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZV94_A0A8J9ZV94_BRALA tr|A0A8J9ZV94|A0A8J9ZV94_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4ZRK0_A0A6P4ZRK0_BRABE tr|A0A6P4ZRK0|A0A6P4ZRK0_BRABE Angiopoietin-related protein 7-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484903 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZV95_A0A8J9ZV95_BRALA tr|A0A8J9ZV95|A0A8J9ZV95_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4YFI0_A0A6P4YFI0_BRABE tr|A0A6P4YFI0|A0A6P4YFI0_BRABE Actin cytoskeleton-regulatory complex protein pan1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469201 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0ENU0_A0A8K0ENU0_BRALA tr|A0A8K0ENU0|A0A8K0ENU0_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4YFI2_A0A6P4YFI2_BRABE tr|A0A6P4YFI2|A0A6P4YFI2_BRABE Uncharacterized protein LOC109467243 OS=Branchiostoma belcheri OX=7741 GN=LOC109467243 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0EZW6_A0A8K0EZW6_BRALA tr|A0A8K0EZW6|A0A8K0EZW6_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1
OG0000000	Branchiostoma_belcheri_tr_A0A6P4ZWY7_A0A6P4ZWY7_BRABE tr|A0A6P4ZWY7|A0A6P4ZWY7_BRABE Angiopoietin-related protein 6-like OS=Branchiostoma belcheri OX=7741 GN=LOC109480724 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8K0EKT5_A0A8K0EKT5_BRALA tr|A0A8K0EKT5|A0A8K0EKT5_BRALA ANGPT1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT1 PE=4 SV=1
