Orthogroup	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Vertebrata_Danio_rerio
OG0000081	Salpingoeca_rosetta_XP_004994461.1 XP_004994461.1 cysteine-rich with EGF-like domain-containing protein 2 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991372.1 XP_004991372.1 uncharacterized protein PTSG_07576 [Salpingoeca rosetta]	Danio_rerio_sp_Q7SXF6_CREL2_DANRE sp|Q7SXF6|CREL2_DANRE Cysteine-rich with EGF-like domain protein 2 OS=Danio rerio OX=7955 GN=creld2 PE=2 SV=2
OG0000088	Salpingoeca_rosetta_XP_004989262.1 XP_004989262.1 uncharacterized protein PTSG_09907 [Salpingoeca rosetta]	Danio_rerio_tr_O42111_O42111_DANRE tr|O42111|O42111_DANRE MINDIN1 OS=Danio rerio OX=7955 GN=mindin1 PE=2 SV=1, Danio_rerio_tr_Q0V935_Q0V935_DANRE tr|Q0V935|Q0V935_DANRE Spon2b protein OS=Danio rerio OX=7955 GN=etID309958.14 PE=2 SV=1, Danio_rerio_tr_O42114_O42114_DANRE tr|O42114|O42114_DANRE Spondin-1 OS=Danio rerio OX=7955 GN=cb1051 PE=2 SV=1, Danio_rerio_tr_F1R2Z9_F1R2Z9_DANRE tr|F1R2Z9|F1R2Z9_DANRE Spondin-1 OS=Danio rerio OX=7955 GN=F-spondin2 PE=4 SV=3, Danio_rerio_tr_O42113_O42113_DANRE tr|O42113|O42113_DANRE Spondin-1 OS=Danio rerio OX=7955 GN=F-spondin1 PE=2 SV=1
OG0000102	Salpingoeca_rosetta_XP_004988631.1 XP_004988631.1 uncharacterized protein PTSG_10665 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004995207.1 XP_004995207.1 uncharacterized protein PTSG_03475 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993827.1 XP_004993827.1 uncharacterized protein PTSG_12283 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992684.1 XP_004992684.1 uncharacterized protein PTSG_12565 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991002.1 XP_004991002.1 hemagglutinin_amebocyte aggregation factor [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992431.1 XP_004992431.1 uncharacterized protein PTSG_07019 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998423.1 XP_004998423.1 uncharacterized protein PTSG_11664 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004987839.1 XP_004987839.1 uncharacterized protein PTSG_11194 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989978.1 XP_004989978.1 uncharacterized protein PTSG_09549 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990651.1 XP_004990651.1 hypothetical protein_ variant [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990652.1 XP_004990652.1 uncharacterized protein PTSG_12719 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004996528.1 XP_004996528.1 uncharacterized protein PTSG_03009 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004987976.1 XP_004987976.1 uncharacterized protein PTSG_11057 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990946.1 XP_004990946.1 uncharacterized protein PTSG_07442 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992612.1 XP_004992612.1 uncharacterized protein PTSG_07192 [Salpingoeca rosetta]	Danio_rerio_tr_B8A4X3_B8A4X3_DANRE tr|B8A4X3|B8A4X3_DANRE Fibulin 5 OS=Danio rerio OX=7955 GN=zgc_103575 PE=1 SV=1, Danio_rerio_tr_Q5XJ74_Q5XJ74_DANRE tr|Q5XJ74|Q5XJ74_DANRE Fbln5 protein OS=Danio rerio OX=7955 GN=zgc_103575 PE=1 SV=1, Danio_rerio_tr_Q5PR37_Q5PR37_DANRE tr|Q5PR37|Q5PR37_DANRE EGF-containing fibulin-like extracellular matrix protein 2 OS=Danio rerio OX=7955 GN=efemp2 PE=1 SV=1, Danio_rerio_tr_Q5WQV6_Q5WQV6_DANRE tr|Q5WQV6|Q5WQV6_DANRE Acidic fibroblast growth factor intracellular-binding protein B isoform X1 OS=Danio rerio OX=7955 GN=LOC572703 PE=1 SV=2, Danio_rerio_tr_A0A0R4IL08_A0A0R4IL08_DANRE tr|A0A0R4IL08|A0A0R4IL08_DANRE Si_ch73-173h19.3 OS=Danio rerio OX=7955 GN=si_ch73-173h19.3 PE=4 SV=1
OG0000112	Salpingoeca_rosetta_XP_004998289.1 XP_004998289.1 uncharacterized protein PTSG_00821 [Salpingoeca rosetta]	Danio_rerio_tr_Q1LVP9_Q1LVP9_DANRE tr|Q1LVP9|Q1LVP9_DANRE Heparanase OS=Danio rerio OX=7955 GN=im_7144134 PE=3 SV=1
OG0000122	Salpingoeca_rosetta_XP_004989019.1 XP_004989019.1 Megf11 [Salpingoeca rosetta]	Danio_rerio_tr_Q7SZM5_Q7SZM5_DANRE tr|Q7SZM5|Q7SZM5_DANRE 72 kDa type IV collagenase precursor OS=Danio rerio OX=7955 GN=wu_fk89d01 PE=2 SV=1, Danio_rerio_tr_Q7T317_Q7T317_DANRE tr|Q7T317|Q7T317_DANRE Matrix metalloproteinase 9 OS=Danio rerio OX=7955 GN=wu_fi98c09 PE=2 SV=1
OG0000156	Salpingoeca_rosetta_XP_004992790.1 XP_004992790.1 uncharacterized protein PTSG_05897 [Salpingoeca rosetta]	Danio_rerio_tr_Q7ZTX7_Q7ZTX7_DANRE tr|Q7ZTX7|Q7ZTX7_DANRE Microfibrillar-associated protein 1 OS=Danio rerio OX=7955 GN=zgc_56551 PE=1 SV=1
OG0000157	Salpingoeca_rosetta_XP_004992034.1 XP_004992034.1 uncharacterized protein PTSG_06646 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993741.1 XP_004993741.1 uncharacterized protein PTSG_05162 [Salpingoeca rosetta]	Danio_rerio_tr_A0A0R4IQJ3_A0A0R4IQJ3_DANRE tr|A0A0R4IQJ3|A0A0R4IQJ3_DANRE Extracellular matrix protein FRAS1 isoform X1 OS=Danio rerio OX=7955 GN=id_ibd5080 PE=1 SV=2, Danio_rerio_tr_F1Q633_F1Q633_DANRE tr|F1Q633|F1Q633_DANRE Extracellular matrix protein FRAS1 OS=Danio rerio OX=7955 GN=id_ibd5080 PE=1 SV=1, Danio_rerio_tr_F1R2T2_F1R2T2_DANRE tr|F1R2T2|F1R2T2_DANRE Fras-related extracellular matrix protein 1b isoform X1 OS=Danio rerio OX=7955 GN=si_ch211-219p7.1 PE=3 SV=3, Danio_rerio_tr_B6IDE5_B6IDE5_DANRE tr|B6IDE5|B6IDE5_DANRE Fras-related extracellular matrix protein 1b precursor OS=Danio rerio OX=7955 GN=si_ch211-219p7.1 PE=2 SV=1, Danio_rerio_tr_D7PS89_D7PS89_DANRE tr|D7PS89|D7PS89_DANRE FRAS1-related extracellular matrix protein 1 precursor OS=Danio rerio OX=7955 GN=rfl PE=2 SV=1
OG0000171	Salpingoeca_rosetta_XP_004995449.1 XP_004995449.1 uncharacterized protein PTSG_03725 [Salpingoeca rosetta]	Danio_rerio_sp_Q503I8_NGLY1_DANRE sp|Q503I8|NGLY1_DANRE Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Danio rerio OX=7955 GN=ngly1 PE=2 SV=1, Danio_rerio_tr_B2GSS9_B2GSS9_DANRE tr|B2GSS9|B2GSS9_DANRE Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Danio rerio OX=7955 GN=zgc_110561 PE=2 SV=1
OG0000181	Salpingoeca_rosetta_XP_004997925.1 XP_004997925.1 uncharacterized protein PTSG_11806 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989184.1 XP_004989184.1 uncharacterized protein PTSG_09827 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004987674.1 XP_004987674.1 uncharacterized protein PTSG_11315 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993972.1 XP_004993972.1 uncharacterized protein PTSG_05399 [Salpingoeca rosetta]	Danio_rerio_sp_Q6DHR0_RSPO1_DANRE sp|Q6DHR0|RSPO1_DANRE R-spondin-1 OS=Danio rerio OX=7955 GN=rspo1 PE=2 SV=1, Danio_rerio_tr_M5AP50_M5AP50_DANRE tr|M5AP50|M5AP50_DANRE R-spondin 1 OS=Danio rerio OX=7955 GN=rspo1 PE=2 SV=1, Danio_rerio_sp_Q5R328_RSPO3_DANRE sp|Q5R328|RSPO3_DANRE R-spondin-3 OS=Danio rerio OX=7955 GN=rspo3 PE=2 SV=2, Danio_rerio_tr_M5AN99_M5AN99_DANRE tr|M5AN99|M5AN99_DANRE R-spondin 4 OS=Danio rerio OX=7955 GN=si_dkey-107i16.4 PE=2 SV=1
OG0000447	Salpingoeca_rosetta_XP_004992279.1 XP_004992279.1 uncharacterized protein PTSG_06880 [Salpingoeca rosetta]	Danio_rerio_tr_F1REF9_F1REF9_DANRE tr|F1REF9|F1REF9_DANRE Proteoglycan 4 precursor OS=Danio rerio OX=7955 GN=prg4 PE=4 SV=2
OG0000623	Salpingoeca_rosetta_XP_004997205.1 XP_004997205.1 uncharacterized protein PTSG_01232 [Salpingoeca rosetta]	Danio_rerio_tr_F1Q6P3_F1Q6P3_DANRE tr|F1Q6P3|F1Q6P3_DANRE Collagen alpha-1_VI_ chain OS=Danio rerio OX=7955 GN=col6a1 PE=1 SV=2
