Orthogroup	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Vertebrata_Mus_musculus
OG0000064	Salpingoeca_rosetta_XP_004991801.1 XP_004991801.1 salivary glue protein Sgs-3 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998469.1 XP_004998469.1 gamma-carboxyglutamic acid protein 3 splice variant A [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988554.1 XP_004988554.1 uncharacterized protein PTSG_10215 [Salpingoeca rosetta]	Mus_musculus_sp_Q8K4G1_LTBP4_MOUSE sp_Q8K4G1_LTBP4_MOUSE Latent-transforming growth factor beta-binding protein 4 OS=Mus musculus OX=10090 GN=Ltbp4 PE=1 SV=2, Mus_musculus_sp_Q8K4G1_LTBP4_MOUSE sp_Q8K4G1_LTBP4_MOUSE Latent-transforming growth factor beta-binding protein 4 OS=Mus musculus OX=10090 GN=Ltbp4 PE=1 SV=2, Mus_musculus_sp_O08999_LTBP2_MOUSE sp_O08999_LTBP2_MOUSE Latent-transforming growth factor beta-binding protein 2 OS=Mus musculus OX=10090 GN=Ltbp2 PE=1 SV=2, Mus_musculus_sp_Q61810_LTBP3_MOUSE sp_Q61810_LTBP3_MOUSE Latent-transforming growth factor beta-binding protein 3 OS=Mus musculus OX=10090 GN=Ltbp3 PE=1 SV=4, Mus_musculus_sp_Q8CG19_LTBP1_MOUSE sp_Q8CG19_LTBP1_MOUSE Latent-transforming growth factor beta-binding protein 1 OS=Mus musculus OX=10090 GN=Ltbp1 PE=1 SV=2, Mus_musculus_sp_Q8CG19_LTBP1_MOUSE sp_Q8CG19_LTBP1_MOUSE Latent-transforming growth factor beta-binding protein 1 OS=Mus musculus OX=10090 GN=Ltbp1 PE=1 SV=2
OG0000081	Salpingoeca_rosetta_XP_004994461.1 XP_004994461.1 cysteine-rich with EGF-like domain-containing protein 2 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991372.1 XP_004991372.1 uncharacterized protein PTSG_07576 [Salpingoeca rosetta]	Mus_musculus_sp_Q9CYA0_CREL2_MOUSE sp_Q9CYA0_CREL2_MOUSE Protein disulfide isomerase Creld2 OS=Mus musculus OX=10090 GN=Creld2 PE=1 SV=1, Mus_musculus_sp_Q91XD7_CREL1_MOUSE sp_Q91XD7_CREL1_MOUSE Protein disulfide isomerase Creld1 OS=Mus musculus OX=10090 GN=Creld1 PE=1 SV=1
OG0000088	Salpingoeca_rosetta_XP_004989262.1 XP_004989262.1 uncharacterized protein PTSG_09907 [Salpingoeca rosetta]	Mus_musculus_sp_Q8BMS2_SPON2_MOUSE sp_Q8BMS2_SPON2_MOUSE Spondin-2 OS=Mus musculus OX=10090 GN=Spon2 PE=2 SV=2, Mus_musculus_sp_Q8VCC9_SPON1_MOUSE sp_Q8VCC9_SPON1_MOUSE Spondin-1 OS=Mus musculus OX=10090 GN=Spon1 PE=1 SV=1
OG0000093	Salpingoeca_rosetta_XP_004996477.1 XP_004996477.1 uncharacterized protein PTSG_02962 [Salpingoeca rosetta]	Mus_musculus_sp_P35174_CYT2_MOUSE sp_P35174_CYT2_MOUSE Stefin-2 OS=Mus musculus OX=10090 GN=Stfa2 PE=3 SV=2, Mus_musculus_sp_P35173_CYT3_MOUSE sp_P35173_CYT3_MOUSE Stefin-3 OS=Mus musculus OX=10090 GN=Stfa3 PE=3 SV=1, Mus_musculus_sp_P35175_CYT1_MOUSE sp_P35175_CYT1_MOUSE Stefin-1 OS=Mus musculus OX=10090 GN=Stfa1 PE=3 SV=1, Mus_musculus_sp_Q62426_CYTB_MOUSE sp_Q62426_CYTB_MOUSE Cystatin-B OS=Mus musculus OX=10090 GN=Cstb PE=1 SV=1
OG0000102	Salpingoeca_rosetta_XP_004988631.1 XP_004988631.1 uncharacterized protein PTSG_10665 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004995207.1 XP_004995207.1 uncharacterized protein PTSG_03475 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993827.1 XP_004993827.1 uncharacterized protein PTSG_12283 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992684.1 XP_004992684.1 uncharacterized protein PTSG_12565 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991002.1 XP_004991002.1 hemagglutinin_amebocyte aggregation factor [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992431.1 XP_004992431.1 uncharacterized protein PTSG_07019 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998423.1 XP_004998423.1 uncharacterized protein PTSG_11664 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004987839.1 XP_004987839.1 uncharacterized protein PTSG_11194 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989978.1 XP_004989978.1 uncharacterized protein PTSG_09549 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990651.1 XP_004990651.1 hypothetical protein_ variant [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990652.1 XP_004990652.1 uncharacterized protein PTSG_12719 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004996528.1 XP_004996528.1 uncharacterized protein PTSG_03009 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004987976.1 XP_004987976.1 uncharacterized protein PTSG_11057 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990946.1 XP_004990946.1 uncharacterized protein PTSG_07442 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992612.1 XP_004992612.1 uncharacterized protein PTSG_07192 [Salpingoeca rosetta]	Mus_musculus_sp_Q9WVH9_FBLN5_MOUSE sp_Q9WVH9_FBLN5_MOUSE Fibulin-5 OS=Mus musculus OX=10090 GN=Fbln5 PE=1 SV=1, Mus_musculus_sp_Q9WVJ9_FBLN4_MOUSE sp_Q9WVJ9_FBLN4_MOUSE EGF-containing fibulin-like extracellular matrix protein 2 OS=Mus musculus OX=10090 GN=Efemp2 PE=1 SV=1, Mus_musculus_sp_Q8BPB5_FBLN3_MOUSE sp_Q8BPB5_FBLN3_MOUSE EGF-containing fibulin-like extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Efemp1 PE=1 SV=1
OG0000112	Salpingoeca_rosetta_XP_004998289.1 XP_004998289.1 uncharacterized protein PTSG_00821 [Salpingoeca rosetta]	Mus_musculus_sp_B2RY83_HPSE2_MOUSE sp_B2RY83_HPSE2_MOUSE Inactive heparanase-2 OS=Mus musculus OX=10090 GN=Hpse2 PE=2 SV=1, Mus_musculus_sp_Q6YGZ1_HPSE_MOUSE sp_Q6YGZ1_HPSE_MOUSE Heparanase OS=Mus musculus OX=10090 GN=Hpse PE=1 SV=3
OG0000122	Salpingoeca_rosetta_XP_004989019.1 XP_004989019.1 Megf11 [Salpingoeca rosetta]	Mus_musculus_sp_P33434_MMP2_MOUSE sp_P33434_MMP2_MOUSE 72 kDa type IV collagenase OS=Mus musculus OX=10090 GN=Mmp2 PE=1 SV=1, Mus_musculus_sp_P41245_MMP9_MOUSE sp_P41245_MMP9_MOUSE Matrix metalloproteinase-9 OS=Mus musculus OX=10090 GN=Mmp9 PE=1 SV=2
OG0000156	Salpingoeca_rosetta_XP_004992790.1 XP_004992790.1 uncharacterized protein PTSG_05897 [Salpingoeca rosetta]	Mus_musculus_sp_C0HKD9_MFA1B_MOUSE sp_C0HKD9_MFA1B_MOUSE Microfibrillar-associated protein 1B OS=Mus musculus OX=10090 GN=Mfap1b PE=1 SV=1
OG0000157	Salpingoeca_rosetta_XP_004992034.1 XP_004992034.1 uncharacterized protein PTSG_06646 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993741.1 XP_004993741.1 uncharacterized protein PTSG_05162 [Salpingoeca rosetta]	Mus_musculus_sp_Q80T14_FRAS1_MOUSE sp_Q80T14_FRAS1_MOUSE Extracellular matrix organizing protein FRAS1 OS=Mus musculus OX=10090 GN=Fras1 PE=1 SV=2, Mus_musculus_sp_Q684R7_FREM1_MOUSE sp_Q684R7_FREM1_MOUSE FRAS1-related extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Frem1 PE=1 SV=1, Mus_musculus_sp_Q684R7_FREM1_MOUSE sp_Q684R7_FREM1_MOUSE FRAS1-related extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Frem1 PE=1 SV=1
OG0000158	Salpingoeca_rosetta_XP_004991218.1 XP_004991218.1 uncharacterized protein PTSG_08193 [Salpingoeca rosetta]	Mus_musculus_sp_Q3UPR9_SBSPO_MOUSE sp_Q3UPR9_SBSPO_MOUSE Somatomedin-B and thrombospondin type-1 domain-containing protein OS=Mus musculus OX=10090 GN=Sbspon PE=2 SV=1
OG0000171	Salpingoeca_rosetta_XP_004995449.1 XP_004995449.1 uncharacterized protein PTSG_03725 [Salpingoeca rosetta]	Mus_musculus_sp_Q9JI78_NGLY1_MOUSE sp_Q9JI78_NGLY1_MOUSE Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Mus musculus OX=10090 GN=Ngly1 PE=1 SV=2
OG0000181	Salpingoeca_rosetta_XP_004997925.1 XP_004997925.1 uncharacterized protein PTSG_11806 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989184.1 XP_004989184.1 uncharacterized protein PTSG_09827 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004987674.1 XP_004987674.1 uncharacterized protein PTSG_11315 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993972.1 XP_004993972.1 uncharacterized protein PTSG_05399 [Salpingoeca rosetta]	Mus_musculus_sp_Q2TJ95_RSPO3_MOUSE sp_Q2TJ95_RSPO3_MOUSE R-spondin-3 OS=Mus musculus OX=10090 GN=Rspo3 PE=1 SV=2
OG0000182	Salpingoeca_rosetta_XP_004993157.1 XP_004993157.1 uncharacterized protein PTSG_12420 [Salpingoeca rosetta]	Mus_musculus_sp_Q3UVV9_VWA3A_MOUSE sp_Q3UVV9_VWA3A_MOUSE von Willebrand factor A domain-containing protein 3A OS=Mus musculus OX=10090 GN=Vwa3a PE=2 SV=1
OG0000447	Salpingoeca_rosetta_XP_004992279.1 XP_004992279.1 uncharacterized protein PTSG_06880 [Salpingoeca rosetta]	Mus_musculus_sp_Q9JM99_PRG4_MOUSE sp_Q9JM99_PRG4_MOUSE Proteoglycan 4 OS=Mus musculus OX=10090 GN=Prg4 PE=1 SV=2, Mus_musculus_sp_Q9JM99_PRG4_MOUSE sp_Q9JM99_PRG4_MOUSE Proteoglycan 4 OS=Mus musculus OX=10090 GN=Prg4 PE=1 SV=2
OG0000623	Salpingoeca_rosetta_XP_004997205.1 XP_004997205.1 uncharacterized protein PTSG_01232 [Salpingoeca rosetta]	Mus_musculus_sp_Q04857_CO6A1_MOUSE sp_Q04857_CO6A1_MOUSE Collagen alpha-1_VI_ chain OS=Mus musculus OX=10090 GN=Col6a1 PE=1 SV=1
