Orthogroup	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Amphioxiformes_Branchiostoma_floridae
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9VIQ1_A0A8J9VIQ1_BRALA tr|A0A8J9VIQ1|A0A8J9VIQ1_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VXU5_A0A8J9VXU5_BRALA tr|A0A8J9VXU5|A0A8J9VXU5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7LUJ3_A0A9J7LUJ3_BRAFL tr|A0A9J7LUJ3|A0A9J7LUJ3_BRAFL Angiopoietin-related protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118424873 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LVR2_A0A9J7LVR2_BRAFL tr|A0A9J7LVR2|A0A9J7LVR2_BRAFL Angiopoietin-related protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118424876 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0A1B6_A0A8K0A1B6_BRALA tr|A0A8K0A1B6|A0A8K0A1B6_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7L8L7_A0A9J7L8L7_BRAFL tr|A0A9J7L8L7|A0A9J7L8L7_BRAFL Angiopoietin-related protein 3-like OS=Branchiostoma floridae OX=7739 GN=LOC118416624 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0AE29_A0A8K0AE29_BRALA tr|A0A8K0AE29|A0A8K0AE29_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7L655_A0A9J7L655_BRAFL tr|A0A9J7L655|A0A9J7L655_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118416068 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9W200_A0A8J9W200_BRALA tr|A0A8J9W200|A0A8J9W200_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7N802_A0A9J7N802_BRAFL tr|A0A9J7N802|A0A9J7N802_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118428627 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M4U9_A0A9J7M4U9_BRAFL tr|A0A9J7M4U9|A0A9J7M4U9_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118428628 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9YQU6_A0A8J9YQU6_BRALA tr|A0A8J9YQU6|A0A8J9YQU6_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9WF00_A0A8J9WF00_BRALA tr|A0A8J9WF00|A0A8J9WF00_BRALA FGL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YQX3_A0A8J9YQX3_BRALA tr|A0A8J9YQX3|A0A8J9YQX3_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7LWE4_A0A9J7LWE4_BRAFL tr|A0A9J7LWE4|A0A9J7LWE4_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425067 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N061_A0A9J7N061_BRAFL tr|A0A9J7N061|A0A9J7N061_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118423774 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N3D1_A0A9J7N3D1_BRAFL tr|A0A9J7N3D1|A0A9J7N3D1_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118423963 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N516_A0A9J7N516_BRAFL tr|A0A9J7N516|A0A9J7N516_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425065 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N2Z2_A0A9J7N2Z2_BRAFL tr|A0A9J7N2Z2|A0A9J7N2Z2_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118425069 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LT92_A0A9J7LT92_BRAFL tr|A0A9J7LT92|A0A9J7LT92_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118423962 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZQQ3_A0A8J9ZQQ3_BRALA tr|A0A8J9ZQQ3|A0A8J9ZQQ3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7L3Q8_A0A9J7L3Q8_BRAFL tr|A0A9J7L3Q8|A0A9J7L3Q8_BRAFL Techylectin-5A-like OS=Branchiostoma floridae OX=7739 GN=LOC118414762 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0E5S9_A0A8K0E5S9_BRALA tr|A0A8K0E5S9|A0A8K0E5S9_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7MDK1_A0A9J7MDK1_BRAFL tr|A0A9J7MDK1|A0A9J7MDK1_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118431696 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0A0Q2_A0A8K0A0Q2_BRALA tr|A0A8K0A0Q2|A0A8K0A0Q2_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7L7S9_A0A9J7L7S9_BRAFL tr|A0A9J7L7S9|A0A9J7L7S9_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118416523 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZFK3_A0A8J9ZFK3_BRALA tr|A0A8J9ZFK3|A0A8J9ZFK3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZEH8_A0A8J9ZEH8_BRALA tr|A0A8J9ZEH8|A0A8J9ZEH8_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7HIT6_A0A9J7HIT6_BRAFL tr|A0A9J7HIT6|A0A9J7HIT6_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118404148 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HLS3_A0A9J7HLS3_BRAFL tr|A0A9J7HLS3|A0A9J7HLS3_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118406154 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M5V3_A0A9J7M5V3_BRAFL tr|A0A9J7M5V3|A0A9J7M5V3_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118428694 PE=4 SV=1, Branchiostoma_floridae_tr_C3Z9N5_C3Z9N5_BRAFL tr|C3Z9N5|C3Z9N5_BRAFL Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118403339 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KGQ6_A0A9J7KGQ6_BRAFL tr|A0A9J7KGQ6|A0A9J7KGQ6_BRAFL Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118403339 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KFN4_A0A9J7KFN4_BRAFL tr|A0A9J7KFN4|A0A9J7KFN4_BRAFL Microfibril-associated glycoprotein 4-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118403339 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7ML58_A0A9J7ML58_BRAFL tr|A0A9J7ML58|A0A9J7ML58_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118412446 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MLB1_A0A9J7MLB1_BRAFL tr|A0A9J7MLB1|A0A9J7MLB1_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118412444 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KU53_A0A9J7KU53_BRAFL tr|A0A9J7KU53|A0A9J7KU53_BRAFL LOW QUALITY PROTEIN_ ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118411679 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KUI2_A0A9J7KUI2_BRAFL tr|A0A9J7KUI2|A0A9J7KUI2_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118412231 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MJ34_A0A9J7MJ34_BRAFL tr|A0A9J7MJ34|A0A9J7MJ34_BRAFL Fibroleukin-like OS=Branchiostoma floridae OX=7739 GN=LOC118411206 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M8P2_A0A9J7M8P2_BRAFL tr|A0A9J7M8P2|A0A9J7M8P2_BRAFL LOW QUALITY PROTEIN_ fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118430235 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KV88_A0A9J7KV88_BRAFL tr|A0A9J7KV88|A0A9J7KV88_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118412452 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0A9G0_A0A8K0A9G0_BRALA tr|A0A8K0A9G0|A0A8K0A9G0_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7LLG5_A0A9J7LLG5_BRAFL tr|A0A9J7LLG5|A0A9J7LLG5_BRAFL Uncharacterized protein LOC118421508 OS=Branchiostoma floridae OX=7739 GN=LOC118421508 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0F2M8_A0A8K0F2M8_BRALA tr|A0A8K0F2M8|A0A8K0F2M8_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7LK76_A0A9J7LK76_BRAFL tr|A0A9J7LK76|A0A9J7LK76_BRAFL Uncharacterized protein LOC118421237 OS=Branchiostoma floridae OX=7739 GN=LOC118421237 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZZV3_A0A8J9ZZV3_BRALA tr|A0A8J9ZZV3|A0A8J9ZZV3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7L664_A0A9J7L664_BRAFL tr|A0A9J7L664|A0A9J7L664_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118416083 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZFC5_A0A8J9ZFC5_BRALA tr|A0A8J9ZFC5|A0A8J9ZFC5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7MGI9_A0A9J7MGI9_BRAFL tr|A0A9J7MGI9|A0A9J7MGI9_BRAFL Angiopoietin-related protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118409820 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9Z5H0_A0A8J9Z5H0_BRALA tr|A0A8J9Z5H0|A0A8J9Z5H0_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7HK50_A0A9J7HK50_BRAFL tr|A0A9J7HK50|A0A9J7HK50_BRAFL Uncharacterized protein LOC118404530 OS=Branchiostoma floridae OX=7739 GN=LOC118404530 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZV94_A0A8J9ZV94_BRALA tr|A0A8J9ZV94|A0A8J9ZV94_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7LZL0_A0A9J7LZL0_BRAFL tr|A0A9J7LZL0|A0A9J7LZL0_BRAFL Angiopoietin-related protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118426394 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZV95_A0A8J9ZV95_BRALA tr|A0A8J9ZV95|A0A8J9ZV95_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7M8I9_A0A9J7M8I9_BRAFL tr|A0A9J7M8I9|A0A9J7M8I9_BRAFL Angiopoietin-related protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118429692 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZYE6_A0A8J9ZYE6_BRALA tr|A0A8J9ZYE6|A0A8J9ZYE6_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EVJ5_A0A8K0EVJ5_BRALA tr|A0A8K0EVJ5|A0A8K0EVJ5_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZXV7_A0A8J9ZXV7_BRALA tr|A0A8J9ZXV7|A0A8J9ZXV7_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7LW16_A0A9J7LW16_BRAFL tr|A0A9J7LW16|A0A9J7LW16_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118425520 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0EPW9_A0A8K0EPW9_BRALA tr|A0A8K0EPW9|A0A8K0EPW9_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ESC6_A0A8K0ESC6_BRALA tr|A0A8K0ESC6|A0A8K0ESC6_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7LW06_A0A9J7LW06_BRAFL tr|A0A9J7LW06|A0A9J7LW06_BRAFL Angiopoietin-related protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118425514 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZWR0_A0A8J9ZWR0_BRALA tr|A0A8J9ZWR0|A0A8J9ZWR0_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7M2D4_A0A9J7M2D4_BRAFL tr|A0A9J7M2D4|A0A9J7M2D4_BRAFL Angiopoietin-related protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118427467 PE=4 SV=1
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0ENU0_A0A8K0ENU0_BRALA tr|A0A8K0ENU0|A0A8K0ENU0_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1	Branchiostoma_floridae_tr_A0A9J7KVY4_A0A9J7KVY4_BRAFL tr|A0A9J7KVY4|A0A9J7KVY4_BRAFL Uncharacterized protein LOC118412167 OS=Branchiostoma floridae OX=7739 GN=LOC118412167 PE=4 SV=1
