Orthogroup	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000001	Branchiostoma_lanceolatum_tr_A0A8J9ZFB8_A0A8J9ZFB8_BRALA tr|A0A8J9ZFB8|A0A8J9ZFB8_BRALA LAMA2 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMA2 PE=4 SV=1	Exaiptasia_diaphana_XP_020904889.1 XP_020904889.1 laminin subunit alpha-2 [Exaiptasia diaphana]
OG0000001	Branchiostoma_lanceolatum_tr_A0A8J9ZDC2_A0A8J9ZDC2_BRALA tr|A0A8J9ZDC2|A0A8J9ZDC2_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZDK6_A0A8J9ZDK6_BRALA tr|A0A8J9ZDK6|A0A8J9ZDK6_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EJV3_A0A8K0EJV3_BRALA tr|A0A8K0EJV3|A0A8K0EJV3_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EHQ4_A0A8K0EHQ4_BRALA tr|A0A8K0EHQ4|A0A8K0EHQ4_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZE07_A0A8J9ZE07_BRALA tr|A0A8J9ZE07|A0A8J9ZE07_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EH85_A0A8K0EH85_BRALA tr|A0A8K0EH85|A0A8K0EH85_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EKB7_A0A8K0EKB7_BRALA tr|A0A8K0EKB7|A0A8K0EKB7_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EFS0_A0A8K0EFS0_BRALA tr|A0A8K0EFS0|A0A8K0EFS0_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZD06_A0A8J9ZD06_BRALA tr|A0A8J9ZD06|A0A8J9ZD06_BRALA NEO1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NEO1 PE=3 SV=1	Exaiptasia_diaphana_XP_028514544.1 XP_028514544.1 neogenin [Exaiptasia diaphana]
OG0000001	Branchiostoma_lanceolatum_tr_A0A8J9ZBD6_A0A8J9ZBD6_BRALA tr|A0A8J9ZBD6|A0A8J9ZBD6_BRALA PRTG protein OS=Branchiostoma lanceolatum OX=7740 GN=PRTG PE=4 SV=1	Exaiptasia_diaphana_XP_020895914.1 XP_020895914.1 protogenin isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895913.1 XP_020895913.1 protogenin isoform X1 [Exaiptasia diaphana]
OG0000001	Branchiostoma_lanceolatum_tr_A0A8K0AAL2_A0A8K0AAL2_BRALA tr|A0A8K0AAL2|A0A8K0AAL2_BRALA PTPRQ protein OS=Branchiostoma lanceolatum OX=7740 GN=PTPRQ PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AGT1_A0A8K0AGT1_BRALA tr|A0A8K0AGT1|A0A8K0AGT1_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AJE6_A0A8K0AJE6_BRALA tr|A0A8K0AJE6|A0A8K0AJE6_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AHA8_A0A8K0AHA8_BRALA tr|A0A8K0AHA8|A0A8K0AHA8_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AFN9_A0A8K0AFN9_BRALA tr|A0A8K0AFN9|A0A8K0AFN9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AFP9_A0A8K0AFP9_BRALA tr|A0A8K0AFP9|A0A8K0AFP9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AJE9_A0A8K0AJE9_BRALA tr|A0A8K0AJE9|A0A8K0AJE9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AFJ7_A0A8K0AFJ7_BRALA tr|A0A8K0AFJ7|A0A8K0AFJ7_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AGD9_A0A8K0AGD9_BRALA tr|A0A8K0AGD9|A0A8K0AGD9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F1X9_A0A8K0F1X9_BRALA tr|A0A8K0F1X9|A0A8K0F1X9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F3P9_A0A8K0F3P9_BRALA tr|A0A8K0F3P9|A0A8K0F3P9_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F401_A0A8K0F401_BRALA tr|A0A8K0F401|A0A8K0F401_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F404_A0A8K0F404_BRALA tr|A0A8K0F404|A0A8K0F404_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F1F1_A0A8K0F1F1_BRALA tr|A0A8K0F1F1|A0A8K0F1F1_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AGU0_A0A8K0AGU0_BRALA tr|A0A8K0AGU0|A0A8K0AGU0_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AEM6_A0A8K0AEM6_BRALA tr|A0A8K0AEM6|A0A8K0AEM6_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F3P6_A0A8K0F3P6_BRALA tr|A0A8K0F3P6|A0A8K0F3P6_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AHB7_A0A8K0AHB7_BRALA tr|A0A8K0AHB7|A0A8K0AHB7_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F1E5_A0A8K0F1E5_BRALA tr|A0A8K0F1E5|A0A8K0F1E5_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EZA8_A0A8K0EZA8_BRALA tr|A0A8K0EZA8|A0A8K0EZA8_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AFI5_A0A8K0AFI5_BRALA tr|A0A8K0AFI5|A0A8K0AFI5_BRALA FN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AD39_A0A8K0AD39_BRALA tr|A0A8K0AD39|A0A8K0AD39_BRALA KCP protein OS=Branchiostoma lanceolatum OX=7740 GN=KCP PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AEB4_A0A8K0AEB4_BRALA tr|A0A8K0AEB4|A0A8K0AEB4_BRALA KCP protein OS=Branchiostoma lanceolatum OX=7740 GN=KCP PE=4 SV=1	Exaiptasia_diaphana_XP_020900342.1 XP_020900342.1 receptor-type tyrosine-protein phosphatase delta_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900689.1 XP_020900689.1 uncharacterized protein LOC110239316 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896540.1 XP_020896540.1 uncharacterized protein LOC110235419 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512881.1 XP_028512881.1 uncharacterized protein LOC110232353 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519676.1 XP_028519676.1 uncharacterized protein LOC110254595 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516859.1 XP_028516859.1 uncharacterized protein LOC110245738 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896606.1 XP_020896606.1 uncharacterized protein LOC110235487 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519684.1 XP_028519684.1 uncharacterized protein LOC110254618 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516606.1 XP_028516606.1 protein sidekick [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515621.1 XP_028515621.1 protein sidekick-1-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515622.1 XP_028515622.1 phosphatidylinositol phosphatase PTPRQ [Exaiptasia diaphana]
OG0000001	Branchiostoma_lanceolatum_tr_A0A8K0ACS0_A0A8K0ACS0_BRALA tr|A0A8K0ACS0|A0A8K0ACS0_BRALA SDK1 protein OS=Branchiostoma lanceolatum OX=7740 GN=SDK1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AEB9_A0A8K0AEB9_BRALA tr|A0A8K0AEB9|A0A8K0AEB9_BRALA SDK1 protein OS=Branchiostoma lanceolatum OX=7740 GN=SDK1 PE=4 SV=1	Exaiptasia_diaphana_XP_020901424.1 XP_020901424.1 protein sidekick-2 [Exaiptasia diaphana]
OG0000001	Branchiostoma_lanceolatum_tr_A0A8J9Z739_A0A8J9Z739_BRALA tr|A0A8J9Z739|A0A8J9Z739_BRALA NOTCH1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH1 PE=4 SV=1	Exaiptasia_diaphana_XP_020914496.2 XP_020914496.2 phosphatidylinositol phosphatase PTPRQ [Exaiptasia diaphana]
OG0000001	Branchiostoma_lanceolatum_tr_A0A8K0AAI7_A0A8K0AAI7_BRALA tr|A0A8K0AAI7|A0A8K0AAI7_BRALA NTNG2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NTNG2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ABQ5_A0A8K0ABQ5_BRALA tr|A0A8K0ABQ5|A0A8K0ABQ5_BRALA NTNG2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NTNG2 PE=4 SV=1	Exaiptasia_diaphana_XP_028519345.1 XP_028519345.1 laminin subunit beta-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916314.1 XP_020916314.1 laminin subunit gamma-1 [Exaiptasia diaphana]
OG0000001	Branchiostoma_lanceolatum_tr_A0A8K0AEM3_A0A8K0AEM3_BRALA tr|A0A8K0AEM3|A0A8K0AEM3_BRALA Netrin-1 OS=Branchiostoma lanceolatum OX=7740 GN=NTN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AER8_A0A8K0AER8_BRALA tr|A0A8K0AER8|A0A8K0AER8_BRALA NTN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NTN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ADI9_A0A8K0ADI9_BRALA tr|A0A8K0ADI9|A0A8K0ADI9_BRALA NTN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NTN1 PE=4 SV=1	Exaiptasia_diaphana_XP_028517047.1 XP_028517047.1 netrin-1 [Exaiptasia diaphana]
OG0000001	Branchiostoma_lanceolatum_tr_A0A8K0AD48_A0A8K0AD48_BRALA tr|A0A8K0AD48|A0A8K0AD48_BRALA LAMC1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMC1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ABF1_A0A8K0ABF1_BRALA tr|A0A8K0ABF1|A0A8K0ABF1_BRALA LAMC1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMC1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A9E9_A0A8K0A9E9_BRALA tr|A0A8K0A9E9|A0A8K0A9E9_BRALA LAMC1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMC1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AAF3_A0A8K0AAF3_BRALA tr|A0A8K0AAF3|A0A8K0AAF3_BRALA LAMC1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMC1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A9E1_A0A8K0A9E1_BRALA tr|A0A8K0A9E1|A0A8K0A9E1_BRALA LAMC1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMC1 PE=4 SV=1	Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]
OG0000001	Branchiostoma_lanceolatum_tr_A0A8K0EGU1_A0A8K0EGU1_BRALA tr|A0A8K0EGU1|A0A8K0EGU1_BRALA LAMA5 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMA5 PE=4 SV=1	Exaiptasia_diaphana_XP_020914470.1 XP_020914470.1 laminin subunit alpha-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904815.2 XP_020904815.2 laminin subunit alpha [Exaiptasia diaphana]
OG0000002	Branchiostoma_lanceolatum_tr_A0A8J9ZHB6_A0A8J9ZHB6_BRALA tr|A0A8J9ZHB6|A0A8J9ZHB6_BRALA VWA7 protein OS=Branchiostoma lanceolatum OX=7740 GN=VWA7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZEE9_A0A8J9ZEE9_BRALA tr|A0A8J9ZEE9|A0A8J9ZEE9_BRALA VWA7 protein OS=Branchiostoma lanceolatum OX=7740 GN=VWA7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZG62_A0A8J9ZG62_BRALA tr|A0A8J9ZG62|A0A8J9ZG62_BRALA VWA7 protein OS=Branchiostoma lanceolatum OX=7740 GN=VWA7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VRD3_A0A8J9VRD3_BRALA tr|A0A8J9VRD3|A0A8J9VRD3_BRALA VWA7 protein OS=Branchiostoma lanceolatum OX=7740 GN=VWA7 PE=4 SV=1	Exaiptasia_diaphana_XP_028516981.1 XP_028516981.1 mucin-7-like_ partial [Exaiptasia diaphana]
OG0000002	Branchiostoma_lanceolatum_tr_A0A8K0EJ68_A0A8K0EJ68_BRALA tr|A0A8K0EJ68|A0A8K0EJ68_BRALA THBS3 protein OS=Branchiostoma lanceolatum OX=7740 GN=THBS3 PE=3 SV=1	Exaiptasia_diaphana_XP_028518906.1 XP_028518906.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]
OG0000002	Branchiostoma_lanceolatum_tr_A0A8K0E9X6_A0A8K0E9X6_BRALA tr|A0A8K0E9X6|A0A8K0E9X6_BRALA SEMA5A protein OS=Branchiostoma lanceolatum OX=7740 GN=SEMA5A PE=4 SV=1	Exaiptasia_diaphana_XP_028519693.1 XP_028519693.1 semaphorin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519694.1 XP_028519694.1 semaphorin-5A [Exaiptasia diaphana]
