Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000012	Acropora_digitifera_adi_v1.12876 adi_v1.12876	Mnemiopsis_leidyi_ML065752a ML065752a, Mnemiopsis_leidyi_ML12185a ML12185a, Mnemiopsis_leidyi_ML11032a ML11032a, Mnemiopsis_leidyi_ML022012a ML022012a, Mnemiopsis_leidyi_ML11033a ML11033a, Mnemiopsis_leidyi_ML41863a ML41863a
OG0000012	Acropora_digitifera_adi_v1.08393 adi_v1.08393	Mnemiopsis_leidyi_ML020019a ML020019a
OG0000013	Acropora_digitifera_adi_v1.13606 adi_v1.13606	Mnemiopsis_leidyi_ML101013a ML101013a
OG0000013	Acropora_digitifera_adi_v1.06764 adi_v1.06764, Acropora_digitifera_adi_v1.02062 adi_v1.02062, Acropora_digitifera_adi_v1.02063 adi_v1.02063	Mnemiopsis_leidyi_ML06021a ML06021a
OG0000015	Acropora_digitifera_adi_v1.13064 adi_v1.13064, Acropora_digitifera_adi_v1.04802 adi_v1.04802, Acropora_digitifera_adi_v1.21797 adi_v1.21797, Acropora_digitifera_adi_v1.01313 adi_v1.01313, Acropora_digitifera_adi_v1.21798 adi_v1.21798, Acropora_digitifera_adi_v1.21068 adi_v1.21068, Acropora_digitifera_adi_v1.07627 adi_v1.07627, Acropora_digitifera_adi_v1.13318 adi_v1.13318, Acropora_digitifera_adi_v1.14554 adi_v1.14554, Acropora_digitifera_adi_v1.13317 adi_v1.13317, Acropora_digitifera_adi_v1.09195 adi_v1.09195, Acropora_digitifera_adi_v1.10025 adi_v1.10025, Acropora_digitifera_adi_v1.18255 adi_v1.18255, Acropora_digitifera_adi_v1.10116 adi_v1.10116, Acropora_digitifera_adi_v1.14347 adi_v1.14347, Acropora_digitifera_adi_v1.04885 adi_v1.04885, Acropora_digitifera_adi_v1.14346 adi_v1.14346, Acropora_digitifera_adi_v1.24382 adi_v1.24382, Acropora_digitifera_adi_v1.01110 adi_v1.01110, Acropora_digitifera_adi_v1.17903 adi_v1.17903, Acropora_digitifera_adi_v1.23833 adi_v1.23833, Acropora_digitifera_adi_v1.22393 adi_v1.22393, Acropora_digitifera_adi_v1.10186 adi_v1.10186	Mnemiopsis_leidyi_ML17012a ML17012a
OG0000016	Acropora_digitifera_adi_v1.22761 adi_v1.22761	Mnemiopsis_leidyi_ML282519a ML282519a
OG0000018	Acropora_digitifera_adi_v1.03894 adi_v1.03894, Acropora_digitifera_adi_v1.00628 adi_v1.00628, Acropora_digitifera_adi_v1.19537 adi_v1.19537, Acropora_digitifera_adi_v1.24394 adi_v1.24394, Acropora_digitifera_adi_v1.06439 adi_v1.06439, Acropora_digitifera_adi_v1.08717 adi_v1.08717, Acropora_digitifera_adi_v1.18043 adi_v1.18043, Acropora_digitifera_adi_v1.04186 adi_v1.04186, Acropora_digitifera_adi_v1.02958 adi_v1.02958, Acropora_digitifera_adi_v1.13776 adi_v1.13776, Acropora_digitifera_adi_v1.10056 adi_v1.10056, Acropora_digitifera_adi_v1.13777 adi_v1.13777	Mnemiopsis_leidyi_ML02231a ML02231a, Mnemiopsis_leidyi_ML02243a ML02243a, Mnemiopsis_leidyi_ML006919a ML006919a, Mnemiopsis_leidyi_ML096926a ML096926a
OG0000018	Acropora_digitifera_adi_v1.18899 adi_v1.18899	Mnemiopsis_leidyi_ML044129a ML044129a
OG0000019	Acropora_digitifera_adi_v1.07696 adi_v1.07696, Acropora_digitifera_adi_v1.01025 adi_v1.01025, Acropora_digitifera_adi_v1.07728 adi_v1.07728, Acropora_digitifera_adi_v1.10675 adi_v1.10675, Acropora_digitifera_adi_v1.15796 adi_v1.15796, Acropora_digitifera_adi_v1.02299 adi_v1.02299	Mnemiopsis_leidyi_ML218835a ML218835a
OG0000019	Acropora_digitifera_adi_v1.01570 adi_v1.01570	Mnemiopsis_leidyi_ML34871b ML34871b
OG0000021	Acropora_digitifera_adi_v1.03548 adi_v1.03548	Mnemiopsis_leidyi_ML06733a ML06733a, Mnemiopsis_leidyi_ML06732a ML06732a
OG0000022	Acropora_digitifera_adi_v1.05985 adi_v1.05985, Acropora_digitifera_adi_v1.13743 adi_v1.13743, Acropora_digitifera_adi_v1.13744 adi_v1.13744, Acropora_digitifera_adi_v1.07947 adi_v1.07947	Mnemiopsis_leidyi_ML01536a ML01536a, Mnemiopsis_leidyi_ML00134a ML00134a, Mnemiopsis_leidyi_ML139112a ML139112a
OG0000022	Acropora_digitifera_adi_v1.17095 adi_v1.17095, Acropora_digitifera_adi_v1.08755 adi_v1.08755	Mnemiopsis_leidyi_ML148937a ML148937a, Mnemiopsis_leidyi_ML08207a ML08207a, Mnemiopsis_leidyi_ML03242a ML03242a
OG0000024	Acropora_digitifera_adi_v1.05361 adi_v1.05361, Acropora_digitifera_adi_v1.10598 adi_v1.10598, Acropora_digitifera_adi_v1.05363 adi_v1.05363, Acropora_digitifera_adi_v1.05362 adi_v1.05362	Mnemiopsis_leidyi_ML327428a ML327428a, Mnemiopsis_leidyi_ML37461a ML37461a
OG0000030	Acropora_digitifera_adi_v1.13106 adi_v1.13106	Mnemiopsis_leidyi_ML029519a ML029519a, Mnemiopsis_leidyi_ML306123a ML306123a, Mnemiopsis_leidyi_ML010117a ML010117a, Mnemiopsis_leidyi_ML17408a ML17408a, Mnemiopsis_leidyi_ML17409a ML17409a
OG0000030	Acropora_digitifera_adi_v1.02168 adi_v1.02168, Acropora_digitifera_adi_v1.09623 adi_v1.09623	Mnemiopsis_leidyi_ML03054a ML03054a
OG0000034	Acropora_digitifera_adi_v1.08610 adi_v1.08610	Mnemiopsis_leidyi_ML258254a ML258254a
OG0000034	Acropora_digitifera_adi_v1.13495 adi_v1.13495, Acropora_digitifera_adi_v1.18578 adi_v1.18578	Mnemiopsis_leidyi_ML04261a ML04261a
OG0000036	Acropora_digitifera_adi_v1.11172 adi_v1.11172, Acropora_digitifera_adi_v1.11171 adi_v1.11171, Acropora_digitifera_adi_v1.21085 adi_v1.21085	Mnemiopsis_leidyi_ML11227a ML11227a
OG0000039	Acropora_digitifera_adi_v1.12546 adi_v1.12546	Mnemiopsis_leidyi_ML267515a ML267515a
OG0000041	Acropora_digitifera_adi_v1.03072 adi_v1.03072, Acropora_digitifera_adi_v1.21179 adi_v1.21179	Mnemiopsis_leidyi_ML21898a ML21898a
OG0000041	Acropora_digitifera_adi_v1.12520 adi_v1.12520, Acropora_digitifera_adi_v1.02837 adi_v1.02837	Mnemiopsis_leidyi_ML08024a ML08024a
OG0000042	Acropora_digitifera_adi_v1.01395 adi_v1.01395, Acropora_digitifera_adi_v1.15503 adi_v1.15503, Acropora_digitifera_adi_v1.15501 adi_v1.15501	Mnemiopsis_leidyi_ML044119a ML044119a
OG0000044	Acropora_digitifera_adi_v1.17869 adi_v1.17869, Acropora_digitifera_adi_v1.01279 adi_v1.01279, Acropora_digitifera_adi_v1.01276 adi_v1.01276, Acropora_digitifera_adi_v1.01277 adi_v1.01277	Mnemiopsis_leidyi_ML03126a ML03126a, Mnemiopsis_leidyi_ML25826a ML25826a
OG0000045	Acropora_digitifera_adi_v1.10227 adi_v1.10227, Acropora_digitifera_adi_v1.09586 adi_v1.09586, Acropora_digitifera_adi_v1.17109 adi_v1.17109	Mnemiopsis_leidyi_ML097515a ML097515a
OG0000049	Acropora_digitifera_adi_v1.00526 adi_v1.00526	Mnemiopsis_leidyi_ML21869a ML21869a, Mnemiopsis_leidyi_ML015721a ML015721a, Mnemiopsis_leidyi_ML083035a ML083035a
OG0000051	Acropora_digitifera_adi_v1.03896 adi_v1.03896, Acropora_digitifera_adi_v1.01617 adi_v1.01617, Acropora_digitifera_adi_v1.22187 adi_v1.22187, Acropora_digitifera_adi_v1.22186 adi_v1.22186, Acropora_digitifera_adi_v1.01615 adi_v1.01615, Acropora_digitifera_adi_v1.17811 adi_v1.17811	Mnemiopsis_leidyi_ML128420a ML128420a, Mnemiopsis_leidyi_ML128419a ML128419a, Mnemiopsis_leidyi_ML011744a ML011744a, Mnemiopsis_leidyi_ML279516a ML279516a, Mnemiopsis_leidyi_ML15153a ML15153a, Mnemiopsis_leidyi_ML170514a ML170514a, Mnemiopsis_leidyi_ML358829a ML358829a, Mnemiopsis_leidyi_ML023017a ML023017a
OG0000052	Acropora_digitifera_adi_v1.18882 adi_v1.18882, Acropora_digitifera_adi_v1.16615 adi_v1.16615, Acropora_digitifera_adi_v1.22447 adi_v1.22447, Acropora_digitifera_adi_v1.03642 adi_v1.03642, Acropora_digitifera_adi_v1.21147 adi_v1.21147, Acropora_digitifera_adi_v1.21604 adi_v1.21604, Acropora_digitifera_adi_v1.21148 adi_v1.21148, Acropora_digitifera_adi_v1.17997 adi_v1.17997, Acropora_digitifera_adi_v1.21832 adi_v1.21832, Acropora_digitifera_adi_v1.11491 adi_v1.11491	Mnemiopsis_leidyi_ML204430a ML204430a, Mnemiopsis_leidyi_ML204429a ML204429a, Mnemiopsis_leidyi_ML020113a ML020113a, Mnemiopsis_leidyi_ML50011a ML50011a, Mnemiopsis_leidyi_ML282520a ML282520a
OG0000054	Acropora_digitifera_adi_v1.21440 adi_v1.21440, Acropora_digitifera_adi_v1.13439 adi_v1.13439, Acropora_digitifera_adi_v1.00193 adi_v1.00193	Mnemiopsis_leidyi_ML095316a ML095316a
OG0000058	Acropora_digitifera_adi_v1.10518 adi_v1.10518, Acropora_digitifera_adi_v1.09748 adi_v1.09748, Acropora_digitifera_adi_v1.20259 adi_v1.20259, Acropora_digitifera_adi_v1.06948 adi_v1.06948, Acropora_digitifera_adi_v1.13941 adi_v1.13941, Acropora_digitifera_adi_v1.10945 adi_v1.10945, Acropora_digitifera_adi_v1.09968 adi_v1.09968	Mnemiopsis_leidyi_ML15451a ML15451a, Mnemiopsis_leidyi_ML048618a ML048618a, Mnemiopsis_leidyi_ML048623a ML048623a
OG0000062	Acropora_digitifera_adi_v1.19726 adi_v1.19726	Mnemiopsis_leidyi_ML085714a ML085714a
OG0000063	Acropora_digitifera_adi_v1.03588 adi_v1.03588, Acropora_digitifera_adi_v1.16891 adi_v1.16891, Acropora_digitifera_adi_v1.10277 adi_v1.10277	Mnemiopsis_leidyi_ML073718a ML073718a
OG0000065	Acropora_digitifera_adi_v1.01898 adi_v1.01898, Acropora_digitifera_adi_v1.06117 adi_v1.06117	Mnemiopsis_leidyi_ML14244a ML14244a
OG0000070	Acropora_digitifera_adi_v1.06768 adi_v1.06768	Mnemiopsis_leidyi_ML02361a ML02361a
OG0000087	Acropora_digitifera_adi_v1.01106 adi_v1.01106	Mnemiopsis_leidyi_ML06334a ML06334a
OG0000093	Acropora_digitifera_adi_v1.22486 adi_v1.22486, Acropora_digitifera_adi_v1.07717 adi_v1.07717, Acropora_digitifera_adi_v1.18858 adi_v1.18858	Mnemiopsis_leidyi_ML093044a ML093044a
OG0000094	Acropora_digitifera_adi_v1.13477 adi_v1.13477	Mnemiopsis_leidyi_ML09081a ML09081a
OG0000103	Acropora_digitifera_adi_v1.12265 adi_v1.12265	Mnemiopsis_leidyi_ML14703a ML14703a
OG0000106	Acropora_digitifera_adi_v1.02115 adi_v1.02115, Acropora_digitifera_adi_v1.04595 adi_v1.04595, Acropora_digitifera_adi_v1.12730 adi_v1.12730, Acropora_digitifera_adi_v1.04153 adi_v1.04153, Acropora_digitifera_adi_v1.04157 adi_v1.04157, Acropora_digitifera_adi_v1.04154 adi_v1.04154, Acropora_digitifera_adi_v1.08231 adi_v1.08231	Mnemiopsis_leidyi_ML10439a ML10439a, Mnemiopsis_leidyi_ML104310a ML104310a
OG0000113	Acropora_digitifera_adi_v1.13246 adi_v1.13246	Mnemiopsis_leidyi_ML086612a ML086612a
OG0000114	Acropora_digitifera_adi_v1.04340 adi_v1.04340	Mnemiopsis_leidyi_ML082712a ML082712a
OG0000133	Acropora_digitifera_adi_v1.13517 adi_v1.13517	Mnemiopsis_leidyi_ML018015a ML018015a
OG0000152	Acropora_digitifera_adi_v1.16224 adi_v1.16224	Mnemiopsis_leidyi_ML12828a ML12828a, Mnemiopsis_leidyi_ML12827a ML12827a
OG0000156	Acropora_digitifera_adi_v1.15791 adi_v1.15791	Mnemiopsis_leidyi_ML000712a ML000712a
OG0000159	Acropora_digitifera_adi_v1.03630 adi_v1.03630, Acropora_digitifera_adi_v1.12814 adi_v1.12814, Acropora_digitifera_adi_v1.04349 adi_v1.04349	Mnemiopsis_leidyi_ML074238a ML074238a
OG0000165	Acropora_digitifera_adi_v1.19692 adi_v1.19692	Mnemiopsis_leidyi_ML40868a ML40868a
OG0000167	Acropora_digitifera_adi_v1.12020 adi_v1.12020	Mnemiopsis_leidyi_ML068314a ML068314a
OG0000170	Acropora_digitifera_adi_v1.17856 adi_v1.17856, Acropora_digitifera_adi_v1.22256 adi_v1.22256, Acropora_digitifera_adi_v1.19857 adi_v1.19857, Acropora_digitifera_adi_v1.21654 adi_v1.21654, Acropora_digitifera_adi_v1.11398 adi_v1.11398, Acropora_digitifera_adi_v1.20144 adi_v1.20144	Mnemiopsis_leidyi_ML18111a ML18111a
OG0000171	Acropora_digitifera_adi_v1.04624 adi_v1.04624, Acropora_digitifera_adi_v1.01870 adi_v1.01870	Mnemiopsis_leidyi_ML104332a ML104332a
OG0000176	Acropora_digitifera_adi_v1.05518 adi_v1.05518	Mnemiopsis_leidyi_ML50511a ML50511a
OG0000179	Acropora_digitifera_adi_v1.01048 adi_v1.01048	Mnemiopsis_leidyi_ML15096a ML15096a
OG0000193	Acropora_digitifera_adi_v1.08763 adi_v1.08763	Mnemiopsis_leidyi_ML03269a ML03269a
OG0000194	Acropora_digitifera_adi_v1.00469 adi_v1.00469	Mnemiopsis_leidyi_ML16565a ML16565a
OG0000195	Acropora_digitifera_adi_v1.01290 adi_v1.01290	Mnemiopsis_leidyi_ML173714a ML173714a
OG0000204	Acropora_digitifera_adi_v1.12294 adi_v1.12294	Mnemiopsis_leidyi_ML14272a ML14272a
OG0000212	Acropora_digitifera_adi_v1.12729 adi_v1.12729	Mnemiopsis_leidyi_ML097529a ML097529a
OG0000220	Acropora_digitifera_adi_v1.22708 adi_v1.22708	Mnemiopsis_leidyi_ML01633a ML01633a
OG0000229	Acropora_digitifera_adi_v1.02366 adi_v1.02366	Mnemiopsis_leidyi_ML019415a ML019415a
OG0000263	Acropora_digitifera_adi_v1.16241 adi_v1.16241	Mnemiopsis_leidyi_ML13913a ML13913a
OG0000285	Acropora_digitifera_adi_v1.02142 adi_v1.02142	Mnemiopsis_leidyi_ML10116a ML10116a
OG0000331	Acropora_digitifera_adi_v1.23613 adi_v1.23613	Mnemiopsis_leidyi_ML017312a ML017312a
OG0000884	Acropora_digitifera_adi_v1.22351 adi_v1.22351	Mnemiopsis_leidyi_ML044127a ML044127a
