Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis
OG0000001	Acropora_digitifera_adi_v1.11962 adi_v1.11962	Calvadosia_cruxmelitensis_Ccrux.Trinity.6711 Ccrux.Trinity.6711, Calvadosia_cruxmelitensis_Ccrux.Trinity.6713 Ccrux.Trinity.6713
OG0000001	Acropora_digitifera_adi_v1.04637 adi_v1.04637	Calvadosia_cruxmelitensis_Ccrux.Trinity.38369 Ccrux.Trinity.38369
OG0000001	Acropora_digitifera_adi_v1.06273 adi_v1.06273, Acropora_digitifera_adi_v1.05371 adi_v1.05371, Acropora_digitifera_adi_v1.12829 adi_v1.12829, Acropora_digitifera_adi_v1.20934 adi_v1.20934, Acropora_digitifera_adi_v1.04277 adi_v1.04277, Acropora_digitifera_adi_v1.21086 adi_v1.21086, Acropora_digitifera_adi_v1.11064 adi_v1.11064, Acropora_digitifera_adi_v1.14113 adi_v1.14113, Acropora_digitifera_adi_v1.18078 adi_v1.18078	Calvadosia_cruxmelitensis_Ccrux.Trinity.59987 Ccrux.Trinity.59987
OG0000001	Acropora_digitifera_adi_v1.00967 adi_v1.00967	Calvadosia_cruxmelitensis_Ccrux.Trinity.40612 Ccrux.Trinity.40612, Calvadosia_cruxmelitensis_Ccrux.Trinity.40613 Ccrux.Trinity.40613
OG0000001	Acropora_digitifera_adi_v1.03506 adi_v1.03506	Calvadosia_cruxmelitensis_Ccrux.Trinity.47275 Ccrux.Trinity.47275, Calvadosia_cruxmelitensis_Ccrux.Trinity.47256 Ccrux.Trinity.47256, Calvadosia_cruxmelitensis_Ccrux.Trinity.47271 Ccrux.Trinity.47271, Calvadosia_cruxmelitensis_Ccrux.Trinity.47257 Ccrux.Trinity.47257, Calvadosia_cruxmelitensis_Ccrux.Trinity.47260 Ccrux.Trinity.47260, Calvadosia_cruxmelitensis_Ccrux.Trinity.47278 Ccrux.Trinity.47278, Calvadosia_cruxmelitensis_Ccrux.Trinity.47280 Ccrux.Trinity.47280
OG0000001	Acropora_digitifera_adi_v1.09526 adi_v1.09526, Acropora_digitifera_adi_v1.13954 adi_v1.13954, Acropora_digitifera_adi_v1.22460 adi_v1.22460	Calvadosia_cruxmelitensis_Ccrux.Trinity.54378 Ccrux.Trinity.54378, Calvadosia_cruxmelitensis_Ccrux.Trinity.54377 Ccrux.Trinity.54377
OG0000001	Acropora_digitifera_adi_v1.10769 adi_v1.10769	Calvadosia_cruxmelitensis_Ccrux.Trinity.52972 Ccrux.Trinity.52972
OG0000001	Acropora_digitifera_adi_v1.01960 adi_v1.01960, Acropora_digitifera_adi_v1.06175 adi_v1.06175	Calvadosia_cruxmelitensis_Ccrux.Trinity.70250 Ccrux.Trinity.70250, Calvadosia_cruxmelitensis_Ccrux.Trinity.33425 Ccrux.Trinity.33425, Calvadosia_cruxmelitensis_Ccrux.Trinity.33423 Ccrux.Trinity.33423, Calvadosia_cruxmelitensis_Ccrux.Trinity.33422 Ccrux.Trinity.33422, Calvadosia_cruxmelitensis_Ccrux.Trinity.33427 Ccrux.Trinity.33427
OG0000001	Acropora_digitifera_adi_v1.11383 adi_v1.11383	Calvadosia_cruxmelitensis_Ccrux.Trinity.20012 Ccrux.Trinity.20012
OG0000001	Acropora_digitifera_adi_v1.19391 adi_v1.19391, Acropora_digitifera_adi_v1.06434 adi_v1.06434	Calvadosia_cruxmelitensis_Ccrux.Trinity.14897 Ccrux.Trinity.14897, Calvadosia_cruxmelitensis_Ccrux.Trinity.14896 Ccrux.Trinity.14896, Calvadosia_cruxmelitensis_Ccrux.Trinity.1401 Ccrux.Trinity.1401
OG0000002	Acropora_digitifera_adi_v1.12948 adi_v1.12948	Calvadosia_cruxmelitensis_Ccrux.Trinity.45769 Ccrux.Trinity.45769
OG0000002	Acropora_digitifera_adi_v1.00160 adi_v1.00160, Acropora_digitifera_adi_v1.00161 adi_v1.00161	Calvadosia_cruxmelitensis_Ccrux.Trinity.40216 Ccrux.Trinity.40216, Calvadosia_cruxmelitensis_Ccrux.Trinity.40220 Ccrux.Trinity.40220, Calvadosia_cruxmelitensis_Ccrux.Trinity.40212 Ccrux.Trinity.40212, Calvadosia_cruxmelitensis_Ccrux.Trinity.40218 Ccrux.Trinity.40218
OG0000002	Acropora_digitifera_adi_v1.15793 adi_v1.15793, Acropora_digitifera_adi_v1.20102 adi_v1.20102, Acropora_digitifera_adi_v1.13507 adi_v1.13507, Acropora_digitifera_adi_v1.14607 adi_v1.14607	Calvadosia_cruxmelitensis_Ccrux.Trinity.48847 Ccrux.Trinity.48847, Calvadosia_cruxmelitensis_Ccrux.Trinity.48848 Ccrux.Trinity.48848
OG0000002	Acropora_digitifera_adi_v1.09542 adi_v1.09542	Calvadosia_cruxmelitensis_Ccrux.Trinity.31667 Ccrux.Trinity.31667, Calvadosia_cruxmelitensis_Ccrux.Trinity.31685 Ccrux.Trinity.31685, Calvadosia_cruxmelitensis_Ccrux.Trinity.31670 Ccrux.Trinity.31670, Calvadosia_cruxmelitensis_Ccrux.Trinity.31689 Ccrux.Trinity.31689, Calvadosia_cruxmelitensis_Ccrux.Trinity.31661 Ccrux.Trinity.31661, Calvadosia_cruxmelitensis_Ccrux.Trinity.31686 Ccrux.Trinity.31686, Calvadosia_cruxmelitensis_Ccrux.Trinity.31662 Ccrux.Trinity.31662, Calvadosia_cruxmelitensis_Ccrux.Trinity.31663 Ccrux.Trinity.31663, Calvadosia_cruxmelitensis_Ccrux.Trinity.31672 Ccrux.Trinity.31672, Calvadosia_cruxmelitensis_Ccrux.Trinity.31680 Ccrux.Trinity.31680
OG0000002	Acropora_digitifera_adi_v1.13969 adi_v1.13969	Calvadosia_cruxmelitensis_Ccrux.Trinity.48835 Ccrux.Trinity.48835, Calvadosia_cruxmelitensis_Ccrux.Trinity.48834 Ccrux.Trinity.48834, Calvadosia_cruxmelitensis_Ccrux.Trinity.48839 Ccrux.Trinity.48839
OG0000002	Acropora_digitifera_adi_v1.10800 adi_v1.10800	Calvadosia_cruxmelitensis_Ccrux.Trinity.32954 Ccrux.Trinity.32954, Calvadosia_cruxmelitensis_Ccrux.Trinity.32955 Ccrux.Trinity.32955, Calvadosia_cruxmelitensis_Ccrux.Trinity.32953 Ccrux.Trinity.32953, Calvadosia_cruxmelitensis_Ccrux.Trinity.32959 Ccrux.Trinity.32959, Calvadosia_cruxmelitensis_Ccrux.Trinity.32958 Ccrux.Trinity.32958, Calvadosia_cruxmelitensis_Ccrux.Trinity.32957 Ccrux.Trinity.32957
OG0000002	Acropora_digitifera_adi_v1.06084 adi_v1.06084, Acropora_digitifera_adi_v1.05235 adi_v1.05235	Calvadosia_cruxmelitensis_Ccrux.Trinity.13790 Ccrux.Trinity.13790, Calvadosia_cruxmelitensis_Ccrux.Trinity.58446 Ccrux.Trinity.58446
OG0000002	Acropora_digitifera_adi_v1.03778 adi_v1.03778, Acropora_digitifera_adi_v1.17245 adi_v1.17245	Calvadosia_cruxmelitensis_Ccrux.Trinity.47502 Ccrux.Trinity.47502, Calvadosia_cruxmelitensis_Ccrux.Trinity.47503 Ccrux.Trinity.47503, Calvadosia_cruxmelitensis_Ccrux.Trinity.47501 Ccrux.Trinity.47501, Calvadosia_cruxmelitensis_Ccrux.Trinity.47500 Ccrux.Trinity.47500
OG0000002	Acropora_digitifera_adi_v1.13790 adi_v1.13790	Calvadosia_cruxmelitensis_Ccrux.Trinity.39956 Ccrux.Trinity.39956, Calvadosia_cruxmelitensis_Ccrux.Trinity.39954 Ccrux.Trinity.39954
OG0000002	Acropora_digitifera_adi_v1.14486 adi_v1.14486, Acropora_digitifera_adi_v1.21225 adi_v1.21225	Calvadosia_cruxmelitensis_Ccrux.Trinity.67308 Ccrux.Trinity.67308, Calvadosia_cruxmelitensis_Ccrux.Trinity.15392 Ccrux.Trinity.15392
OG0000002	Acropora_digitifera_adi_v1.11795 adi_v1.11795	Calvadosia_cruxmelitensis_Ccrux.Trinity.32086 Ccrux.Trinity.32086
OG0000002	Acropora_digitifera_adi_v1.07180 adi_v1.07180	Calvadosia_cruxmelitensis_Ccrux.Trinity.20192 Ccrux.Trinity.20192
OG0000002	Acropora_digitifera_adi_v1.03379 adi_v1.03379	Calvadosia_cruxmelitensis_Ccrux.Trinity.83 Ccrux.Trinity.83
OG0000002	Acropora_digitifera_adi_v1.09809 adi_v1.09809	Calvadosia_cruxmelitensis_Ccrux.Trinity.9779 Ccrux.Trinity.9779, Calvadosia_cruxmelitensis_Ccrux.Trinity.9778 Ccrux.Trinity.9778, Calvadosia_cruxmelitensis_Ccrux.Trinity.9777 Ccrux.Trinity.9777, Calvadosia_cruxmelitensis_Ccrux.Trinity.68784 Ccrux.Trinity.68784
OG0000002	Acropora_digitifera_adi_v1.01409 adi_v1.01409	Calvadosia_cruxmelitensis_Ccrux.Trinity.66227 Ccrux.Trinity.66227, Calvadosia_cruxmelitensis_Ccrux.Trinity.9254 Ccrux.Trinity.9254
OG0000003	Acropora_digitifera_adi_v1.14319 adi_v1.14319	Calvadosia_cruxmelitensis_Ccrux.Trinity.52176 Ccrux.Trinity.52176
OG0000003	Acropora_digitifera_adi_v1.23742 adi_v1.23742, Acropora_digitifera_adi_v1.24161 adi_v1.24161	Calvadosia_cruxmelitensis_Ccrux.Trinity.16460 Ccrux.Trinity.16460, Calvadosia_cruxmelitensis_Ccrux.Trinity.16459 Ccrux.Trinity.16459, Calvadosia_cruxmelitensis_Ccrux.Trinity.16464 Ccrux.Trinity.16464, Calvadosia_cruxmelitensis_Ccrux.Trinity.16465 Ccrux.Trinity.16465, Calvadosia_cruxmelitensis_Ccrux.Trinity.16461 Ccrux.Trinity.16461
OG0000003	Acropora_digitifera_adi_v1.06053 adi_v1.06053, Acropora_digitifera_adi_v1.10205 adi_v1.10205, Acropora_digitifera_adi_v1.16681 adi_v1.16681, Acropora_digitifera_adi_v1.01604 adi_v1.01604, Acropora_digitifera_adi_v1.15378 adi_v1.15378, Acropora_digitifera_adi_v1.19802 adi_v1.19802, Acropora_digitifera_adi_v1.24403 adi_v1.24403	Calvadosia_cruxmelitensis_Ccrux.Trinity.62416 Ccrux.Trinity.62416
OG0000003	Acropora_digitifera_adi_v1.07446 adi_v1.07446, Acropora_digitifera_adi_v1.23858 adi_v1.23858	Calvadosia_cruxmelitensis_Ccrux.Trinity.63471 Ccrux.Trinity.63471
OG0000003	Acropora_digitifera_adi_v1.17681 adi_v1.17681	Calvadosia_cruxmelitensis_Ccrux.Trinity.2131 Ccrux.Trinity.2131
OG0000003	Acropora_digitifera_adi_v1.12298 adi_v1.12298, Acropora_digitifera_adi_v1.02332 adi_v1.02332	Calvadosia_cruxmelitensis_Ccrux.Trinity.55921 Ccrux.Trinity.55921
OG0000003	Acropora_digitifera_adi_v1.03583 adi_v1.03583	Calvadosia_cruxmelitensis_Ccrux.Trinity.59074 Ccrux.Trinity.59074
OG0000003	Acropora_digitifera_adi_v1.01273 adi_v1.01273	Calvadosia_cruxmelitensis_Ccrux.Trinity.60980 Ccrux.Trinity.60980
OG0000003	Acropora_digitifera_adi_v1.10368 adi_v1.10368, Acropora_digitifera_adi_v1.01653 adi_v1.01653, Acropora_digitifera_adi_v1.10367 adi_v1.10367	Calvadosia_cruxmelitensis_Ccrux.Trinity.15495 Ccrux.Trinity.15495, Calvadosia_cruxmelitensis_Ccrux.Trinity.15496 Ccrux.Trinity.15496
OG0000003	Acropora_digitifera_adi_v1.05022 adi_v1.05022	Calvadosia_cruxmelitensis_Ccrux.Trinity.72890 Ccrux.Trinity.72890
OG0000003	Acropora_digitifera_adi_v1.12238 adi_v1.12238	Calvadosia_cruxmelitensis_Ccrux.Trinity.3563 Ccrux.Trinity.3563, Calvadosia_cruxmelitensis_Ccrux.Trinity.3561 Ccrux.Trinity.3561, Calvadosia_cruxmelitensis_Ccrux.Trinity.3565 Ccrux.Trinity.3565
OG0000003	Acropora_digitifera_adi_v1.18239 adi_v1.18239	Calvadosia_cruxmelitensis_Ccrux.Trinity.62691 Ccrux.Trinity.62691, Calvadosia_cruxmelitensis_Ccrux.Trinity.8809 Ccrux.Trinity.8809
OG0000003	Acropora_digitifera_adi_v1.14876 adi_v1.14876, Acropora_digitifera_adi_v1.14877 adi_v1.14877, Acropora_digitifera_adi_v1.20752 adi_v1.20752, Acropora_digitifera_adi_v1.21376 adi_v1.21376, Acropora_digitifera_adi_v1.21106 adi_v1.21106, Acropora_digitifera_adi_v1.02803 adi_v1.02803, Acropora_digitifera_adi_v1.15897 adi_v1.15897, Acropora_digitifera_adi_v1.23691 adi_v1.23691	Calvadosia_cruxmelitensis_Ccrux.Trinity.72435 Ccrux.Trinity.72435
OG0000003	Acropora_digitifera_adi_v1.02396 adi_v1.02396	Calvadosia_cruxmelitensis_Ccrux.Trinity.56752 Ccrux.Trinity.56752
OG0000004	Acropora_digitifera_adi_v1.09258 adi_v1.09258	Calvadosia_cruxmelitensis_Ccrux.Trinity.42202 Ccrux.Trinity.42202
OG0000004	Acropora_digitifera_adi_v1.19534 adi_v1.19534, Acropora_digitifera_adi_v1.04405 adi_v1.04405	Calvadosia_cruxmelitensis_Ccrux.Trinity.25633 Ccrux.Trinity.25633
OG0000004	Acropora_digitifera_adi_v1.01068 adi_v1.01068	Calvadosia_cruxmelitensis_Ccrux.Trinity.58799 Ccrux.Trinity.58799
OG0000004	Acropora_digitifera_adi_v1.21914 adi_v1.21914	Calvadosia_cruxmelitensis_Ccrux.Trinity.69530 Ccrux.Trinity.69530
OG0000004	Acropora_digitifera_adi_v1.15324 adi_v1.15324	Calvadosia_cruxmelitensis_Ccrux.Trinity.53258 Ccrux.Trinity.53258, Calvadosia_cruxmelitensis_Ccrux.Trinity.16828 Ccrux.Trinity.16828
OG0000004	Acropora_digitifera_adi_v1.13267 adi_v1.13267	Calvadosia_cruxmelitensis_Ccrux.Trinity.46730 Ccrux.Trinity.46730
OG0000004	Acropora_digitifera_adi_v1.16039 adi_v1.16039, Acropora_digitifera_adi_v1.20707 adi_v1.20707	Calvadosia_cruxmelitensis_Ccrux.Trinity.24893 Ccrux.Trinity.24893
OG0000004	Acropora_digitifera_adi_v1.10196 adi_v1.10196	Calvadosia_cruxmelitensis_Ccrux.Trinity.28659 Ccrux.Trinity.28659, Calvadosia_cruxmelitensis_Ccrux.Trinity.28658 Ccrux.Trinity.28658
OG0000004	Acropora_digitifera_adi_v1.13754 adi_v1.13754	Calvadosia_cruxmelitensis_Ccrux.Trinity.53571 Ccrux.Trinity.53571
OG0000004	Acropora_digitifera_adi_v1.19811 adi_v1.19811	Calvadosia_cruxmelitensis_Ccrux.Trinity.63212 Ccrux.Trinity.63212
OG0000004	Acropora_digitifera_adi_v1.08872 adi_v1.08872, Acropora_digitifera_adi_v1.00148 adi_v1.00148	Calvadosia_cruxmelitensis_Ccrux.Trinity.33371 Ccrux.Trinity.33371
OG0000004	Acropora_digitifera_adi_v1.02301 adi_v1.02301	Calvadosia_cruxmelitensis_Ccrux.Trinity.9483 Ccrux.Trinity.9483
OG0000005	Acropora_digitifera_adi_v1.06940 adi_v1.06940, Acropora_digitifera_adi_v1.17845 adi_v1.17845	Calvadosia_cruxmelitensis_Ccrux.Trinity.65603 Ccrux.Trinity.65603
OG0000005	Acropora_digitifera_adi_v1.15751 adi_v1.15751	Calvadosia_cruxmelitensis_Ccrux.Trinity.18101 Ccrux.Trinity.18101
OG0000005	Acropora_digitifera_adi_v1.03919 adi_v1.03919	Calvadosia_cruxmelitensis_Ccrux.Trinity.5896 Ccrux.Trinity.5896, Calvadosia_cruxmelitensis_Ccrux.Trinity.5895 Ccrux.Trinity.5895
OG0000005	Acropora_digitifera_adi_v1.12633 adi_v1.12633	Calvadosia_cruxmelitensis_Ccrux.Trinity.14047 Ccrux.Trinity.14047, Calvadosia_cruxmelitensis_Ccrux.Trinity.66086 Ccrux.Trinity.66086, Calvadosia_cruxmelitensis_Ccrux.Trinity.10989 Ccrux.Trinity.10989, Calvadosia_cruxmelitensis_Ccrux.Trinity.26639 Ccrux.Trinity.26639, Calvadosia_cruxmelitensis_Ccrux.Trinity.26633 Ccrux.Trinity.26633, Calvadosia_cruxmelitensis_Ccrux.Trinity.26635 Ccrux.Trinity.26635, Calvadosia_cruxmelitensis_Ccrux.Trinity.26647 Ccrux.Trinity.26647, Calvadosia_cruxmelitensis_Ccrux.Trinity.26641 Ccrux.Trinity.26641, Calvadosia_cruxmelitensis_Ccrux.Trinity.11511 Ccrux.Trinity.11511
OG0000005	Acropora_digitifera_adi_v1.24503 adi_v1.24503	Calvadosia_cruxmelitensis_Ccrux.Trinity.15917 Ccrux.Trinity.15917
OG0000005	Acropora_digitifera_adi_v1.02212 adi_v1.02212	Calvadosia_cruxmelitensis_Ccrux.Trinity.52298 Ccrux.Trinity.52298, Calvadosia_cruxmelitensis_Ccrux.Trinity.19787 Ccrux.Trinity.19787
OG0000005	Acropora_digitifera_adi_v1.23604 adi_v1.23604	Calvadosia_cruxmelitensis_Ccrux.Trinity.33090 Ccrux.Trinity.33090, Calvadosia_cruxmelitensis_Ccrux.Trinity.55366 Ccrux.Trinity.55366
OG0000006	Acropora_digitifera_adi_v1.21946 adi_v1.21946, Acropora_digitifera_adi_v1.18870 adi_v1.18870, Acropora_digitifera_adi_v1.13727 adi_v1.13727, Acropora_digitifera_adi_v1.10661 adi_v1.10661, Acropora_digitifera_adi_v1.17948 adi_v1.17948, Acropora_digitifera_adi_v1.13200 adi_v1.13200, Acropora_digitifera_adi_v1.01538 adi_v1.01538, Acropora_digitifera_adi_v1.02127 adi_v1.02127, Acropora_digitifera_adi_v1.13976 adi_v1.13976, Acropora_digitifera_adi_v1.13728 adi_v1.13728, Acropora_digitifera_adi_v1.09591 adi_v1.09591, Acropora_digitifera_adi_v1.07190 adi_v1.07190, Acropora_digitifera_adi_v1.01853 adi_v1.01853	Calvadosia_cruxmelitensis_Ccrux.Trinity.51861 Ccrux.Trinity.51861
OG0000006	Acropora_digitifera_adi_v1.02129 adi_v1.02129	Calvadosia_cruxmelitensis_Ccrux.Trinity.25117 Ccrux.Trinity.25117
OG0000006	Acropora_digitifera_adi_v1.06181 adi_v1.06181	Calvadosia_cruxmelitensis_Ccrux.Trinity.45666 Ccrux.Trinity.45666, Calvadosia_cruxmelitensis_Ccrux.Trinity.45665 Ccrux.Trinity.45665, Calvadosia_cruxmelitensis_Ccrux.Trinity.45664 Ccrux.Trinity.45664
OG0000006	Acropora_digitifera_adi_v1.15090 adi_v1.15090, Acropora_digitifera_adi_v1.14680 adi_v1.14680	Calvadosia_cruxmelitensis_Ccrux.Trinity.43303 Ccrux.Trinity.43303, Calvadosia_cruxmelitensis_Ccrux.Trinity.12212 Ccrux.Trinity.12212, Calvadosia_cruxmelitensis_Ccrux.Trinity.12211 Ccrux.Trinity.12211, Calvadosia_cruxmelitensis_Ccrux.Trinity.62582 Ccrux.Trinity.62582, Calvadosia_cruxmelitensis_Ccrux.Trinity.5644 Ccrux.Trinity.5644, Calvadosia_cruxmelitensis_Ccrux.Trinity.5643 Ccrux.Trinity.5643
OG0000006	Acropora_digitifera_adi_v1.18431 adi_v1.18431, Acropora_digitifera_adi_v1.10670 adi_v1.10670, Acropora_digitifera_adi_v1.19424 adi_v1.19424, Acropora_digitifera_adi_v1.13848 adi_v1.13848, Acropora_digitifera_adi_v1.20802 adi_v1.20802, Acropora_digitifera_adi_v1.19423 adi_v1.19423	Calvadosia_cruxmelitensis_Ccrux.Trinity.46513 Ccrux.Trinity.46513, Calvadosia_cruxmelitensis_Ccrux.Trinity.46509 Ccrux.Trinity.46509
OG0000006	Acropora_digitifera_adi_v1.15339 adi_v1.15339	Calvadosia_cruxmelitensis_Ccrux.Trinity.16427 Ccrux.Trinity.16427
OG0000007	Acropora_digitifera_adi_v1.08798 adi_v1.08798, Acropora_digitifera_adi_v1.13188 adi_v1.13188	Calvadosia_cruxmelitensis_Ccrux.Trinity.58492 Ccrux.Trinity.58492
OG0000007	Acropora_digitifera_adi_v1.24149 adi_v1.24149	Calvadosia_cruxmelitensis_Ccrux.Trinity.12213 Ccrux.Trinity.12213
OG0000007	Acropora_digitifera_adi_v1.11370 adi_v1.11370	Calvadosia_cruxmelitensis_Ccrux.Trinity.41205 Ccrux.Trinity.41205, Calvadosia_cruxmelitensis_Ccrux.Trinity.41208 Ccrux.Trinity.41208
OG0000007	Acropora_digitifera_adi_v1.13986 adi_v1.13986, Acropora_digitifera_adi_v1.04075 adi_v1.04075	Calvadosia_cruxmelitensis_Ccrux.Trinity.58151 Ccrux.Trinity.58151
OG0000007	Acropora_digitifera_adi_v1.17191 adi_v1.17191, Acropora_digitifera_adi_v1.14511 adi_v1.14511	Calvadosia_cruxmelitensis_Ccrux.Trinity.48645 Ccrux.Trinity.48645
OG0000008	Acropora_digitifera_adi_v1.19358 adi_v1.19358	Calvadosia_cruxmelitensis_Ccrux.Trinity.338 Ccrux.Trinity.338, Calvadosia_cruxmelitensis_Ccrux.Trinity.12174 Ccrux.Trinity.12174
OG0000008	Acropora_digitifera_adi_v1.15850 adi_v1.15850	Calvadosia_cruxmelitensis_Ccrux.Trinity.11107 Ccrux.Trinity.11107
OG0000008	Acropora_digitifera_adi_v1.23804 adi_v1.23804, Acropora_digitifera_adi_v1.20455 adi_v1.20455	Calvadosia_cruxmelitensis_Ccrux.Trinity.56264 Ccrux.Trinity.56264
OG0000008	Acropora_digitifera_adi_v1.09584 adi_v1.09584	Calvadosia_cruxmelitensis_Ccrux.Trinity.73451 Ccrux.Trinity.73451
OG0000008	Acropora_digitifera_adi_v1.14084 adi_v1.14084	Calvadosia_cruxmelitensis_Ccrux.Trinity.57757 Ccrux.Trinity.57757
OG0000008	Acropora_digitifera_adi_v1.09582 adi_v1.09582, Acropora_digitifera_adi_v1.06302 adi_v1.06302, Acropora_digitifera_adi_v1.09583 adi_v1.09583	Calvadosia_cruxmelitensis_Ccrux.Trinity.56901 Ccrux.Trinity.56901
