Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000001	Acropora_digitifera_adi_v1.01229 adi_v1.01229	Morbakka_virulenta_scaffold43.g67.t1 scaffold43.g67.t1, Morbakka_virulenta_scaffold43.g67.t2 scaffold43.g67.t2
OG0000001	Acropora_digitifera_adi_v1.10769 adi_v1.10769	Morbakka_virulenta_scaffold152.g29.t1 scaffold152.g29.t1, Morbakka_virulenta_scaffold152.g29.t2 scaffold152.g29.t2, Morbakka_virulenta_scaffold152.g29.t3 scaffold152.g29.t3
OG0000001	Acropora_digitifera_adi_v1.06175 adi_v1.06175	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2
OG0000001	Acropora_digitifera_adi_v1.11383 adi_v1.11383	Morbakka_virulenta_scaffold212.g45.t1 scaffold212.g45.t1
OG0000001	Acropora_digitifera_adi_v1.19391 adi_v1.19391, Acropora_digitifera_adi_v1.06434 adi_v1.06434	Morbakka_virulenta_scaffold55.g42.t1 scaffold55.g42.t1
OG0000002	Acropora_digitifera_adi_v1.00160 adi_v1.00160, Acropora_digitifera_adi_v1.00161 adi_v1.00161	Morbakka_virulenta_scaffold353.g2.t4 scaffold353.g2.t4, Morbakka_virulenta_scaffold353.g2.t3 scaffold353.g2.t3, Morbakka_virulenta_scaffold353.g2.t1 scaffold353.g2.t1, Morbakka_virulenta_scaffold256.g1.t1 scaffold256.g1.t1
OG0000002	Acropora_digitifera_adi_v1.15793 adi_v1.15793, Acropora_digitifera_adi_v1.20102 adi_v1.20102, Acropora_digitifera_adi_v1.13507 adi_v1.13507, Acropora_digitifera_adi_v1.14607 adi_v1.14607	Morbakka_virulenta_scaffold166.g9.t1 scaffold166.g9.t1
OG0000002	Acropora_digitifera_adi_v1.13969 adi_v1.13969	Morbakka_virulenta_scaffold166.g7.t2 scaffold166.g7.t2, Morbakka_virulenta_scaffold166.g7.t1 scaffold166.g7.t1
OG0000002	Acropora_digitifera_adi_v1.01703 adi_v1.01703, Acropora_digitifera_adi_v1.01702 adi_v1.01702, Acropora_digitifera_adi_v1.01379 adi_v1.01379, Acropora_digitifera_adi_v1.14561 adi_v1.14561, Acropora_digitifera_adi_v1.01794 adi_v1.01794, Acropora_digitifera_adi_v1.18031 adi_v1.18031	Morbakka_virulenta_scaffold24.g105.t1 scaffold24.g105.t1
OG0000002	Acropora_digitifera_adi_v1.10800 adi_v1.10800	Morbakka_virulenta_scaffold22.g63.t2 scaffold22.g63.t2, Morbakka_virulenta_scaffold22.g63.t3 scaffold22.g63.t3, Morbakka_virulenta_scaffold22.g63.t1 scaffold22.g63.t1
OG0000002	Acropora_digitifera_adi_v1.06084 adi_v1.06084, Acropora_digitifera_adi_v1.05235 adi_v1.05235	Morbakka_virulenta_scaffold415.g11.t1 scaffold415.g11.t1, Morbakka_virulenta_scaffold83.g77.t1 scaffold83.g77.t1
OG0000002	Acropora_digitifera_adi_v1.13790 adi_v1.13790	Morbakka_virulenta_scaffold81.g62.t1 scaffold81.g62.t1
OG0000002	Acropora_digitifera_adi_v1.07180 adi_v1.07180, Acropora_digitifera_adi_v1.18693 adi_v1.18693, Acropora_digitifera_adi_v1.03981 adi_v1.03981, Acropora_digitifera_adi_v1.13735 adi_v1.13735	Morbakka_virulenta_scaffold381.g2.t1 scaffold381.g2.t1
OG0000002	Acropora_digitifera_adi_v1.20375 adi_v1.20375, Acropora_digitifera_adi_v1.00391 adi_v1.00391	Morbakka_virulenta_scaffold273.g21.t1 scaffold273.g21.t1
OG0000002	Acropora_digitifera_adi_v1.01409 adi_v1.01409	Morbakka_virulenta_scaffold15.g40.t1 scaffold15.g40.t1, Morbakka_virulenta_scaffold44.g87.t5 scaffold44.g87.t5, Morbakka_virulenta_scaffold44.g87.t4 scaffold44.g87.t4, Morbakka_virulenta_scaffold44.g87.t3 scaffold44.g87.t3, Morbakka_virulenta_scaffold44.g87.t2 scaffold44.g87.t2
OG0000003	Acropora_digitifera_adi_v1.23742 adi_v1.23742, Acropora_digitifera_adi_v1.24161 adi_v1.24161	Morbakka_virulenta_scaffold3.g19.t1 scaffold3.g19.t1
OG0000003	Acropora_digitifera_adi_v1.06053 adi_v1.06053, Acropora_digitifera_adi_v1.10205 adi_v1.10205, Acropora_digitifera_adi_v1.16681 adi_v1.16681	Morbakka_virulenta_scaffold138.g37.t1 scaffold138.g37.t1
OG0000003	Acropora_digitifera_adi_v1.07446 adi_v1.07446, Acropora_digitifera_adi_v1.23858 adi_v1.23858	Morbakka_virulenta_scaffold14.g14.t1 scaffold14.g14.t1
OG0000003	Acropora_digitifera_adi_v1.12298 adi_v1.12298, Acropora_digitifera_adi_v1.02332 adi_v1.02332	Morbakka_virulenta_scaffold4.g126.t1 scaffold4.g126.t1, Morbakka_virulenta_scaffold4.g126.t2 scaffold4.g126.t2
OG0000003	Acropora_digitifera_adi_v1.10368 adi_v1.10368, Acropora_digitifera_adi_v1.01653 adi_v1.01653, Acropora_digitifera_adi_v1.10367 adi_v1.10367	Morbakka_virulenta_scaffold481.g4.t2 scaffold481.g4.t2, Morbakka_virulenta_scaffold481.g4.t1 scaffold481.g4.t1
OG0000003	Acropora_digitifera_adi_v1.12238 adi_v1.12238	Morbakka_virulenta_scaffold35.g61.t1 scaffold35.g61.t1, Morbakka_virulenta_scaffold35.g61.t3 scaffold35.g61.t3
OG0000003	Acropora_digitifera_adi_v1.04076 adi_v1.04076	Morbakka_virulenta_scaffold163.g30.t1 scaffold163.g30.t1
OG0000003	Acropora_digitifera_adi_v1.02396 adi_v1.02396	Morbakka_virulenta_scaffold23.g83.t1 scaffold23.g83.t1
OG0000004	Acropora_digitifera_adi_v1.05900 adi_v1.05900, Acropora_digitifera_adi_v1.23089 adi_v1.23089, Acropora_digitifera_adi_v1.14602 adi_v1.14602, Acropora_digitifera_adi_v1.03325 adi_v1.03325, Acropora_digitifera_adi_v1.18241 adi_v1.18241	Morbakka_virulenta_scaffold216.g32.t1 scaffold216.g32.t1
OG0000004	Acropora_digitifera_adi_v1.01068 adi_v1.01068	Morbakka_virulenta_scaffold74.g40.t1 scaffold74.g40.t1
OG0000004	Acropora_digitifera_adi_v1.15324 adi_v1.15324	Morbakka_virulenta_scaffold19.g42.t1 scaffold19.g42.t1, Morbakka_virulenta_scaffold409.g9.t1 scaffold409.g9.t1, Morbakka_virulenta_scaffold19.g44.t1 scaffold19.g44.t1, Morbakka_virulenta_scaffold19.g33.t1 scaffold19.g33.t1, Morbakka_virulenta_scaffold19.g33.t2 scaffold19.g33.t2, Morbakka_virulenta_scaffold19.g46.t1 scaffold19.g46.t1, Morbakka_virulenta_scaffold19.g46.t2 scaffold19.g46.t2
OG0000004	Acropora_digitifera_adi_v1.15665 adi_v1.15665	Morbakka_virulenta_scaffold495.g5.t1 scaffold495.g5.t1
OG0000004	Acropora_digitifera_adi_v1.16039 adi_v1.16039, Acropora_digitifera_adi_v1.20707 adi_v1.20707	Morbakka_virulenta_scaffold292.g12.t1 scaffold292.g12.t1
OG0000004	Acropora_digitifera_adi_v1.10196 adi_v1.10196	Morbakka_virulenta_scaffold86.g35.t1 scaffold86.g35.t1
OG0000004	Acropora_digitifera_adi_v1.13754 adi_v1.13754	Morbakka_virulenta_scaffold152.g33.t1 scaffold152.g33.t1, Morbakka_virulenta_scaffold152.g33.t2 scaffold152.g33.t2
OG0000004	Acropora_digitifera_adi_v1.19811 adi_v1.19811	Morbakka_virulenta_scaffold1.g56.t1 scaffold1.g56.t1, Morbakka_virulenta_scaffold1.g66.t1 scaffold1.g66.t1, Morbakka_virulenta_scaffold1.g59.t1 scaffold1.g59.t1, Morbakka_virulenta_scaffold1.g57.t1 scaffold1.g57.t1
OG0000004	Acropora_digitifera_adi_v1.08872 adi_v1.08872, Acropora_digitifera_adi_v1.00148 adi_v1.00148	Morbakka_virulenta_scaffold57.g15.t4 scaffold57.g15.t4, Morbakka_virulenta_scaffold57.g15.t2 scaffold57.g15.t2, Morbakka_virulenta_scaffold57.g15.t3 scaffold57.g15.t3, Morbakka_virulenta_scaffold57.g15.t1 scaffold57.g15.t1
OG0000004	Acropora_digitifera_adi_v1.06518 adi_v1.06518, Acropora_digitifera_adi_v1.02301 adi_v1.02301	Morbakka_virulenta_scaffold48.g8.t2 scaffold48.g8.t2, Morbakka_virulenta_scaffold48.g8.t1 scaffold48.g8.t1
OG0000005	Acropora_digitifera_adi_v1.06940 adi_v1.06940, Acropora_digitifera_adi_v1.17845 adi_v1.17845	Morbakka_virulenta_scaffold14.g118.t1 scaffold14.g118.t1, Morbakka_virulenta_scaffold14.g118.t2 scaffold14.g118.t2, Morbakka_virulenta_scaffold14.g119.t1 scaffold14.g119.t1, Morbakka_virulenta_scaffold393.g3.t1 scaffold393.g3.t1, Morbakka_virulenta_scaffold393.g2.t1 scaffold393.g2.t1
OG0000005	Acropora_digitifera_adi_v1.15751 adi_v1.15751	Morbakka_virulenta_scaffold159.g55.t1 scaffold159.g55.t1, Morbakka_virulenta_scaffold421.g6.t1 scaffold421.g6.t1, Morbakka_virulenta_scaffold421.g6.t2 scaffold421.g6.t2, Morbakka_virulenta_scaffold421.g14.t1 scaffold421.g14.t1, Morbakka_virulenta_scaffold159.g56.t1 scaffold159.g56.t1
OG0000005	Acropora_digitifera_adi_v1.03919 adi_v1.03919	Morbakka_virulenta_scaffold203.g14.t2 scaffold203.g14.t2, Morbakka_virulenta_scaffold203.g14.t1 scaffold203.g14.t1
OG0000005	Acropora_digitifera_adi_v1.12633 adi_v1.12633	Morbakka_virulenta_scaffold82.g11.t1 scaffold82.g11.t1
OG0000005	Acropora_digitifera_adi_v1.24503 adi_v1.24503	Morbakka_virulenta_scaffold376.g5.t1 scaffold376.g5.t1
OG0000005	Acropora_digitifera_adi_v1.02245 adi_v1.02245	Morbakka_virulenta_scaffold318.g29.t1 scaffold318.g29.t1
OG0000005	Acropora_digitifera_adi_v1.02212 adi_v1.02212	Morbakka_virulenta_scaffold195.g42.t1 scaffold195.g42.t1, Morbakka_virulenta_scaffold39.g61.t1 scaffold39.g61.t1, Morbakka_virulenta_scaffold294.g31.t1 scaffold294.g31.t1
OG0000005	Acropora_digitifera_adi_v1.23604 adi_v1.23604	Morbakka_virulenta_scaffold925.g1.t1 scaffold925.g1.t1, Morbakka_virulenta_scaffold94.g19.t1 scaffold94.g19.t1
OG0000006	Acropora_digitifera_adi_v1.21946 adi_v1.21946, Acropora_digitifera_adi_v1.18870 adi_v1.18870, Acropora_digitifera_adi_v1.13727 adi_v1.13727, Acropora_digitifera_adi_v1.10661 adi_v1.10661, Acropora_digitifera_adi_v1.17948 adi_v1.17948, Acropora_digitifera_adi_v1.13200 adi_v1.13200, Acropora_digitifera_adi_v1.01538 adi_v1.01538, Acropora_digitifera_adi_v1.02127 adi_v1.02127, Acropora_digitifera_adi_v1.13976 adi_v1.13976, Acropora_digitifera_adi_v1.13728 adi_v1.13728, Acropora_digitifera_adi_v1.09591 adi_v1.09591, Acropora_digitifera_adi_v1.07190 adi_v1.07190, Acropora_digitifera_adi_v1.01853 adi_v1.01853	Morbakka_virulenta_scaffold93.g18.t1 scaffold93.g18.t1
OG0000006	Acropora_digitifera_adi_v1.02129 adi_v1.02129	Morbakka_virulenta_scaffold315.g6.t1 scaffold315.g6.t1
OG0000006	Acropora_digitifera_adi_v1.06181 adi_v1.06181	Morbakka_virulenta_scaffold6.g93.t1 scaffold6.g93.t1
OG0000006	Acropora_digitifera_adi_v1.15090 adi_v1.15090, Acropora_digitifera_adi_v1.14680 adi_v1.14680	Morbakka_virulenta_scaffold193.g36.t1 scaffold193.g36.t1
OG0000006	Acropora_digitifera_adi_v1.18431 adi_v1.18431, Acropora_digitifera_adi_v1.10670 adi_v1.10670, Acropora_digitifera_adi_v1.19424 adi_v1.19424, Acropora_digitifera_adi_v1.13848 adi_v1.13848, Acropora_digitifera_adi_v1.20802 adi_v1.20802, Acropora_digitifera_adi_v1.19423 adi_v1.19423	Morbakka_virulenta_scaffold94.g59.t1 scaffold94.g59.t1
OG0000006	Acropora_digitifera_adi_v1.15339 adi_v1.15339	Morbakka_virulenta_scaffold337.g6.t3 scaffold337.g6.t3, Morbakka_virulenta_scaffold337.g6.t1 scaffold337.g6.t1, Morbakka_virulenta_scaffold337.g6.t2 scaffold337.g6.t2, Morbakka_virulenta_scaffold247.g18.t2 scaffold247.g18.t2, Morbakka_virulenta_scaffold247.g18.t1 scaffold247.g18.t1, Morbakka_virulenta_scaffold247.g23.t1 scaffold247.g23.t1, Morbakka_virulenta_scaffold247.g14.t1 scaffold247.g14.t1
OG0000007	Acropora_digitifera_adi_v1.08798 adi_v1.08798, Acropora_digitifera_adi_v1.13188 adi_v1.13188	Morbakka_virulenta_scaffold123.g34.t1 scaffold123.g34.t1
OG0000007	Acropora_digitifera_adi_v1.24149 adi_v1.24149	Morbakka_virulenta_scaffold38.g84.t1 scaffold38.g84.t1
OG0000007	Acropora_digitifera_adi_v1.00199 adi_v1.00199, Acropora_digitifera_adi_v1.06437 adi_v1.06437, Acropora_digitifera_adi_v1.18885 adi_v1.18885, Acropora_digitifera_adi_v1.09820 adi_v1.09820, Acropora_digitifera_adi_v1.22003 adi_v1.22003, Acropora_digitifera_adi_v1.14298 adi_v1.14298, Acropora_digitifera_adi_v1.14299 adi_v1.14299, Acropora_digitifera_adi_v1.14300 adi_v1.14300, Acropora_digitifera_adi_v1.19005 adi_v1.19005, Acropora_digitifera_adi_v1.11371 adi_v1.11371, Acropora_digitifera_adi_v1.13720 adi_v1.13720, Acropora_digitifera_adi_v1.06951 adi_v1.06951, Acropora_digitifera_adi_v1.06438 adi_v1.06438, Acropora_digitifera_adi_v1.21019 adi_v1.21019, Acropora_digitifera_adi_v1.07913 adi_v1.07913, Acropora_digitifera_adi_v1.11289 adi_v1.11289, Acropora_digitifera_adi_v1.07914 adi_v1.07914	Morbakka_virulenta_scaffold299.g20.t2 scaffold299.g20.t2, Morbakka_virulenta_scaffold299.g20.t4 scaffold299.g20.t4, Morbakka_virulenta_scaffold299.g20.t3 scaffold299.g20.t3, Morbakka_virulenta_scaffold299.g20.t1 scaffold299.g20.t1, Morbakka_virulenta_scaffold415.g7.t2 scaffold415.g7.t2, Morbakka_virulenta_scaffold415.g7.t1 scaffold415.g7.t1, Morbakka_virulenta_scaffold36.g25.t1 scaffold36.g25.t1, Morbakka_virulenta_scaffold29.g26.t1 scaffold29.g26.t1, Morbakka_virulenta_scaffold252.g2.t1 scaffold252.g2.t1, Morbakka_virulenta_scaffold252.g7.t1 scaffold252.g7.t1
OG0000007	Acropora_digitifera_adi_v1.13986 adi_v1.13986, Acropora_digitifera_adi_v1.04075 adi_v1.04075	Morbakka_virulenta_scaffold27.g28.t1 scaffold27.g28.t1
OG0000008	Acropora_digitifera_adi_v1.19358 adi_v1.19358	Morbakka_virulenta_scaffold100.g41.t1 scaffold100.g41.t1, Morbakka_virulenta_scaffold478.g17.t2 scaffold478.g17.t2, Morbakka_virulenta_scaffold478.g17.t1 scaffold478.g17.t1
OG0000008	Acropora_digitifera_adi_v1.09584 adi_v1.09584	Morbakka_virulenta_scaffold100.g35.t1 scaffold100.g35.t1
OG0000008	Acropora_digitifera_adi_v1.09582 adi_v1.09582, Acropora_digitifera_adi_v1.06302 adi_v1.06302, Acropora_digitifera_adi_v1.09583 adi_v1.09583	Morbakka_virulenta_scaffold100.g39.t1 scaffold100.g39.t1, Morbakka_virulenta_scaffold100.g37.t2 scaffold100.g37.t2, Morbakka_virulenta_scaffold100.g37.t1 scaffold100.g37.t1
OG0000008	Acropora_digitifera_adi_v1.03573 adi_v1.03573, Acropora_digitifera_adi_v1.19697 adi_v1.19697	Morbakka_virulenta_scaffold100.g34.t4 scaffold100.g34.t4, Morbakka_virulenta_scaffold100.g34.t1 scaffold100.g34.t1, Morbakka_virulenta_scaffold100.g34.t2 scaffold100.g34.t2, Morbakka_virulenta_scaffold100.g34.t3 scaffold100.g34.t3
OG0000008	Acropora_digitifera_adi_v1.01978 adi_v1.01978	Morbakka_virulenta_scaffold35.g73.t1 scaffold35.g73.t1
OG0000009	Acropora_digitifera_adi_v1.00989 adi_v1.00989	Morbakka_virulenta_scaffold17.g59.t1 scaffold17.g59.t1, Morbakka_virulenta_scaffold585.g3.t1 scaffold585.g3.t1, Morbakka_virulenta_scaffold585.g3.t2 scaffold585.g3.t2
OG0000009	Acropora_digitifera_adi_v1.18886 adi_v1.18886, Acropora_digitifera_adi_v1.20204 adi_v1.20204, Acropora_digitifera_adi_v1.20203 adi_v1.20203, Acropora_digitifera_adi_v1.20205 adi_v1.20205, Acropora_digitifera_adi_v1.13170 adi_v1.13170, Acropora_digitifera_adi_v1.18978 adi_v1.18978	Morbakka_virulenta_scaffold2220.g1.t1 scaffold2220.g1.t1
OG0000009	Acropora_digitifera_adi_v1.09663 adi_v1.09663, Acropora_digitifera_adi_v1.19260 adi_v1.19260, Acropora_digitifera_adi_v1.19569 adi_v1.19569	Morbakka_virulenta_scaffold574.g3.t1 scaffold574.g3.t1
OG0000009	Acropora_digitifera_adi_v1.19086 adi_v1.19086	Morbakka_virulenta_scaffold62.g78.t2 scaffold62.g78.t2, Morbakka_virulenta_scaffold62.g78.t1 scaffold62.g78.t1, Morbakka_virulenta_scaffold123.g33.t1 scaffold123.g33.t1
OG0000009	Acropora_digitifera_adi_v1.23965 adi_v1.23965	Morbakka_virulenta_scaffold195.g26.t2 scaffold195.g26.t2
OG0000009	Acropora_digitifera_adi_v1.11309 adi_v1.11309, Acropora_digitifera_adi_v1.11310 adi_v1.11310, Acropora_digitifera_adi_v1.20169 adi_v1.20169, Acropora_digitifera_adi_v1.16563 adi_v1.16563, Acropora_digitifera_adi_v1.16561 adi_v1.16561, Acropora_digitifera_adi_v1.23168 adi_v1.23168, Acropora_digitifera_adi_v1.02161 adi_v1.02161, Acropora_digitifera_adi_v1.02163 adi_v1.02163	Morbakka_virulenta_scaffold70.g34.t2 scaffold70.g34.t2, Morbakka_virulenta_scaffold70.g34.t1 scaffold70.g34.t1
OG0000009	Acropora_digitifera_adi_v1.13554 adi_v1.13554	Morbakka_virulenta_scaffold397.g10.t2 scaffold397.g10.t2, Morbakka_virulenta_scaffold397.g10.t3 scaffold397.g10.t3, Morbakka_virulenta_scaffold397.g10.t1 scaffold397.g10.t1
OG0000009	Acropora_digitifera_adi_v1.04391 adi_v1.04391	Morbakka_virulenta_scaffold171.g6.t1 scaffold171.g6.t1
OG0000009	Acropora_digitifera_adi_v1.15364 adi_v1.15364	Morbakka_virulenta_scaffold59.g2.t1 scaffold59.g2.t1, Morbakka_virulenta_scaffold59.g2.t2 scaffold59.g2.t2, Morbakka_virulenta_scaffold4.g38.t1 scaffold4.g38.t1, Morbakka_virulenta_scaffold59.g10.t1 scaffold59.g10.t1, Morbakka_virulenta_scaffold59.g10.t2 scaffold59.g10.t2, Morbakka_virulenta_scaffold4.g40.t1 scaffold4.g40.t1
OG0000010	Acropora_digitifera_adi_v1.00664 adi_v1.00664	Morbakka_virulenta_scaffold467.g4.t1 scaffold467.g4.t1, Morbakka_virulenta_scaffold467.g4.t2 scaffold467.g4.t2
OG0000010	Acropora_digitifera_adi_v1.04228 adi_v1.04228	Morbakka_virulenta_scaffold317.g5.t2 scaffold317.g5.t2, Morbakka_virulenta_scaffold317.g5.t1 scaffold317.g5.t1
OG0000010	Acropora_digitifera_adi_v1.06326 adi_v1.06326	Morbakka_virulenta_scaffold425.g3.t1 scaffold425.g3.t1, Morbakka_virulenta_scaffold425.g3.t2 scaffold425.g3.t2
OG0000010	Acropora_digitifera_adi_v1.02202 adi_v1.02202, Acropora_digitifera_adi_v1.04096 adi_v1.04096	Morbakka_virulenta_scaffold52.g35.t2 scaffold52.g35.t2, Morbakka_virulenta_scaffold52.g35.t1 scaffold52.g35.t1, Morbakka_virulenta_scaffold52.g28.t1 scaffold52.g28.t1
OG0000010	Acropora_digitifera_adi_v1.05525 adi_v1.05525	Morbakka_virulenta_scaffold535.g12.t1 scaffold535.g12.t1
OG0000010	Acropora_digitifera_adi_v1.18396 adi_v1.18396	Morbakka_virulenta_scaffold467.g8.t1 scaffold467.g8.t1
OG0000010	Acropora_digitifera_adi_v1.20273 adi_v1.20273, Acropora_digitifera_adi_v1.20157 adi_v1.20157	Morbakka_virulenta_scaffold60.g6.t2 scaffold60.g6.t2, Morbakka_virulenta_scaffold60.g6.t3 scaffold60.g6.t3, Morbakka_virulenta_scaffold60.g6.t1 scaffold60.g6.t1
OG0000010	Acropora_digitifera_adi_v1.05424 adi_v1.05424	Morbakka_virulenta_scaffold386.g7.t1 scaffold386.g7.t1, Morbakka_virulenta_scaffold386.g7.t2 scaffold386.g7.t2, Morbakka_virulenta_scaffold386.g12.t1 scaffold386.g12.t1
OG0000012	Acropora_digitifera_adi_v1.12876 adi_v1.12876	Morbakka_virulenta_scaffold155.g40.t1 scaffold155.g40.t1, Morbakka_virulenta_scaffold155.g40.t2 scaffold155.g40.t2
OG0000012	Acropora_digitifera_adi_v1.08393 adi_v1.08393	Morbakka_virulenta_scaffold96.g15.t1 scaffold96.g15.t1
OG0000013	Acropora_digitifera_adi_v1.17615 adi_v1.17615	Morbakka_virulenta_scaffold383.g6.t1 scaffold383.g6.t1
OG0000013	Acropora_digitifera_adi_v1.13606 adi_v1.13606	Morbakka_virulenta_scaffold120.g22.t1 scaffold120.g22.t1
OG0000013	Acropora_digitifera_adi_v1.23656 adi_v1.23656, Acropora_digitifera_adi_v1.23655 adi_v1.23655, Acropora_digitifera_adi_v1.23654 adi_v1.23654	Morbakka_virulenta_scaffold426.g7.t1 scaffold426.g7.t1
OG0000013	Acropora_digitifera_adi_v1.16598 adi_v1.16598	Morbakka_virulenta_scaffold18.g46.t1 scaffold18.g46.t1, Morbakka_virulenta_scaffold18.g51.t1 scaffold18.g51.t1
OG0000013	Acropora_digitifera_adi_v1.02062 adi_v1.02062, Acropora_digitifera_adi_v1.02063 adi_v1.02063	Morbakka_virulenta_scaffold12.g86.t1 scaffold12.g86.t1
OG0000013	Acropora_digitifera_adi_v1.13774 adi_v1.13774, Acropora_digitifera_adi_v1.13773 adi_v1.13773, Acropora_digitifera_adi_v1.08272 adi_v1.08272	Morbakka_virulenta_scaffold536.g7.t1 scaffold536.g7.t1
OG0000014	Acropora_digitifera_adi_v1.10799 adi_v1.10799, Acropora_digitifera_adi_v1.14366 adi_v1.14366	Morbakka_virulenta_scaffold67.g21.t1 scaffold67.g21.t1
OG0000014	Acropora_digitifera_adi_v1.01169 adi_v1.01169	Morbakka_virulenta_scaffold2.g203.t4 scaffold2.g203.t4, Morbakka_virulenta_scaffold2.g203.t2 scaffold2.g203.t2, Morbakka_virulenta_scaffold2.g203.t3 scaffold2.g203.t3, Morbakka_virulenta_scaffold2.g203.t1 scaffold2.g203.t1
OG0000014	Acropora_digitifera_adi_v1.14581 adi_v1.14581	Morbakka_virulenta_scaffold105.g40.t1 scaffold105.g40.t1
OG0000014	Acropora_digitifera_adi_v1.06910 adi_v1.06910	Morbakka_virulenta_scaffold269.g24.t1 scaffold269.g24.t1
OG0000014	Acropora_digitifera_adi_v1.01444 adi_v1.01444, Acropora_digitifera_adi_v1.22993 adi_v1.22993, Acropora_digitifera_adi_v1.22282 adi_v1.22282, Acropora_digitifera_adi_v1.16116 adi_v1.16116, Acropora_digitifera_adi_v1.14772 adi_v1.14772	Morbakka_virulenta_scaffold356.g5.t1 scaffold356.g5.t1
OG0000014	Acropora_digitifera_adi_v1.16603 adi_v1.16603, Acropora_digitifera_adi_v1.13245 adi_v1.13245, Acropora_digitifera_adi_v1.20449 adi_v1.20449, Acropora_digitifera_adi_v1.05790 adi_v1.05790, Acropora_digitifera_adi_v1.02358 adi_v1.02358, Acropora_digitifera_adi_v1.16964 adi_v1.16964, Acropora_digitifera_adi_v1.13244 adi_v1.13244, Acropora_digitifera_adi_v1.13631 adi_v1.13631	Morbakka_virulenta_scaffold366.g6.t2 scaffold366.g6.t2, Morbakka_virulenta_scaffold366.g6.t3 scaffold366.g6.t3, Morbakka_virulenta_scaffold366.g6.t1 scaffold366.g6.t1
OG0000014	Acropora_digitifera_adi_v1.16403 adi_v1.16403	Morbakka_virulenta_scaffold257.g1.t1 scaffold257.g1.t1
OG0000015	Acropora_digitifera_adi_v1.13064 adi_v1.13064	Morbakka_virulenta_scaffold468.g7.t1 scaffold468.g7.t1
OG0000015	Acropora_digitifera_adi_v1.04802 adi_v1.04802, Acropora_digitifera_adi_v1.21797 adi_v1.21797, Acropora_digitifera_adi_v1.01313 adi_v1.01313, Acropora_digitifera_adi_v1.21798 adi_v1.21798, Acropora_digitifera_adi_v1.21068 adi_v1.21068, Acropora_digitifera_adi_v1.07627 adi_v1.07627	Morbakka_virulenta_scaffold13.g67.t1 scaffold13.g67.t1, Morbakka_virulenta_scaffold68.g26.t1 scaffold68.g26.t1, Morbakka_virulenta_scaffold68.g27.t1 scaffold68.g27.t1, Morbakka_virulenta_scaffold13.g65.t2 scaffold13.g65.t2, Morbakka_virulenta_scaffold13.g65.t1 scaffold13.g65.t1
