Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000001	Acropora_digitifera_adi_v1.16238 adi_v1.16238, Acropora_digitifera_adi_v1.00487 adi_v1.00487, Acropora_digitifera_adi_v1.13699 adi_v1.13699, Acropora_digitifera_adi_v1.10217 adi_v1.10217, Acropora_digitifera_adi_v1.15607 adi_v1.15607	Stylophora_pistillata_Spis21757 Spis21757 SpisGene21757, Stylophora_pistillata_Spis15993 Spis15993 SpisGene15993
OG0000001	Acropora_digitifera_adi_v1.19548 adi_v1.19548, Acropora_digitifera_adi_v1.09422 adi_v1.09422	Stylophora_pistillata_Spis18847 Spis18847 SpisGene18847, Stylophora_pistillata_Spis18871 Spis18871 SpisGene18871, Stylophora_pistillata_Spis25137 Spis25137 SpisGene25137
OG0000001	Acropora_digitifera_adi_v1.23959 adi_v1.23959	Stylophora_pistillata_Spis20490 Spis20490 SpisGene20490, Stylophora_pistillata_Spis22211 Spis22211 SpisGene22211, Stylophora_pistillata_Spis24728 Spis24728 SpisGene24728, Stylophora_pistillata_Spis23949 Spis23949 SpisGene23949, Stylophora_pistillata_Spis12953 Spis12953 SpisGene12953, Stylophora_pistillata_Spis21985 Spis21985 SpisGene21985
OG0000001	Acropora_digitifera_adi_v1.15527 adi_v1.15527, Acropora_digitifera_adi_v1.22420 adi_v1.22420, Acropora_digitifera_adi_v1.18763 adi_v1.18763, Acropora_digitifera_adi_v1.21915 adi_v1.21915, Acropora_digitifera_adi_v1.11811 adi_v1.11811	Stylophora_pistillata_Spis19805 Spis19805 SpisGene19805, Stylophora_pistillata_Spis5111 Spis5111 SpisGene5111, Stylophora_pistillata_Spis19804 Spis19804 SpisGene19804, Stylophora_pistillata_Spis5105 Spis5105 SpisGene5105, Stylophora_pistillata_Spis19843 Spis19843 SpisGene19843, Stylophora_pistillata_Spis18723 Spis18723 SpisGene18723, Stylophora_pistillata_Spis23389 Spis23389 SpisGene23389
OG0000001	Acropora_digitifera_adi_v1.24527 adi_v1.24527, Acropora_digitifera_adi_v1.18047 adi_v1.18047, Acropora_digitifera_adi_v1.08920 adi_v1.08920, Acropora_digitifera_adi_v1.00227 adi_v1.00227	Stylophora_pistillata_Spis24427 Spis24427 SpisGene24427, Stylophora_pistillata_Spis19153 Spis19153 SpisGene19153, Stylophora_pistillata_Spis19154 Spis19154 SpisGene19154, Stylophora_pistillata_Spis19157 Spis19157 SpisGene19157
OG0000001	Acropora_digitifera_adi_v1.14231 adi_v1.14231, Acropora_digitifera_adi_v1.21625 adi_v1.21625	Stylophora_pistillata_Spis16360 Spis16360 SpisGene16360
OG0000001	Acropora_digitifera_adi_v1.09526 adi_v1.09526, Acropora_digitifera_adi_v1.13954 adi_v1.13954, Acropora_digitifera_adi_v1.22460 adi_v1.22460	Stylophora_pistillata_Spis5051 Spis5051 SpisGene5051
OG0000001	Acropora_digitifera_adi_v1.01229 adi_v1.01229	Stylophora_pistillata_Spis2356 Spis2356 SpisGene2356
OG0000001	Acropora_digitifera_adi_v1.20924 adi_v1.20924, Acropora_digitifera_adi_v1.22909 adi_v1.22909, Acropora_digitifera_adi_v1.17200 adi_v1.17200, Acropora_digitifera_adi_v1.22911 adi_v1.22911	Stylophora_pistillata_Spis23102 Spis23102 SpisGene23102
OG0000001	Acropora_digitifera_adi_v1.10769 adi_v1.10769	Stylophora_pistillata_Spis312 Spis312 SpisGene312
OG0000001	Acropora_digitifera_adi_v1.01960 adi_v1.01960	Stylophora_pistillata_Spis3304 Spis3304 SpisGene3304
OG0000001	Acropora_digitifera_adi_v1.06175 adi_v1.06175	Stylophora_pistillata_Spis315 Spis315 SpisGene315
OG0000001	Acropora_digitifera_adi_v1.11383 adi_v1.11383	Stylophora_pistillata_Spis22126 Spis22126 SpisGene22126
OG0000001	Acropora_digitifera_adi_v1.19391 adi_v1.19391, Acropora_digitifera_adi_v1.06434 adi_v1.06434	Stylophora_pistillata_Spis645.t2 Spis645.t2 SpisGene645, Stylophora_pistillata_Spis598 Spis598 SpisGene598
OG0000002	Acropora_digitifera_adi_v1.12948 adi_v1.12948	Stylophora_pistillata_Spis16237 Spis16237 SpisGene16237
OG0000002	Acropora_digitifera_adi_v1.00160 adi_v1.00160, Acropora_digitifera_adi_v1.00161 adi_v1.00161	Stylophora_pistillata_Spis3382 Spis3382 SpisGene3382
OG0000002	Acropora_digitifera_adi_v1.14607 adi_v1.14607	Stylophora_pistillata_Spis10996 Spis10996 SpisGene10996, Stylophora_pistillata_Spis19048 Spis19048 SpisGene19048
OG0000002	Acropora_digitifera_adi_v1.09542 adi_v1.09542	Stylophora_pistillata_Spis15041 Spis15041 SpisGene15041
OG0000002	Acropora_digitifera_adi_v1.01703 adi_v1.01703	Stylophora_pistillata_Spis10820 Spis10820 SpisGene10820
OG0000002	Acropora_digitifera_adi_v1.10800 adi_v1.10800	Stylophora_pistillata_Spis372 Spis372 SpisGene372
OG0000002	Acropora_digitifera_adi_v1.13790 adi_v1.13790	Stylophora_pistillata_Spis10500 Spis10500 SpisGene10500
OG0000002	Acropora_digitifera_adi_v1.14624 adi_v1.14624, Acropora_digitifera_adi_v1.14936 adi_v1.14936	Stylophora_pistillata_Spis17964.t1 Spis17964.t1 SpisGene17964, Stylophora_pistillata_Spis17966 Spis17966 SpisGene17966
OG0000002	Acropora_digitifera_adi_v1.12523 adi_v1.12523	Stylophora_pistillata_Spis3194 Spis3194 SpisGene3194, Stylophora_pistillata_Spis6482 Spis6482 SpisGene6482
OG0000002	Acropora_digitifera_adi_v1.07180 adi_v1.07180	Stylophora_pistillata_Spis12981 Spis12981 SpisGene12981
OG0000002	Acropora_digitifera_adi_v1.03981 adi_v1.03981	Stylophora_pistillata_Spis10028 Spis10028 SpisGene10028
OG0000002	Acropora_digitifera_adi_v1.13735 adi_v1.13735	Stylophora_pistillata_Spis23313 Spis23313 SpisGene23313, Stylophora_pistillata_Spis3168 Spis3168 SpisGene3168, Stylophora_pistillata_Spis2482 Spis2482 SpisGene2482
OG0000002	Acropora_digitifera_adi_v1.03379 adi_v1.03379	Stylophora_pistillata_Spis25860.Novel Spis25860.Novel SpisGene25860.Novel
OG0000002	Acropora_digitifera_adi_v1.14306 adi_v1.14306	Stylophora_pistillata_Spis15604 Spis15604 SpisGene15604, Stylophora_pistillata_Spis661 Spis661 SpisGene661, Stylophora_pistillata_Spis22531.t1 Spis22531.t1 SpisGene22531
OG0000002	Acropora_digitifera_adi_v1.19596 adi_v1.19596	Stylophora_pistillata_Spis2735 Spis2735 SpisGene2735, Stylophora_pistillata_Spis2736 Spis2736 SpisGene2736, Stylophora_pistillata_Spis20570 Spis20570 SpisGene20570
OG0000002	Acropora_digitifera_adi_v1.05200 adi_v1.05200	Stylophora_pistillata_Spis6481 Spis6481 SpisGene6481
OG0000002	Acropora_digitifera_adi_v1.24510 adi_v1.24510	Stylophora_pistillata_Spis13469 Spis13469 SpisGene13469, Stylophora_pistillata_Spis549 Spis549 SpisGene549, Stylophora_pistillata_Spis24848 Spis24848 SpisGene24848, Stylophora_pistillata_Spis7560 Spis7560 SpisGene7560, Stylophora_pistillata_Spis7559 Spis7559 SpisGene7559
OG0000002	Acropora_digitifera_adi_v1.08206 adi_v1.08206	Stylophora_pistillata_Spis3252 Spis3252 SpisGene3252
OG0000002	Acropora_digitifera_adi_v1.01409 adi_v1.01409	Stylophora_pistillata_Spis12792 Spis12792 SpisGene12792
OG0000003	Acropora_digitifera_adi_v1.23742 adi_v1.23742, Acropora_digitifera_adi_v1.24161 adi_v1.24161	Stylophora_pistillata_Spis11319 Spis11319 SpisGene11319
OG0000003	Acropora_digitifera_adi_v1.06053 adi_v1.06053, Acropora_digitifera_adi_v1.10205 adi_v1.10205, Acropora_digitifera_adi_v1.16681 adi_v1.16681	Stylophora_pistillata_Spis4789 Spis4789 SpisGene4789
OG0000003	Acropora_digitifera_adi_v1.12298 adi_v1.12298, Acropora_digitifera_adi_v1.02332 adi_v1.02332	Stylophora_pistillata_Spis15966 Spis15966 SpisGene15966
OG0000003	Acropora_digitifera_adi_v1.03583 adi_v1.03583	Stylophora_pistillata_Spis6157 Spis6157 SpisGene6157
OG0000003	Acropora_digitifera_adi_v1.14330 adi_v1.14330	Stylophora_pistillata_Spis9880 Spis9880 SpisGene9880, Stylophora_pistillata_Spis4153.t1 Spis4153.t1 SpisGene4153
OG0000003	Acropora_digitifera_adi_v1.04620 adi_v1.04620, Acropora_digitifera_adi_v1.15479 adi_v1.15479, Acropora_digitifera_adi_v1.17665 adi_v1.17665, Acropora_digitifera_adi_v1.18386 adi_v1.18386, Acropora_digitifera_adi_v1.17664 adi_v1.17664	Stylophora_pistillata_Spis17921 Spis17921 SpisGene17921, Stylophora_pistillata_Spis17923 Spis17923 SpisGene17923, Stylophora_pistillata_Spis17924 Spis17924 SpisGene17924
OG0000003	Acropora_digitifera_adi_v1.09977 adi_v1.09977	Stylophora_pistillata_Spis15291 Spis15291 SpisGene15291
OG0000003	Acropora_digitifera_adi_v1.09840 adi_v1.09840, Acropora_digitifera_adi_v1.08075 adi_v1.08075, Acropora_digitifera_adi_v1.07831 adi_v1.07831, Acropora_digitifera_adi_v1.06761 adi_v1.06761, Acropora_digitifera_adi_v1.20323 adi_v1.20323, Acropora_digitifera_adi_v1.08076 adi_v1.08076, Acropora_digitifera_adi_v1.08077 adi_v1.08077	Stylophora_pistillata_Spis10287 Spis10287 SpisGene10287
OG0000003	Acropora_digitifera_adi_v1.10868 adi_v1.10868	Stylophora_pistillata_Spis13257 Spis13257 SpisGene13257
OG0000003	Acropora_digitifera_adi_v1.01653 adi_v1.01653	Stylophora_pistillata_Spis3605 Spis3605 SpisGene3605
OG0000003	Acropora_digitifera_adi_v1.10367 adi_v1.10367	Stylophora_pistillata_Spis3607 Spis3607 SpisGene3607
OG0000003	Acropora_digitifera_adi_v1.12238 adi_v1.12238	Stylophora_pistillata_Spis7146.t1 Spis7146.t1 SpisGene7146
OG0000003	Acropora_digitifera_adi_v1.21433 adi_v1.21433, Acropora_digitifera_adi_v1.20004 adi_v1.20004	Stylophora_pistillata_Spis6710 Spis6710 SpisGene6710
OG0000003	Acropora_digitifera_adi_v1.04076 adi_v1.04076	Stylophora_pistillata_Spis25012 Spis25012 SpisGene25012
OG0000003	Acropora_digitifera_adi_v1.16248 adi_v1.16248, Acropora_digitifera_adi_v1.02561 adi_v1.02561, Acropora_digitifera_adi_v1.23712 adi_v1.23712	Stylophora_pistillata_Spis18451 Spis18451 SpisGene18451, Stylophora_pistillata_Spis15328 Spis15328 SpisGene15328, Stylophora_pistillata_Spis23195 Spis23195 SpisGene23195, Stylophora_pistillata_Spis22238 Spis22238 SpisGene22238, Stylophora_pistillata_Spis21940 Spis21940 SpisGene21940
OG0000003	Acropora_digitifera_adi_v1.00078 adi_v1.00078, Acropora_digitifera_adi_v1.20654 adi_v1.20654, Acropora_digitifera_adi_v1.00077 adi_v1.00077, Acropora_digitifera_adi_v1.20655 adi_v1.20655	Stylophora_pistillata_Spis21152 Spis21152 SpisGene21152, Stylophora_pistillata_Spis7666 Spis7666 SpisGene7666, Stylophora_pistillata_Spis7667 Spis7667 SpisGene7667, Stylophora_pistillata_Spis21151 Spis21151 SpisGene21151, Stylophora_pistillata_Spis21153 Spis21153 SpisGene21153, Stylophora_pistillata_Spis21146 Spis21146 SpisGene21146, Stylophora_pistillata_Spis7664 Spis7664 SpisGene7664, Stylophora_pistillata_Spis7665 Spis7665 SpisGene7665
OG0000003	Acropora_digitifera_adi_v1.20653 adi_v1.20653, Acropora_digitifera_adi_v1.00076 adi_v1.00076, Acropora_digitifera_adi_v1.00080 adi_v1.00080	Stylophora_pistillata_Spis21933 Spis21933 SpisGene21933, Stylophora_pistillata_Spis23587 Spis23587 SpisGene23587, Stylophora_pistillata_Spis24070 Spis24070 SpisGene24070, Stylophora_pistillata_Spis23989 Spis23989 SpisGene23989, Stylophora_pistillata_Spis24000 Spis24000 SpisGene24000, Stylophora_pistillata_Spis22422 Spis22422 SpisGene22422
OG0000003	Acropora_digitifera_adi_v1.13597 adi_v1.13597	Stylophora_pistillata_Spis22283 Spis22283 SpisGene22283
OG0000003	Acropora_digitifera_adi_v1.06330 adi_v1.06330	Stylophora_pistillata_Spis23016 Spis23016 SpisGene23016
OG0000003	Acropora_digitifera_adi_v1.24683 adi_v1.24683, Acropora_digitifera_adi_v1.16447 adi_v1.16447, Acropora_digitifera_adi_v1.04187 adi_v1.04187, Acropora_digitifera_adi_v1.11493 adi_v1.11493	Stylophora_pistillata_Spis13317 Spis13317 SpisGene13317
OG0000003	Acropora_digitifera_adi_v1.13471 adi_v1.13471	Stylophora_pistillata_Spis24974 Spis24974 SpisGene24974, Stylophora_pistillata_Spis5993 Spis5993 SpisGene5993
OG0000004	Acropora_digitifera_adi_v1.19534 adi_v1.19534, Acropora_digitifera_adi_v1.04405 adi_v1.04405	Stylophora_pistillata_Spis5092 Spis5092 SpisGene5092
OG0000004	Acropora_digitifera_adi_v1.08696 adi_v1.08696	Stylophora_pistillata_Spis5178.t1 Spis5178.t1 SpisGene5178
OG0000004	Acropora_digitifera_adi_v1.05900 adi_v1.05900, Acropora_digitifera_adi_v1.23089 adi_v1.23089, Acropora_digitifera_adi_v1.14602 adi_v1.14602, Acropora_digitifera_adi_v1.03325 adi_v1.03325	Stylophora_pistillata_Spis13211 Spis13211 SpisGene13211
OG0000004	Acropora_digitifera_adi_v1.18241 adi_v1.18241	Stylophora_pistillata_Spis20566 Spis20566 SpisGene20566
OG0000004	Acropora_digitifera_adi_v1.22404 adi_v1.22404, Acropora_digitifera_adi_v1.22086 adi_v1.22086, Acropora_digitifera_adi_v1.24329 adi_v1.24329, Acropora_digitifera_adi_v1.18109 adi_v1.18109, Acropora_digitifera_adi_v1.24228 adi_v1.24228, Acropora_digitifera_adi_v1.09536 adi_v1.09536, Acropora_digitifera_adi_v1.17315 adi_v1.17315	Stylophora_pistillata_Spis20569 Spis20569 SpisGene20569
OG0000004	Acropora_digitifera_adi_v1.18558 adi_v1.18558, Acropora_digitifera_adi_v1.10904 adi_v1.10904	Stylophora_pistillata_Spis18196 Spis18196 SpisGene18196
OG0000004	Acropora_digitifera_adi_v1.07864 adi_v1.07864	Stylophora_pistillata_Spis9593 Spis9593 SpisGene9593
OG0000004	Acropora_digitifera_adi_v1.24676 adi_v1.24676	Stylophora_pistillata_Spis6222 Spis6222 SpisGene6222
OG0000004	Acropora_digitifera_adi_v1.24482 adi_v1.24482	Stylophora_pistillata_Spis12772 Spis12772 SpisGene12772
OG0000004	Acropora_digitifera_adi_v1.10229 adi_v1.10229	Stylophora_pistillata_Spis5541 Spis5541 SpisGene5541
OG0000004	Acropora_digitifera_adi_v1.03710 adi_v1.03710	Stylophora_pistillata_Spis16168 Spis16168 SpisGene16168
OG0000004	Acropora_digitifera_adi_v1.22249 adi_v1.22249, Acropora_digitifera_adi_v1.17078 adi_v1.17078, Acropora_digitifera_adi_v1.23001 adi_v1.23001	Stylophora_pistillata_Spis11197 Spis11197 SpisGene11197, Stylophora_pistillata_Spis6567 Spis6567 SpisGene6567
OG0000004	Acropora_digitifera_adi_v1.21914 adi_v1.21914	Stylophora_pistillata_Spis6569 Spis6569 SpisGene6569, Stylophora_pistillata_Spis16235 Spis16235 SpisGene16235
OG0000004	Acropora_digitifera_adi_v1.02001 adi_v1.02001	Stylophora_pistillata_Spis7200 Spis7200 SpisGene7200, Stylophora_pistillata_Spis7201 Spis7201 SpisGene7201
OG0000004	Acropora_digitifera_adi_v1.15324 adi_v1.15324	Stylophora_pistillata_Spis5789.t1 Spis5789.t1 SpisGene5789
OG0000004	Acropora_digitifera_adi_v1.08106 adi_v1.08106	Stylophora_pistillata_Spis10601 Spis10601 SpisGene10601
OG0000004	Acropora_digitifera_adi_v1.15665 adi_v1.15665	Stylophora_pistillata_Spis13182 Spis13182 SpisGene13182
OG0000004	Acropora_digitifera_adi_v1.16039 adi_v1.16039	Stylophora_pistillata_Spis8899 Spis8899 SpisGene8899
OG0000004	Acropora_digitifera_adi_v1.19517 adi_v1.19517	Stylophora_pistillata_Spis26 Spis26 SpisGene26
OG0000004	Acropora_digitifera_adi_v1.10196 adi_v1.10196	Stylophora_pistillata_Spis11895 Spis11895 SpisGene11895
OG0000004	Acropora_digitifera_adi_v1.13754 adi_v1.13754	Stylophora_pistillata_Spis8457 Spis8457 SpisGene8457
OG0000004	Acropora_digitifera_adi_v1.05544 adi_v1.05544, Acropora_digitifera_adi_v1.10187 adi_v1.10187, Acropora_digitifera_adi_v1.18256 adi_v1.18256, Acropora_digitifera_adi_v1.10906 adi_v1.10906	Stylophora_pistillata_Spis13212 Spis13212 SpisGene13212
OG0000004	Acropora_digitifera_adi_v1.08872 adi_v1.08872, Acropora_digitifera_adi_v1.00148 adi_v1.00148	Stylophora_pistillata_Spis1357 Spis1357 SpisGene1357
OG0000004	Acropora_digitifera_adi_v1.06518 adi_v1.06518	Stylophora_pistillata_Spis16171 Spis16171 SpisGene16171
OG0000005	Acropora_digitifera_adi_v1.20368 adi_v1.20368	Stylophora_pistillata_Spis8938.t1 Spis8938.t1 SpisGene8938
OG0000005	Acropora_digitifera_adi_v1.06940 adi_v1.06940	Stylophora_pistillata_Spis20849 Spis20849 SpisGene20849, Stylophora_pistillata_Spis20848 Spis20848 SpisGene20848
OG0000005	Acropora_digitifera_adi_v1.17845 adi_v1.17845	Stylophora_pistillata_Spis20850 Spis20850 SpisGene20850
OG0000005	Acropora_digitifera_adi_v1.15751 adi_v1.15751	Stylophora_pistillata_Spis8406 Spis8406 SpisGene8406
OG0000005	Acropora_digitifera_adi_v1.07442 adi_v1.07442	Stylophora_pistillata_Spis5609 Spis5609 SpisGene5609
OG0000005	Acropora_digitifera_adi_v1.18953 adi_v1.18953, Acropora_digitifera_adi_v1.15782 adi_v1.15782	Stylophora_pistillata_Spis16651 Spis16651 SpisGene16651
OG0000005	Acropora_digitifera_adi_v1.13648 adi_v1.13648	Stylophora_pistillata_Spis6483 Spis6483 SpisGene6483
OG0000005	Acropora_digitifera_adi_v1.01716 adi_v1.01716	Stylophora_pistillata_Spis12826 Spis12826 SpisGene12826, Stylophora_pistillata_Spis12825 Spis12825 SpisGene12825
OG0000005	Acropora_digitifera_adi_v1.06941 adi_v1.06941	Stylophora_pistillata_Spis8400 Spis8400 SpisGene8400, Stylophora_pistillata_Spis22252 Spis22252 SpisGene22252, Stylophora_pistillata_Spis2313 Spis2313 SpisGene2313
OG0000005	Acropora_digitifera_adi_v1.22618 adi_v1.22618	Stylophora_pistillata_Spis6195 Spis6195 SpisGene6195
OG0000005	Acropora_digitifera_adi_v1.12633 adi_v1.12633	Stylophora_pistillata_Spis9964 Spis9964 SpisGene9964
OG0000005	Acropora_digitifera_adi_v1.24503 adi_v1.24503	Stylophora_pistillata_Spis15365 Spis15365 SpisGene15365
OG0000005	Acropora_digitifera_adi_v1.02212 adi_v1.02212	Stylophora_pistillata_Spis797 Spis797 SpisGene797
OG0000005	Acropora_digitifera_adi_v1.08322 adi_v1.08322	Stylophora_pistillata_Spis2128 Spis2128 SpisGene2128, Stylophora_pistillata_Spis2115 Spis2115 SpisGene2115
OG0000005	Acropora_digitifera_adi_v1.23604 adi_v1.23604	Stylophora_pistillata_Spis1719 Spis1719 SpisGene1719
OG0000005	Acropora_digitifera_adi_v1.10908 adi_v1.10908	Stylophora_pistillata_Spis16898 Spis16898 SpisGene16898, Stylophora_pistillata_Spis3143 Spis3143 SpisGene3143
OG0000005	Acropora_digitifera_adi_v1.06987 adi_v1.06987	Stylophora_pistillata_Spis4342 Spis4342 SpisGene4342
OG0000006	Acropora_digitifera_adi_v1.21946 adi_v1.21946, Acropora_digitifera_adi_v1.18870 adi_v1.18870	Stylophora_pistillata_Spis1220 Spis1220 SpisGene1220
OG0000006	Acropora_digitifera_adi_v1.07190 adi_v1.07190	Stylophora_pistillata_Spis1242 Spis1242 SpisGene1242, Stylophora_pistillata_Spis1227 Spis1227 SpisGene1227, Stylophora_pistillata_Spis1225.t1 Spis1225.t1 SpisGene1225
OG0000006	Acropora_digitifera_adi_v1.01853 adi_v1.01853	Stylophora_pistillata_Spis16437 Spis16437 SpisGene16437
OG0000006	Acropora_digitifera_adi_v1.02129 adi_v1.02129	Stylophora_pistillata_Spis21789 Spis21789 SpisGene21789
OG0000006	Acropora_digitifera_adi_v1.06181 adi_v1.06181	Stylophora_pistillata_Spis18091 Spis18091 SpisGene18091
OG0000006	Acropora_digitifera_adi_v1.15090 adi_v1.15090	Stylophora_pistillata_Spis3946 Spis3946 SpisGene3946
OG0000006	Acropora_digitifera_adi_v1.14680 adi_v1.14680	Stylophora_pistillata_Spis2512 Spis2512 SpisGene2512
OG0000006	Acropora_digitifera_adi_v1.13848 adi_v1.13848, Acropora_digitifera_adi_v1.20802 adi_v1.20802	Stylophora_pistillata_Spis1234.t1 Spis1234.t1 SpisGene1234
OG0000006	Acropora_digitifera_adi_v1.15218 adi_v1.15218	Stylophora_pistillata_Spis21228 Spis21228 SpisGene21228
OG0000006	Acropora_digitifera_adi_v1.00398 adi_v1.00398, Acropora_digitifera_adi_v1.14158 adi_v1.14158, Acropora_digitifera_adi_v1.01971 adi_v1.01971, Acropora_digitifera_adi_v1.11915 adi_v1.11915	Stylophora_pistillata_Spis10997 Spis10997 SpisGene10997
OG0000006	Acropora_digitifera_adi_v1.10429 adi_v1.10429, Acropora_digitifera_adi_v1.23717 adi_v1.23717, Acropora_digitifera_adi_v1.07851 adi_v1.07851	Stylophora_pistillata_Spis12361 Spis12361 SpisGene12361, Stylophora_pistillata_Spis18333 Spis18333 SpisGene18333
