Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Insecta_Diptera_Drosophila_melanogaster
OG0000006	Acropora_digitifera_adi_v1.18431 adi_v1.18431, Acropora_digitifera_adi_v1.10670 adi_v1.10670, Acropora_digitifera_adi_v1.19424 adi_v1.19424, Acropora_digitifera_adi_v1.13848 adi_v1.13848, Acropora_digitifera_adi_v1.20802 adi_v1.20802, Acropora_digitifera_adi_v1.19423 adi_v1.19423	Drosophila_melanogaster_tr_Q058W1_Q058W1_DROME tr|Q058W1|Q058W1_DROME Hig-anchoring scaffold protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=1, Drosophila_melanogaster_tr_Q9VIU9_Q9VIU9_DROME tr|Q9VIU9|Q9VIU9_DROME Hig-anchoring scaffold protein_ isoform C OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=3, Drosophila_melanogaster_tr_B7YZX0_B7YZX0_DROME tr|B7YZX0|B7YZX0_DROME Hig-anchoring scaffold protein_ isoform G OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=2, Drosophila_melanogaster_tr_Q8INW2_Q8INW2_DROME tr|Q8INW2|Q8INW2_DROME Hig-anchoring scaffold protein_ isoform A OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=1
OG0000007	Acropora_digitifera_adi_v1.08798 adi_v1.08798, Acropora_digitifera_adi_v1.13188 adi_v1.13188	Drosophila_melanogaster_tr_M9PHP7_M9PHP7_DROME tr|M9PHP7|M9PHP7_DROME Faulty attraction_ isoform F OS=Drosophila melanogaster OX=7227 GN=frac PE=4 SV=1, Drosophila_melanogaster_tr_Q9VS89_Q9VS89_DROME tr|Q9VS89|Q9VS89_DROME FI18763p1 OS=Drosophila melanogaster OX=7227 GN=frac PE=2 SV=4, Drosophila_melanogaster_tr_Q8MQJ4_Q8MQJ4_DROME tr|Q8MQJ4|Q8MQJ4_DROME LD32019p _Fragment_ OS=Drosophila melanogaster OX=7227 GN=frac PE=2 SV=1
OG0000007	Acropora_digitifera_adi_v1.21164 adi_v1.21164	Drosophila_melanogaster_tr_M9PEI1_M9PEI1_DROME tr|M9PEI1|M9PEI1_DROME Dumpy_ isoform U OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PC45_M9PC45_DROME tr|M9PC45|M9PC45_DROME Dumpy_ isoform T OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PB31_M9PB31_DROME tr|M9PB31|M9PB31_DROME Dumpy_ isoform V OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PCJ6_M9PCJ6_DROME tr|M9PCJ6|M9PCJ6_DROME Dumpy_ isoform S OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PC48_M9PC48_DROME tr|M9PC48|M9PC48_DROME Dumpy_ isoform Y OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PEI7_M9PEI7_DROME tr|M9PEI7|M9PEI7_DROME Dumpy_ isoform Z OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PBZ0_M9PBZ0_DROME tr|M9PBZ0|M9PBZ0_DROME Dumpy_ isoform R OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PB30_M9PB30_DROME tr|M9PB30|M9PB30_DROME Dumpy_ isoform Q OS=Drosophila melanogaster OX=7227 GN=dpy PE=1 SV=1, Drosophila_melanogaster_tr_M9PC41_M9PC41_DROME tr|M9PC41|M9PC41_DROME Dumpy_ isoform O OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PB32_M9PB32_DROME tr|M9PB32|M9PB32_DROME Dumpy_ isoform AA OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PEH5_M9PEH5_DROME tr|M9PEH5|M9PEH5_DROME Dumpy_ isoform P OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PBZ4_M9PBZ4_DROME tr|M9PBZ4|M9PBZ4_DROME Dumpy_ isoform W OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PCJ8_M9PCJ8_DROME tr|M9PCJ8|M9PCJ8_DROME Dumpy_ isoform X OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9NCR4_M9NCR4_DROME tr|M9NCR4|M9NCR4_DROME Dumpy_ isoform J OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9NER8_M9NER8_DROME tr|M9NER8|M9NER8_DROME Dumpy_ isoform I OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9NE82_M9NE82_DROME tr|M9NE82|M9NE82_DROME Dumpy_ isoform M OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1
OG0000009	Acropora_digitifera_adi_v1.00989 adi_v1.00989	Drosophila_melanogaster_tr_Q49II5_Q49II5_DROME tr|Q49II5|Q49II5_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ1_Q49IJ1_DROME tr|Q49IJ1|Q49IJ1_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ0_Q49IJ0_DROME tr|Q49IJ0|Q49IJ0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II8_Q49II8_DROME tr|Q49II8|Q49II8_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II0_Q49II0_DROME tr|Q49II0|Q49II0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II7_Q49II7_DROME tr|Q49II7|Q49II7_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IK4_Q49IK4_DROME tr|Q49IK4|Q49IK4_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_sp_Q9VC47_TOK_DROME sp|Q9VC47|TOK_DROME Protein tolkin OS=Drosophila melanogaster OX=7227 GN=tok PE=1 SV=1, Drosophila_melanogaster_tr_Q7YU36_Q7YU36_DROME tr|Q7YU36|Q7YU36_DROME Metalloendopeptidase OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=1, Drosophila_melanogaster_sp_P25723_TLD_DROME sp|P25723|TLD_DROME Dorsal-ventral patterning protein tolloid OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=2
OG0000010	Acropora_digitifera_adi_v1.00664 adi_v1.00664	Drosophila_melanogaster_tr_Q8MPN3_Q8MPN3_DROME tr|Q8MPN3|Q8MPN3_DROME Perlecan OS=Drosophila melanogaster OX=7227 GN=trol PE=2 SV=1, Drosophila_melanogaster_tr_M9NE56_M9NE56_DROME tr|M9NE56|M9NE56_DROME Terribly reduced optic lobes_ isoform AK OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_M9NDL5_M9NDL5_DROME tr|M9NDL5|M9NDL5_DROME Terribly reduced optic lobes_ isoform AF OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_M9NES6_M9NES6_DROME tr|M9NES6|M9NES6_DROME Terribly reduced optic lobes_ isoform AU OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q9W4Y3_Q9W4Y3_DROME tr|Q9W4Y3|Q9W4Y3_DROME Terribly reduced optic lobes_ isoform AT OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=4, Drosophila_melanogaster_tr_E1JJC0_E1JJC0_DROME tr|E1JJC0|E1JJC0_DROME Terribly reduced optic lobes_ isoform AH OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_X2JCE8_X2JCE8_DROME tr|X2JCE8|X2JCE8_DROME Terribly reduced optic lobes_ isoform BA OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_X2JE09_X2JE09_DROME tr|X2JE09|X2JE09_DROME Terribly reduced optic lobes_ isoform AV OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_A0A023GRW4_A0A023GRW4_DROME tr|A0A023GRW4|A0A023GRW4_DROME Terribly reduced optic lobes_ isoform AZ OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_Q8IRV8_Q8IRV8_DROME tr|Q8IRV8|Q8IRV8_DROME Terribly reduced optic lobes_ isoform AO OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_M9NDM1_M9NDM1_DROME tr|M9NDM1|M9NDM1_DROME Terribly reduced optic lobes_ isoform AP OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_X2JDK9_X2JDK9_DROME tr|X2JDK9|X2JDK9_DROME Terribly reduced optic lobes_ isoform AS OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_Q9NFS9_Q9NFS9_DROME tr|Q9NFS9|Q9NFS9_DROME Perlecan domain V _Fragment_ OS=Drosophila melanogaster OX=7227 GN=trol PE=2 SV=1, Drosophila_melanogaster_tr_Q9NEG1_Q9NEG1_DROME tr|Q9NEG1|Q9NEG1_DROME EG_BACR25B3.11 protein OS=Drosophila melanogaster OX=7227 GN=trol PE=4 SV=1, Drosophila_melanogaster_tr_M9NET2_M9NET2_DROME tr|M9NET2|M9NET2_DROME Terribly reduced optic lobes_ isoform AI OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_M9NGK3_M9NGK3_DROME tr|M9NGK3|M9NGK3_DROME Terribly reduced optic lobes_ isoform AL OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_M9NFR6_M9NFR6_DROME tr|M9NFR6|M9NFR6_DROME Terribly reduced optic lobes_ isoform AY OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q8IRV9_Q8IRV9_DROME tr|Q8IRV9|Q8IRV9_DROME Terribly reduced optic lobes_ isoform AW OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_M9NGL3_M9NGL3_DROME tr|M9NGL3|M9NGL3_DROME Terribly reduced optic lobes_ isoform AM OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q8MSR5_Q8MSR5_DROME tr|Q8MSR5|Q8MSR5_DROME SD04592p OS=Drosophila melanogaster OX=7227 GN=trol PE=2 SV=1, Drosophila_melanogaster_tr_Q8IRV7_Q8IRV7_DROME tr|Q8IRV7|Q8IRV7_DROME Terribly reduced optic lobes_ isoform AG OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_X2JAC7_X2JAC7_DROME tr|X2JAC7|X2JAC7_DROME Terribly reduced optic lobes_ isoform AX OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_M9NE61_M9NE61_DROME tr|M9NE61|M9NE61_DROME Terribly reduced optic lobes_ isoform AR OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q9W4Y4_Q9W4Y4_DROME tr|Q9W4Y4|Q9W4Y4_DROME Terribly reduced optic lobes_ isoform AN OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=5, Drosophila_melanogaster_tr_M9NFS1_M9NFS1_DROME tr|M9NFS1|M9NFS1_DROME Terribly reduced optic lobes_ isoform AQ OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q9NEF9_Q9NEF9_DROME tr|Q9NEF9|Q9NEF9_DROME EG_BACR25B3.1 protein OS=Drosophila melanogaster OX=7227 GN=trol PE=4 SV=1
OG0000010	Acropora_digitifera_adi_v1.05525 adi_v1.05525	Drosophila_melanogaster_sp_A0A1F4_EYS_DROME sp|A0A1F4|EYS_DROME Protein eyes shut OS=Drosophila melanogaster OX=7227 GN=eys PE=1 SV=1, Drosophila_melanogaster_tr_M9PBU9_M9PBU9_DROME tr|M9PBU9|M9PBU9_DROME Eyes shut_ isoform E OS=Drosophila melanogaster OX=7227 GN=eys PE=4 SV=2
OG0000010	Acropora_digitifera_adi_v1.05424 adi_v1.05424	Drosophila_melanogaster_tr_Q86NV3_Q86NV3_DROME tr|Q86NV3|Q86NV3_DROME Follistatin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Fs PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4LFH4_A0A0B4LFH4_DROME tr|A0A0B4LFH4|A0A0B4LFH4_DROME Follistatin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Fs PE=4 SV=1, Drosophila_melanogaster_tr_Q8WR59_Q8WR59_DROME tr|Q8WR59|Q8WR59_DROME Follistatin OS=Drosophila melanogaster OX=7227 GN=Fs PE=2 SV=1
OG0000012	Acropora_digitifera_adi_v1.00068 adi_v1.00068, Acropora_digitifera_adi_v1.03852 adi_v1.03852, Acropora_digitifera_adi_v1.00069 adi_v1.00069	Drosophila_melanogaster_tr_Q9U5D0_Q9U5D0_DROME tr|Q9U5D0|Q9U5D0_DROME Hemolectin OS=Drosophila melanogaster OX=7227 GN=Hml PE=2 SV=1, Drosophila_melanogaster_tr_Q9VU94_Q9VU94_DROME tr|Q9VU94|Q9VU94_DROME Hemolectin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Hml PE=1 SV=2, Drosophila_melanogaster_tr_M9PCE5_M9PCE5_DROME tr|M9PCE5|M9PCE5_DROME Hemolectin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Hml PE=1 SV=1, Drosophila_melanogaster_tr_Q8MS79_Q8MS79_DROME tr|Q8MS79|Q8MS79_DROME LP05709p OS=Drosophila melanogaster OX=7227 GN=Hml PE=2 SV=1
OG0000012	Acropora_digitifera_adi_v1.12876 adi_v1.12876	Drosophila_melanogaster_tr_Q9W2H2_Q9W2H2_DROME tr|Q9W2H2|Q9W2H2_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2, Drosophila_melanogaster_tr_Q9GYX3_Q9GYX3_DROME tr|Q9GYX3|Q9GYX3_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2
OG0000012	Acropora_digitifera_adi_v1.08393 adi_v1.08393, Acropora_digitifera_adi_v1.00226 adi_v1.00226	Drosophila_melanogaster_tr_Q9VKA7_Q9VKA7_DROME tr|Q9VKA7|Q9VKA7_DROME VWFC domain-containing protein OS=Drosophila melanogaster OX=7227 GN=Dmel\CG17211 PE=4 SV=1
OG0000013	Acropora_digitifera_adi_v1.13606 adi_v1.13606	Drosophila_melanogaster_tr_Q9VM26_Q9VM26_DROME tr|Q9VM26|Q9VM26_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt6 PE=2 SV=3
OG0000013	Acropora_digitifera_adi_v1.06764 adi_v1.06764	Drosophila_melanogaster_sp_P28465_WNT2_DROME sp|P28465|WNT2_DROME Protein Wnt-2 OS=Drosophila melanogaster OX=7227 GN=Wnt2 PE=2 SV=2, Drosophila_melanogaster_tr_A0A0B4LFY4_A0A0B4LFY4_DROME tr|A0A0B4LFY4|A0A0B4LFY4_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt2 PE=3 SV=1
OG0000013	Acropora_digitifera_adi_v1.13774 adi_v1.13774, Acropora_digitifera_adi_v1.13773 adi_v1.13773, Acropora_digitifera_adi_v1.08272 adi_v1.08272	Drosophila_melanogaster_sp_Q9VFX1_WNT8_DROME sp|Q9VFX1|WNT8_DROME Wnt inhibitor of Dorsal protein OS=Drosophila melanogaster OX=7227 GN=wntD PE=1 SV=2
OG0000013	Acropora_digitifera_adi_v1.13607 adi_v1.13607	Drosophila_melanogaster_tr_Q9VM25_Q9VM25_DROME tr|Q9VM25|Q9VM25_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt10 PE=3 SV=4
OG0000014	Acropora_digitifera_adi_v1.10799 adi_v1.10799, Acropora_digitifera_adi_v1.14366 adi_v1.14366	Drosophila_melanogaster_tr_Q9VKV3_Q9VKV3_DROME tr|Q9VKV3|Q9VKV3_DROME Lonely heart_ isoform A OS=Drosophila melanogaster OX=7227 GN=loh PE=4 SV=3, Drosophila_melanogaster_tr_Q8MSF8_Q8MSF8_DROME tr|Q8MSF8|Q8MSF8_DROME GM15606p OS=Drosophila melanogaster OX=7227 GN=loh PE=2 SV=1, Drosophila_melanogaster_tr_E1JHE3_E1JHE3_DROME tr|E1JHE3|E1JHE3_DROME Lonely heart_ isoform D OS=Drosophila melanogaster OX=7227 GN=loh PE=4 SV=2, Drosophila_melanogaster_tr_M9MRI1_M9MRI1_DROME tr|M9MRI1|M9MRI1_DROME Lonely heart_ isoform C OS=Drosophila melanogaster OX=7227 GN=loh PE=4 SV=1
OG0000014	Acropora_digitifera_adi_v1.14580 adi_v1.14580, Acropora_digitifera_adi_v1.14581 adi_v1.14581	Drosophila_melanogaster_sp_Q868Z9_PPN_DROME sp|Q868Z9|PPN_DROME Papilin OS=Drosophila melanogaster OX=7227 GN=Ppn PE=1 SV=2
OG0000014	Acropora_digitifera_adi_v1.06910 adi_v1.06910	Drosophila_melanogaster_tr_A0A0B4KHK4_A0A0B4KHK4_DROME tr|A0A0B4KHK4|A0A0B4KHK4_DROME ADAM metallopeptidase with thrombospondin type 1 motif A_ isoform C OS=Drosophila melanogaster OX=7227 GN=AdamTS-A PE=4 SV=1, Drosophila_melanogaster_tr_Q7KSH7_Q7KSH7_DROME tr|Q7KSH7|Q7KSH7_DROME ADAM metallopeptidase with thrombospondin type 1 motif A_ isoform E OS=Drosophila melanogaster OX=7227 GN=AdamTS-A PE=4 SV=1, Drosophila_melanogaster_tr_Q8SXB0_Q8SXB0_DROME tr|Q8SXB0|Q8SXB0_DROME ADAM metallopeptidase with thrombospondin type 1 motif A_ isoform B OS=Drosophila melanogaster OX=7227 GN=AdamTS-A PE=2 SV=1
OG0000017	Acropora_digitifera_adi_v1.20054 adi_v1.20054, Acropora_digitifera_adi_v1.12711 adi_v1.12711, Acropora_digitifera_adi_v1.17942 adi_v1.17942	Drosophila_melanogaster_tr_Q8MPN6_Q8MPN6_DROME tr|Q8MPN6|Q8MPN6_DROME Serpin 4 OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q8MPN8_Q8MPN8_DROME tr|Q8MPN8|Q8MPN8_DROME Serpin 4 OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q8MPN7_Q8MPN7_DROME tr|Q8MPN7|Q8MPN7_DROME GH08104p OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q8MPN5_Q8MPN5_DROME tr|Q8MPN5|Q8MPN5_DROME Serpin 4 OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q9U1I5_Q9U1I5_DROME tr|Q9U1I5|Q9U1I5_DROME Serine protease inhibitor _Serpin-4_ OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=2 SV=1, Drosophila_melanogaster_tr_Q7K8Y3_Q7K8Y3_DROME tr|Q7K8Y3|Q7K8Y3_DROME IP16419p OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q7K8Y5_Q7K8Y5_DROME tr|Q7K8Y5|Q7K8Y5_DROME Serpin 4 OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q8MM39_Q8MM39_DROME tr|Q8MM39|Q8MM39_DROME RE31022p OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q8MM49_Q8MM49_DROME tr|Q8MM49|Q8MM49_DROME Serpin 4 OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=1 SV=1, Drosophila_melanogaster_tr_Q8T0M5_Q8T0M5_DROME tr|Q8T0M5|Q8T0M5_DROME GH21896p OS=Drosophila melanogaster OX=7227 GN=Spn42Da PE=2 SV=1, Drosophila_melanogaster_tr_Q7JV69_Q7JV69_DROME tr|Q7JV69|Q7JV69_DROME SD11922p OS=Drosophila melanogaster OX=7227 GN=Spn55B PE=1 SV=1, Drosophila_melanogaster_tr_A1Z6R4_A1Z6R4_DROME tr|A1Z6R4|A1Z6R4_DROME Serpin 42Dc_ isoform A OS=Drosophila melanogaster OX=7227 GN=Spn42Dc PE=1 SV=1, Drosophila_melanogaster_tr_Q8T3Z2_Q8T3Z2_DROME tr|Q8T3Z2|Q8T3Z2_DROME AT24862p OS=Drosophila melanogaster OX=7227 GN=Spn42Dc PE=2 SV=1, Drosophila_melanogaster_tr_Q8SZF4_Q8SZF4_DROME tr|Q8SZF4|Q8SZF4_DROME RE02548p OS=Drosophila melanogaster OX=7227 GN=Spn42De PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4K6Q4_A0A0B4K6Q4_DROME tr|A0A0B4K6Q4|A0A0B4K6Q4_DROME Serpin 42De_ isoform B OS=Drosophila melanogaster OX=7227 GN=Spn42De PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U3_Q6V6U3_DROME tr|Q6V6U3|Q6V6U3_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U5_Q6V6U5_DROME tr|Q6V6U5|Q6V6U5_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U7_Q6V6U7_DROME tr|Q6V6U7|Q6V6U7_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6V0_Q6V6V0_DROME tr|Q6V6V0|Q6V6V0_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U8_Q6V6U8_DROME tr|Q6V6U8|Q6V6U8_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U4_Q6V6U4_DROME tr|Q6V6U4|Q6V6U4_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U2_Q6V6U2_DROME tr|Q6V6U2|Q6V6U2_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U1_Q6V6U1_DROME tr|Q6V6U1|Q6V6U1_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U9_Q6V6U9_DROME tr|Q6V6U9|Q6V6U9_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q6V6U6_Q6V6U6_DROME tr|Q6V6U6|Q6V6U6_DROME Spn43Ac _Fragment_ OS=Drosophila melanogaster OX=7227 GN=nec PE=3 SV=1, Drosophila_melanogaster_tr_Q7JWX3_Q7JWX3_DROME tr|Q7JWX3|Q7JWX3_DROME GH10112p OS=Drosophila melanogaster OX=7227 GN=nec PE=1 SV=1, Drosophila_melanogaster_tr_Q9U5W7_Q9U5W7_DROME tr|Q9U5W7|Q9U5W7_DROME Serpin_ putative OS=Drosophila melanogaster OX=7227 GN=nec PE=2 SV=1, Drosophila_melanogaster_tr_Q7KA66_Q7KA66_DROME tr|Q7KA66|Q7KA66_DROME Serpin 43Aa OS=Drosophila melanogaster OX=7227 GN=Spn43Aa PE=1 SV=1, Drosophila_melanogaster_tr_Q8MQZ7_Q8MQZ7_DROME tr|Q8MQZ7|Q8MQZ7_DROME LP08647p _Fragment_ OS=Drosophila melanogaster OX=7227 GN=Spn43Aa PE=2 SV=1, Drosophila_melanogaster_tr_Q0E8V6_Q0E8V6_DROME tr|Q0E8V6|Q0E8V6_DROME Serpin 28Da OS=Drosophila melanogaster OX=7227 GN=Spn28Da PE=3 SV=1, Drosophila_melanogaster_tr_X2JAJ8_X2JAJ8_DROME tr|X2JAJ8|X2JAJ8_DROME Serpin 38F_ isoform B OS=Drosophila melanogaster OX=7227 GN=Spn38F PE=3 SV=1, Drosophila_melanogaster_tr_Q8MSJ3_Q8MSJ3_DROME tr|Q8MSJ3|Q8MSJ3_DROME GH09216p OS=Drosophila melanogaster OX=7227 GN=Spn38F PE=2 SV=1, Drosophila_melanogaster_tr_Q9VII7_Q9VII7_DROME tr|Q9VII7|Q9VII7_DROME Serpin 38F_ isoform A OS=Drosophila melanogaster OX=7227 GN=Spn38F PE=3 SV=3, Drosophila_melanogaster_tr_Q9U1I6_Q9U1I6_DROME tr|Q9U1I6|Q9U1I6_DROME Serine protease inhibitor _Serpin-3_ OS=Drosophila melanogaster OX=7227 GN=Spn38F PE=2 SV=1, Drosophila_melanogaster_tr_Q9VLQ7_Q9VLQ7_DROME tr|Q9VLQ7|Q9VLQ7_DROME Serpin 28F OS=Drosophila melanogaster OX=7227 GN=Spn28F PE=3 SV=2, Drosophila_melanogaster_tr_Q8MSJ4_Q8MSJ4_DROME tr|Q8MSJ4|Q8MSJ4_DROME GH08778p OS=Drosophila melanogaster OX=7227 GN=Spn28F PE=2 SV=1, Drosophila_melanogaster_tr_Q9U1I7_Q9U1I7_DROME tr|Q9U1I7|Q9U1I7_DROME Serine protease inhibitor _Serpin-2_ OS=Drosophila melanogaster OX=7227 GN=Spn28F PE=2 SV=1, Drosophila_melanogaster_tr_Q9VLZ8_Q9VLZ8_DROME tr|Q9VLZ8|Q9VLZ8_DROME Serpin 28B_ isoform A OS=Drosophila melanogaster OX=7227 GN=Spn28B PE=3 SV=2, Drosophila_melanogaster_sp_Q7YTY6_SP42D_DROME sp|Q7YTY6|SP42D_DROME Serine protease inhibitor 42Dd OS=Drosophila melanogaster OX=7227 GN=Spn42Dd PE=2 SV=1
OG0000019	Acropora_digitifera_adi_v1.06152 adi_v1.06152, Acropora_digitifera_adi_v1.06153 adi_v1.06153	Drosophila_melanogaster_tr_Q9VQG9_Q9VQG9_DROME tr|Q9VQG9|Q9VQG9_DROME Dawdle_ isoform A OS=Drosophila melanogaster OX=7227 GN=daw PE=2 SV=1
