Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Porifera_Demospongiae_Ephydatia_muelleri
OG0000004	Acropora_digitifera_adi_v1.15324 adi_v1.15324	Ephydatia_muelleri_Em0007g757a Em0007g757a, Ephydatia_muelleri_Em0007g755a Em0007g755a
OG0000004	Acropora_digitifera_adi_v1.13267 adi_v1.13267, Acropora_digitifera_adi_v1.15665 adi_v1.15665, Acropora_digitifera_adi_v1.16039 adi_v1.16039, Acropora_digitifera_adi_v1.20707 adi_v1.20707, Acropora_digitifera_adi_v1.19517 adi_v1.19517, Acropora_digitifera_adi_v1.10196 adi_v1.10196	Ephydatia_muelleri_Em0022g301a Em0022g301a
OG0000005	Acropora_digitifera_adi_v1.20368 adi_v1.20368	Ephydatia_muelleri_Em0001g1715a Em0001g1715a
OG0000007	Acropora_digitifera_adi_v1.08028 adi_v1.08028	Ephydatia_muelleri_Em0019g1079a Em0019g1079a, Ephydatia_muelleri_Em0019g1074a Em0019g1074a, Ephydatia_muelleri_Em0019g1070a Em0019g1070a, Ephydatia_muelleri_Em0019g1075a Em0019g1075a
OG0000007	Acropora_digitifera_adi_v1.00199 adi_v1.00199, Acropora_digitifera_adi_v1.06437 adi_v1.06437, Acropora_digitifera_adi_v1.18885 adi_v1.18885, Acropora_digitifera_adi_v1.09820 adi_v1.09820, Acropora_digitifera_adi_v1.22003 adi_v1.22003, Acropora_digitifera_adi_v1.14298 adi_v1.14298, Acropora_digitifera_adi_v1.14299 adi_v1.14299, Acropora_digitifera_adi_v1.14300 adi_v1.14300, Acropora_digitifera_adi_v1.19005 adi_v1.19005, Acropora_digitifera_adi_v1.11371 adi_v1.11371, Acropora_digitifera_adi_v1.13720 adi_v1.13720, Acropora_digitifera_adi_v1.06951 adi_v1.06951, Acropora_digitifera_adi_v1.06438 adi_v1.06438, Acropora_digitifera_adi_v1.21019 adi_v1.21019, Acropora_digitifera_adi_v1.07913 adi_v1.07913, Acropora_digitifera_adi_v1.11289 adi_v1.11289, Acropora_digitifera_adi_v1.07914 adi_v1.07914	Ephydatia_muelleri_Em0010g757a Em0010g757a, Ephydatia_muelleri_Em0010g762a Em0010g762a, Ephydatia_muelleri_Em0382g2a Em0382g2a, Ephydatia_muelleri_Em0462g1a Em0462g1a, Ephydatia_muelleri_Em0010g756a Em0010g756a, Ephydatia_muelleri_Em0418g1a Em0418g1a, Ephydatia_muelleri_Em0002g1565a Em0002g1565a, Ephydatia_muelleri_Em0002g1561a Em0002g1561a, Ephydatia_muelleri_Em0005g97a Em0005g97a, Ephydatia_muelleri_Em0010g209a Em0010g209a, Ephydatia_muelleri_Em0010g239a Em0010g239a, Ephydatia_muelleri_Em0001g3643a Em0001g3643a
OG0000008	Acropora_digitifera_adi_v1.05561 adi_v1.05561, Acropora_digitifera_adi_v1.19041 adi_v1.19041, Acropora_digitifera_adi_v1.21250 adi_v1.21250, Acropora_digitifera_adi_v1.20031 adi_v1.20031, Acropora_digitifera_adi_v1.23528 adi_v1.23528, Acropora_digitifera_adi_v1.11566 adi_v1.11566, Acropora_digitifera_adi_v1.10230 adi_v1.10230, Acropora_digitifera_adi_v1.04804 adi_v1.04804, Acropora_digitifera_adi_v1.02443 adi_v1.02443, Acropora_digitifera_adi_v1.12140 adi_v1.12140, Acropora_digitifera_adi_v1.22879 adi_v1.22879, Acropora_digitifera_adi_v1.23160 adi_v1.23160, Acropora_digitifera_adi_v1.07571 adi_v1.07571, Acropora_digitifera_adi_v1.04859 adi_v1.04859, Acropora_digitifera_adi_v1.22883 adi_v1.22883, Acropora_digitifera_adi_v1.06352 adi_v1.06352, Acropora_digitifera_adi_v1.24395 adi_v1.24395, Acropora_digitifera_adi_v1.07153 adi_v1.07153, Acropora_digitifera_adi_v1.24319 adi_v1.24319, Acropora_digitifera_adi_v1.21910 adi_v1.21910, Acropora_digitifera_adi_v1.07154 adi_v1.07154, Acropora_digitifera_adi_v1.09419 adi_v1.09419, Acropora_digitifera_adi_v1.09420 adi_v1.09420, Acropora_digitifera_adi_v1.18672 adi_v1.18672, Acropora_digitifera_adi_v1.23804 adi_v1.23804, Acropora_digitifera_adi_v1.20455 adi_v1.20455	Ephydatia_muelleri_Em0006g945a Em0006g945a
OG0000008	Acropora_digitifera_adi_v1.11997 adi_v1.11997	Ephydatia_muelleri_Em0018g257a Em0018g257a
OG0000008	Acropora_digitifera_adi_v1.19725 adi_v1.19725	Ephydatia_muelleri_Em0001g1124a Em0001g1124a, Ephydatia_muelleri_Em0001g1135a Em0001g1135a
OG0000009	Acropora_digitifera_adi_v1.19086 adi_v1.19086	Ephydatia_muelleri_Em0081g2a Em0081g2a, Ephydatia_muelleri_Em0081g7a Em0081g7a, Ephydatia_muelleri_Em0021g426a Em0021g426a, Ephydatia_muelleri_Em0019g554a Em0019g554a, Ephydatia_muelleri_Em0006g967a Em0006g967a
OG0000010	Acropora_digitifera_adi_v1.06326 adi_v1.06326	Ephydatia_muelleri_Em0006g1150a Em0006g1150a
OG0000010	Acropora_digitifera_adi_v1.05525 adi_v1.05525, Acropora_digitifera_adi_v1.18396 adi_v1.18396	Ephydatia_muelleri_Em0011g1192a Em0011g1192a
OG0000011	Acropora_digitifera_adi_v1.22570 adi_v1.22570, Acropora_digitifera_adi_v1.05178 adi_v1.05178	Ephydatia_muelleri_Em0005g71a Em0005g71a
OG0000013	Acropora_digitifera_adi_v1.06764 adi_v1.06764, Acropora_digitifera_adi_v1.02062 adi_v1.02062, Acropora_digitifera_adi_v1.02063 adi_v1.02063	Ephydatia_muelleri_Em0012g1035a Em0012g1035a, Ephydatia_muelleri_Em0008g1080a Em0008g1080a
OG0000014	Acropora_digitifera_adi_v1.10799 adi_v1.10799, Acropora_digitifera_adi_v1.14366 adi_v1.14366	Ephydatia_muelleri_Em0016g1107a Em0016g1107a
OG0000018	Acropora_digitifera_adi_v1.08251 adi_v1.08251, Acropora_digitifera_adi_v1.08253 adi_v1.08253	Ephydatia_muelleri_Em0011g282a Em0011g282a, Ephydatia_muelleri_Em0011g292a Em0011g292a, Ephydatia_muelleri_Em0011g291a Em0011g291a, Ephydatia_muelleri_Em0011g283a Em0011g283a
OG0000018	Acropora_digitifera_adi_v1.13977 adi_v1.13977	Ephydatia_muelleri_Em0017g348a Em0017g348a
OG0000020	Acropora_digitifera_adi_v1.10004 adi_v1.10004, Acropora_digitifera_adi_v1.14128 adi_v1.14128, Acropora_digitifera_adi_v1.12521 adi_v1.12521, Acropora_digitifera_adi_v1.15357 adi_v1.15357	Ephydatia_muelleri_Em0016g1034a Em0016g1034a, Ephydatia_muelleri_Em0016g1035a Em0016g1035a
OG0000021	Acropora_digitifera_adi_v1.05589 adi_v1.05589, Acropora_digitifera_adi_v1.00314 adi_v1.00314	Ephydatia_muelleri_Em0010g765a Em0010g765a
OG0000022	Acropora_digitifera_adi_v1.17095 adi_v1.17095	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a
OG0000022	Acropora_digitifera_adi_v1.08755 adi_v1.08755	Ephydatia_muelleri_Em0006g1280a Em0006g1280a, Ephydatia_muelleri_Em0006g1281a Em0006g1281a
OG0000024	Acropora_digitifera_adi_v1.05361 adi_v1.05361, Acropora_digitifera_adi_v1.10598 adi_v1.10598, Acropora_digitifera_adi_v1.05363 adi_v1.05363, Acropora_digitifera_adi_v1.05362 adi_v1.05362, Acropora_digitifera_adi_v1.21193 adi_v1.21193	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a
OG0000030	Acropora_digitifera_adi_v1.13106 adi_v1.13106	Ephydatia_muelleri_Em0005g1474a Em0005g1474a
OG0000034	Acropora_digitifera_adi_v1.08610 adi_v1.08610	Ephydatia_muelleri_Em0013g44a Em0013g44a
OG0000039	Acropora_digitifera_adi_v1.18902 adi_v1.18902, Acropora_digitifera_adi_v1.15125 adi_v1.15125, Acropora_digitifera_adi_v1.16330 adi_v1.16330, Acropora_digitifera_adi_v1.15494 adi_v1.15494, Acropora_digitifera_adi_v1.15094 adi_v1.15094	Ephydatia_muelleri_Em0001g503a Em0001g503a, Ephydatia_muelleri_Em0001g539a Em0001g539a, Ephydatia_muelleri_Em0001g504a Em0001g504a
OG0000040	Acropora_digitifera_adi_v1.10909 adi_v1.10909, Acropora_digitifera_adi_v1.09775 adi_v1.09775	Ephydatia_muelleri_Em1222g1a Em1222g1a
OG0000041	Acropora_digitifera_adi_v1.03072 adi_v1.03072	Ephydatia_muelleri_Em0022g42a Em0022g42a, Ephydatia_muelleri_Em0022g38a Em0022g38a, Ephydatia_muelleri_Em0001g2773a Em0001g2773a, Ephydatia_muelleri_Em0001g2780a Em0001g2780a, Ephydatia_muelleri_Em0001g2788a Em0001g2788a, Ephydatia_muelleri_Em0001g2777a Em0001g2777a, Ephydatia_muelleri_Em0020g881a Em0020g881a, Ephydatia_muelleri_Em0020g874a Em0020g874a, Ephydatia_muelleri_Em0020g879a Em0020g879a, Ephydatia_muelleri_Em0020g880a Em0020g880a, Ephydatia_muelleri_Em0020g851a Em0020g851a, Ephydatia_muelleri_Em0020g850a Em0020g850a, Ephydatia_muelleri_Em0020g854a Em0020g854a, Ephydatia_muelleri_Em0020g858a Em0020g858a, Ephydatia_muelleri_Em0020g849a Em0020g849a, Ephydatia_muelleri_Em0020g860a Em0020g860a, Ephydatia_muelleri_Em0020g877a Em0020g877a
OG0000041	Acropora_digitifera_adi_v1.21179 adi_v1.21179	Ephydatia_muelleri_Em0020g781a Em0020g781a, Ephydatia_muelleri_Em0398g6a Em0398g6a
OG0000044	Acropora_digitifera_adi_v1.17869 adi_v1.17869, Acropora_digitifera_adi_v1.01279 adi_v1.01279, Acropora_digitifera_adi_v1.01276 adi_v1.01276, Acropora_digitifera_adi_v1.01277 adi_v1.01277	Ephydatia_muelleri_Em0005g1033a Em0005g1033a, Ephydatia_muelleri_Em0012g1083a Em0012g1083a, Ephydatia_muelleri_Em0012g1079a Em0012g1079a
OG0000045	Acropora_digitifera_adi_v1.23198 adi_v1.23198	Ephydatia_muelleri_Em0009g1117a Em0009g1117a
OG0000049	Acropora_digitifera_adi_v1.00526 adi_v1.00526	Ephydatia_muelleri_Em0014g267a Em0014g267a
OG0000051	Acropora_digitifera_adi_v1.01617 adi_v1.01617, Acropora_digitifera_adi_v1.22187 adi_v1.22187, Acropora_digitifera_adi_v1.22186 adi_v1.22186, Acropora_digitifera_adi_v1.01615 adi_v1.01615	Ephydatia_muelleri_Em0024g143a Em0024g143a, Ephydatia_muelleri_Em0024g142a Em0024g142a
OG0000054	Acropora_digitifera_adi_v1.13439 adi_v1.13439	Ephydatia_muelleri_Em0001g3101a Em0001g3101a
OG0000054	Acropora_digitifera_adi_v1.00193 adi_v1.00193	Ephydatia_muelleri_Em0005g1163a Em0005g1163a
OG0000058	Acropora_digitifera_adi_v1.10518 adi_v1.10518, Acropora_digitifera_adi_v1.09748 adi_v1.09748, Acropora_digitifera_adi_v1.20259 adi_v1.20259, Acropora_digitifera_adi_v1.06948 adi_v1.06948, Acropora_digitifera_adi_v1.13941 adi_v1.13941, Acropora_digitifera_adi_v1.10945 adi_v1.10945	Ephydatia_muelleri_Em0006g1503a Em0006g1503a
OG0000065	Acropora_digitifera_adi_v1.01898 adi_v1.01898, Acropora_digitifera_adi_v1.06117 adi_v1.06117	Ephydatia_muelleri_Em0021g136a Em0021g136a, Ephydatia_muelleri_Em0021g28a Em0021g28a
OG0000070	Acropora_digitifera_adi_v1.06768 adi_v1.06768	Ephydatia_muelleri_Em0001g689a Em0001g689a
OG0000081	Acropora_digitifera_adi_v1.11224 adi_v1.11224, Acropora_digitifera_adi_v1.14148 adi_v1.14148	Ephydatia_muelleri_Em0001g262a Em0001g262a
OG0000083	Acropora_digitifera_adi_v1.06821 adi_v1.06821, Acropora_digitifera_adi_v1.08924 adi_v1.08924	Ephydatia_muelleri_Em0023g687a Em0023g687a, Ephydatia_muelleri_Em0023g690a Em0023g690a
OG0000089	Acropora_digitifera_adi_v1.12564 adi_v1.12564	Ephydatia_muelleri_Em0021g686a Em0021g686a, Ephydatia_muelleri_Em0021g687a Em0021g687a
OG0000103	Acropora_digitifera_adi_v1.12265 adi_v1.12265	Ephydatia_muelleri_Em0009g1125a Em0009g1125a
OG0000111	Acropora_digitifera_adi_v1.05777 adi_v1.05777	Ephydatia_muelleri_Em0020g1027a Em0020g1027a
OG0000113	Acropora_digitifera_adi_v1.13247 adi_v1.13247	Ephydatia_muelleri_Em0021g75a Em0021g75a
OG0000113	Acropora_digitifera_adi_v1.13246 adi_v1.13246	Ephydatia_muelleri_Em0021g76a Em0021g76a
OG0000114	Acropora_digitifera_adi_v1.04340 adi_v1.04340	Ephydatia_muelleri_Em0014g123a Em0014g123a, Ephydatia_muelleri_Em0014g127a Em0014g127a
OG0000117	Acropora_digitifera_adi_v1.00663 adi_v1.00663, Acropora_digitifera_adi_v1.03578 adi_v1.03578, Acropora_digitifera_adi_v1.07624 adi_v1.07624, Acropora_digitifera_adi_v1.11902 adi_v1.11902	Ephydatia_muelleri_Em0009g858a Em0009g858a, Ephydatia_muelleri_Em0051g8a Em0051g8a, Ephydatia_muelleri_Em0003g1817a Em0003g1817a, Ephydatia_muelleri_Em0011g925a Em0011g925a
OG0000121	Acropora_digitifera_adi_v1.07477 adi_v1.07477, Acropora_digitifera_adi_v1.03736 adi_v1.03736	Ephydatia_muelleri_Em0010g817a Em0010g817a, Ephydatia_muelleri_Em0021g539a Em0021g539a
OG0000131	Acropora_digitifera_adi_v1.13891 adi_v1.13891	Ephydatia_muelleri_Em0008g193a Em0008g193a, Ephydatia_muelleri_Em0008g173a Em0008g173a, Ephydatia_muelleri_Em0008g203a Em0008g203a, Ephydatia_muelleri_Em0008g167a Em0008g167a, Ephydatia_muelleri_Em0008g172a Em0008g172a, Ephydatia_muelleri_Em0008g335a Em0008g335a, Ephydatia_muelleri_Em0008g332a Em0008g332a, Ephydatia_muelleri_Em0008g324a Em0008g324a
OG0000133	Acropora_digitifera_adi_v1.13517 adi_v1.13517	Ephydatia_muelleri_Em0005g1588a Em0005g1588a
OG0000152	Acropora_digitifera_adi_v1.16224 adi_v1.16224	Ephydatia_muelleri_Em0017g45a Em0017g45a, Ephydatia_muelleri_Em0017g29a Em0017g29a
OG0000156	Acropora_digitifera_adi_v1.15791 adi_v1.15791	Ephydatia_muelleri_Em0017g31a Em0017g31a
OG0000158	Acropora_digitifera_adi_v1.24509 adi_v1.24509	Ephydatia_muelleri_Em0023g200a Em0023g200a
OG0000159	Acropora_digitifera_adi_v1.12814 adi_v1.12814	Ephydatia_muelleri_Em0013g93a Em0013g93a
OG0000165	Acropora_digitifera_adi_v1.19692 adi_v1.19692	Ephydatia_muelleri_Em0005g150a Em0005g150a, Ephydatia_muelleri_Em0005g181a Em0005g181a, Ephydatia_muelleri_Em0005g136a Em0005g136a
OG0000179	Acropora_digitifera_adi_v1.01048 adi_v1.01048	Ephydatia_muelleri_Em0003g259a Em0003g259a
OG0000184	Acropora_digitifera_adi_v1.06030 adi_v1.06030, Acropora_digitifera_adi_v1.24014 adi_v1.24014, Acropora_digitifera_adi_v1.18430 adi_v1.18430, Acropora_digitifera_adi_v1.22305 adi_v1.22305, Acropora_digitifera_adi_v1.24432 adi_v1.24432	Ephydatia_muelleri_Em0020g39a Em0020g39a, Ephydatia_muelleri_Em0020g43a Em0020g43a
OG0000193	Acropora_digitifera_adi_v1.08763 adi_v1.08763	Ephydatia_muelleri_Em0008g372a Em0008g372a
OG0000194	Acropora_digitifera_adi_v1.23856 adi_v1.23856, Acropora_digitifera_adi_v1.00469 adi_v1.00469	Ephydatia_muelleri_Em0014g778a Em0014g778a, Ephydatia_muelleri_Em0014g767a Em0014g767a
OG0000195	Acropora_digitifera_adi_v1.01290 adi_v1.01290	Ephydatia_muelleri_Em0032g6a Em0032g6a, Ephydatia_muelleri_Em0032g16a Em0032g16a
OG0000200	Acropora_digitifera_adi_v1.07516 adi_v1.07516	Ephydatia_muelleri_Em0022g403a Em0022g403a
OG0000204	Acropora_digitifera_adi_v1.12294 adi_v1.12294	Ephydatia_muelleri_Em0022g268a Em0022g268a, Ephydatia_muelleri_Em0022g257a Em0022g257a
OG0000209	Acropora_digitifera_adi_v1.07265 adi_v1.07265	Ephydatia_muelleri_Em0021g593a Em0021g593a
OG0000219	Acropora_digitifera_adi_v1.15112 adi_v1.15112	Ephydatia_muelleri_Em0021g659a Em0021g659a
OG0000229	Acropora_digitifera_adi_v1.02366 adi_v1.02366	Ephydatia_muelleri_Em0019g583a Em0019g583a
OG0000230	Acropora_digitifera_adi_v1.19552 adi_v1.19552	Ephydatia_muelleri_Em0009g1283a Em0009g1283a
OG0000270	Acropora_digitifera_adi_v1.03975 adi_v1.03975	Ephydatia_muelleri_Em0013g791a Em0013g791a, Ephydatia_muelleri_Em0013g790a Em0013g790a
OG0000282	Acropora_digitifera_adi_v1.06060 adi_v1.06060, Acropora_digitifera_adi_v1.20668 adi_v1.20668	Ephydatia_muelleri_Em0019g1040a Em0019g1040a
OG0000284	Acropora_digitifera_adi_v1.20101 adi_v1.20101, Acropora_digitifera_adi_v1.13356 adi_v1.13356, Acropora_digitifera_adi_v1.06614 adi_v1.06614	Ephydatia_muelleri_Em0001g1874a Em0001g1874a
OG0000314	Acropora_digitifera_adi_v1.05227 adi_v1.05227	Ephydatia_muelleri_Em0020g193a Em0020g193a
OG0000476	Acropora_digitifera_adi_v1.02351 adi_v1.02351	Ephydatia_muelleri_Em0099g3a Em0099g3a, Ephydatia_muelleri_Em0099g23a Em0099g23a, Ephydatia_muelleri_Em0429g7a Em0429g7a, Ephydatia_muelleri_Em0145g12a Em0145g12a
OG0000794	Acropora_digitifera_adi_v1.20341 adi_v1.20341, Acropora_digitifera_adi_v1.16967 adi_v1.16967	Ephydatia_muelleri_Em0005g600a Em0005g600a
OG0000879	Acropora_digitifera_adi_v1.17865 adi_v1.17865, Acropora_digitifera_adi_v1.05343 adi_v1.05343, Acropora_digitifera_adi_v1.14188 adi_v1.14188	Ephydatia_muelleri_Em0006g959a Em0006g959a
