Orthogroup	Chordata_Vertebrata_Mus_musculus	Nematoda_Chromadorea_Caenorhabditis_elegans
OG0000003	Mus_musculus_sp_Q80XD9_CLC2E_MOUSE sp_Q80XD9_CLC2E_MOUSE C-type lectin domain family 2 member E OS=Mus musculus OX=10090 GN=Clec2e PE=2 SV=2, Mus_musculus_sp_Q91V08_CLC2D_MOUSE sp_Q91V08_CLC2D_MOUSE C-type lectin domain family 2 member D OS=Mus musculus OX=10090 GN=Clec2d PE=1 SV=1, Mus_musculus_sp_Q6QLQ4_CLC7A_MOUSE sp_Q6QLQ4_CLC7A_MOUSE C-type lectin domain family 7 member A OS=Mus musculus OX=10090 GN=Clec7a PE=1 SV=3	Caenorhabditis_elegans_ZK863.9 ZK863.9
OG0000004	Mus_musculus_sp_O35701_MATN3_MOUSE sp_O35701_MATN3_MOUSE Matrilin-3 OS=Mus musculus OX=10090 GN=Matn3 PE=1 SV=2, Mus_musculus_sp_O08746_MATN2_MOUSE sp_O08746_MATN2_MOUSE Matrilin-2 OS=Mus musculus OX=10090 GN=Matn2 PE=2 SV=2, Mus_musculus_sp_P51942_MATN1_MOUSE sp_P51942_MATN1_MOUSE Cartilage matrix protein OS=Mus musculus OX=10090 GN=Matn1 PE=2 SV=2, Mus_musculus_sp_O89029_MATN4_MOUSE sp_O89029_MATN4_MOUSE Matrilin-4 OS=Mus musculus OX=10090 GN=Matn4 PE=1 SV=1	Caenorhabditis_elegans_K07D8.1 K07D8.1, Caenorhabditis_elegans_K08E5.3b K08E5.3b
OG0000005	Mus_musculus_sp_Q6HA09_ASTL_MOUSE sp_Q6HA09_ASTL_MOUSE Astacin-like metalloendopeptidase OS=Mus musculus OX=10090 GN=Astl PE=1 SV=3	Caenorhabditis_elegans_F45G2.1 F45G2.1, Caenorhabditis_elegans_C07D10.4 C07D10.4, Caenorhabditis_elegans_C34D4.9 C34D4.9, Caenorhabditis_elegans_T23H4.3 T23H4.3, Caenorhabditis_elegans_C24F3.3 C24F3.3
OG0000006	Mus_musculus_sp_Q60736_ZP3R_MOUSE sp_Q60736_ZP3R_MOUSE Zona pellucida sperm-binding protein 3 receptor OS=Mus musculus OX=10090 GN=Zp3r PE=1 SV=1	Caenorhabditis_elegans_T07H6.5c T07H6.5c
OG0000009	Mus_musculus_sp_P98063_BMP1_MOUSE sp_P98063_BMP1_MOUSE Bone morphogenetic protein 1 OS=Mus musculus OX=10090 GN=Bmp1 PE=1 SV=2, Mus_musculus_sp_Q9WVM6_TLL2_MOUSE sp_Q9WVM6_TLL2_MOUSE Tolloid-like protein 2 OS=Mus musculus OX=10090 GN=Tll2 PE=1 SV=1, Mus_musculus_sp_Q62381_TLL1_MOUSE sp_Q62381_TLL1_MOUSE Tolloid-like protein 1 OS=Mus musculus OX=10090 GN=Tll1 PE=1 SV=1	Caenorhabditis_elegans_F38E9.2 F38E9.2
OG0000010	Mus_musculus_sp_A2AJ76_HMCN2_MOUSE sp_A2AJ76_HMCN2_MOUSE Hemicentin-2 OS=Mus musculus OX=10090 GN=Hmcn2 PE=1 SV=1	Caenorhabditis_elegans_F15G9.4e F15G9.4e
OG0000010	Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1	Caenorhabditis_elegans_T19D12.6 T19D12.6
OG0000010	Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1, Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1	Caenorhabditis_elegans_F41G3.12 F41G3.12
OG0000013	Mus_musculus_sp_Q9QYS1_WNT16_MOUSE sp_Q9QYS1_WNT16_MOUSE Protein Wnt-16 OS=Mus musculus OX=10090 GN=Wnt16 PE=2 SV=2	Caenorhabditis_elegans_W08D2.1 W08D2.1
OG0000013	Mus_musculus_sp_P22724_WNT4_MOUSE sp_P22724_WNT4_MOUSE Protein Wnt-4 OS=Mus musculus OX=10090 GN=Wnt4 PE=1 SV=1	Caenorhabditis_elegans_K10B4.6a K10B4.6a
OG0000013	Mus_musculus_sp_P22726_WNT5B_MOUSE sp_P22726_WNT5B_MOUSE Protein Wnt-5b OS=Mus musculus OX=10090 GN=Wnt5b PE=1 SV=2, Mus_musculus_sp_P22725_WNT5A_MOUSE sp_P22725_WNT5A_MOUSE Protein Wnt-5a OS=Mus musculus OX=10090 GN=Wnt5a PE=1 SV=2	Caenorhabditis_elegans_W01B6.1 W01B6.1
OG0000013	Mus_musculus_sp_P48614_WN10B_MOUSE sp_P48614_WN10B_MOUSE Protein Wnt-10b OS=Mus musculus OX=10090 GN=Wnt10b PE=2 SV=1, Mus_musculus_sp_P70701_WN10A_MOUSE sp_P70701_WN10A_MOUSE Protein Wnt-10a OS=Mus musculus OX=10090 GN=Wnt10a PE=2 SV=1	Caenorhabditis_elegans_E01A2.3 E01A2.3
OG0000013	Mus_musculus_sp_O35468_WNT9B_MOUSE sp_O35468_WNT9B_MOUSE Protein Wnt-9b OS=Mus musculus OX=10090 GN=Wnt9b PE=2 SV=2, Mus_musculus_sp_Q8R5M2_WNT9A_MOUSE sp_Q8R5M2_WNT9A_MOUSE Protein Wnt-9a OS=Mus musculus OX=10090 GN=Wnt9a PE=2 SV=1	Caenorhabditis_elegans_F38E1.7 F38E1.7
OG0000014	Mus_musculus_sp_Q8BLI0_ATL1_MOUSE sp_Q8BLI0_ATL1_MOUSE ADAMTS-like protein 1 OS=Mus musculus OX=10090 GN=Adamtsl1 PE=2 SV=2	Caenorhabditis_elegans_F53B6.2c F53B6.2c
OG0000014	Mus_musculus_sp_Q9EPX2_PPN_MOUSE sp_Q9EPX2_PPN_MOUSE Papilin OS=Mus musculus OX=10090 GN=Papln PE=2 SV=2	Caenorhabditis_elegans_C37C3.6c C37C3.6c
OG0000016	Mus_musculus_sp_P34960_MMP12_MOUSE sp_P34960_MMP12_MOUSE Macrophage metalloelastase OS=Mus musculus OX=10090 GN=Mmp12 PE=1 SV=3, Mus_musculus_sp_P28862_MMP3_MOUSE sp_P28862_MMP3_MOUSE Stromelysin-1 OS=Mus musculus OX=10090 GN=Mmp3 PE=2 SV=2, Mus_musculus_sp_O55123_MMP10_MOUSE sp_O55123_MMP10_MOUSE Stromelysin-2 OS=Mus musculus OX=10090 GN=Mmp10 PE=2 SV=1, Mus_musculus_sp_O70138_MMP8_MOUSE sp_O70138_MMP8_MOUSE Neutrophil collagenase OS=Mus musculus OX=10090 GN=Mmp8 PE=2 SV=2, Mus_musculus_sp_Q9EPL6_MMP1B_MOUSE sp_Q9EPL6_MMP1B_MOUSE Interstitial collagenase B OS=Mus musculus OX=10090 GN=Mmp1b PE=2 SV=1, Mus_musculus_sp_Q10738_MMP7_MOUSE sp_Q10738_MMP7_MOUSE Matrilysin OS=Mus musculus OX=10090 GN=Mmp7 PE=2 SV=1, Mus_musculus_sp_Q02853_MMP11_MOUSE sp_Q02853_MMP11_MOUSE Stromelysin-3 OS=Mus musculus OX=10090 GN=Mmp11 PE=1 SV=2, Mus_musculus_sp_P53690_MMP14_MOUSE sp_P53690_MMP14_MOUSE Matrix metalloproteinase-14 OS=Mus musculus OX=10090 GN=Mmp14 PE=2 SV=3, Mus_musculus_sp_Q9R0S2_MMP24_MOUSE sp_Q9R0S2_MMP24_MOUSE Matrix metalloproteinase-24 OS=Mus musculus OX=10090 GN=Mmp24 PE=1 SV=2, Mus_musculus_sp_Q9WTR0_MMP16_MOUSE sp_Q9WTR0_MMP16_MOUSE Matrix metalloproteinase-16 OS=Mus musculus OX=10090 GN=Mmp16 PE=2 SV=3, Mus_musculus_sp_O54732_MMP15_MOUSE sp_O54732_MMP15_MOUSE Matrix metalloproteinase-15 OS=Mus musculus OX=10090 GN=Mmp15 PE=2 SV=1, Mus_musculus_sp_Q3U435_MMP25_MOUSE sp_Q3U435_MMP25_MOUSE Matrix metalloproteinase-25 OS=Mus musculus OX=10090 GN=Mmp25 PE=2 SV=1, Mus_musculus_sp_Q9R0S3_MMP17_MOUSE sp_Q9R0S3_MMP17_MOUSE Matrix metalloproteinase-17 OS=Mus musculus OX=10090 GN=Mmp17 PE=1 SV=3, Mus_musculus_sp_Q9JHI0_MMP19_MOUSE sp_Q9JHI0_MMP19_MOUSE Matrix metalloproteinase-19 OS=Mus musculus OX=10090 GN=Mmp19 PE=2 SV=1	Caenorhabditis_elegans_H36L18.1 H36L18.1
OG0000017	Mus_musculus_sp_O35684_NEUS_MOUSE sp_O35684_NEUS_MOUSE Neuroserpin OS=Mus musculus OX=10090 GN=Serpini1 PE=1 SV=1, Mus_musculus_sp_Q9JK88_SPI2_MOUSE sp_Q9JK88_SPI2_MOUSE Serpin I2 OS=Mus musculus OX=10090 GN=Serpini2 PE=1 SV=1, Mus_musculus_sp_P22777_PAI1_MOUSE sp_P22777_PAI1_MOUSE Plasminogen activator inhibitor 1 OS=Mus musculus OX=10090 GN=Serpine1 PE=1 SV=1, Mus_musculus_sp_Q07235_GDN_MOUSE sp_Q07235_GDN_MOUSE Glia-derived nexin OS=Mus musculus OX=10090 GN=Serpine2 PE=1 SV=2, Mus_musculus_sp_P32261_ANT3_MOUSE sp_P32261_ANT3_MOUSE Antithrombin-III OS=Mus musculus OX=10090 GN=Serpinc1 PE=1 SV=1, Mus_musculus_sp_Q5SV42_ILEUC_MOUSE sp_Q5SV42_ILEUC_MOUSE Leukocyte elastase inhibitor C OS=Mus musculus OX=10090 GN=Serpinb1c PE=1 SV=1, Mus_musculus_sp_Q8VHP7_ILEUB_MOUSE sp_Q8VHP7_ILEUB_MOUSE Leukocyte elastase inhibitor B OS=Mus musculus OX=10090 GN=Serpinb1b PE=1 SV=1, Mus_musculus_sp_Q9D154_ILEUA_MOUSE sp_Q9D154_ILEUA_MOUSE Leukocyte elastase inhibitor A OS=Mus musculus OX=10090 GN=Serpinb1a PE=1 SV=1, Mus_musculus_sp_O08800_SPB8_MOUSE sp_O08800_SPB8_MOUSE Serpin B8 OS=Mus musculus OX=10090 GN=Serpinb8 PE=1 SV=2, Mus_musculus_sp_P70124_SPB5_MOUSE sp_P70124_SPB5_MOUSE Serpin B5 OS=Mus musculus OX=10090 GN=Serpinb5 PE=1 SV=1, Mus_musculus_sp_P12388_PAI2_MOUSE sp_P12388_PAI2_MOUSE Plasminogen activator inhibitor 2_ macrophage OS=Mus musculus OX=10090 GN=Serpinb2 PE=1 SV=1, Mus_musculus_sp_Q9D7P9_SPB12_MOUSE sp_Q9D7P9_SPB12_MOUSE Serpin B12 OS=Mus musculus OX=10090 GN=Serpinb12 PE=2 SV=1, Mus_musculus_sp_Q8CDC0_SPB13_MOUSE sp_Q8CDC0_SPB13_MOUSE Serpin B13 OS=Mus musculus OX=10090 GN=Serpinb13 PE=2 SV=2, Mus_musculus_sp_Q9CQV3_SPB11_MOUSE sp_Q9CQV3_SPB11_MOUSE Serpin B11 OS=Mus musculus OX=10090 GN=Serpinb11 PE=2 SV=1, Mus_musculus_sp_Q9D695_SPB7_MOUSE sp_Q9D695_SPB7_MOUSE Serpin B7 OS=Mus musculus OX=10090 GN=Serpinb7 PE=2 SV=1	Caenorhabditis_elegans_Y32G9A.4 Y32G9A.4, Caenorhabditis_elegans_C05E4.3 C05E4.3, Caenorhabditis_elegans_F20D6.3 F20D6.3, Caenorhabditis_elegans_F20D6.4d F20D6.4d, Caenorhabditis_elegans_C03G6.19 C03G6.19, Caenorhabditis_elegans_C05E4.1 C05E4.1
OG0000019	Mus_musculus_sp_Q9Z0J7_GDF15_MOUSE sp_Q9Z0J7_GDF15_MOUSE Growth_differentiation factor 15 OS=Mus musculus OX=10090 GN=Gdf15 PE=1 SV=2, Mus_musculus_sp_O08689_GDF8_MOUSE sp_O08689_GDF8_MOUSE Growth_differentiation factor 8 OS=Mus musculus OX=10090 GN=Mstn PE=1 SV=1, Mus_musculus_sp_P55104_INHBC_MOUSE sp_P55104_INHBC_MOUSE Inhibin beta C chain OS=Mus musculus OX=10090 GN=Inhbc PE=2 SV=2, Mus_musculus_sp_O08717_INHBE_MOUSE sp_O08717_INHBE_MOUSE Inhibin beta E chain OS=Mus musculus OX=10090 GN=Inhbe PE=2 SV=2, Mus_musculus_sp_Q04998_INHBA_MOUSE sp_Q04998_INHBA_MOUSE Inhibin beta A chain OS=Mus musculus OX=10090 GN=Inhba PE=1 SV=1	Caenorhabditis_elegans_Y46E12BL.1b Y46E12BL.1b
OG0000019	Mus_musculus_sp_P34821_BMP8A_MOUSE sp_P34821_BMP8A_MOUSE Bone morphogenetic protein 8A OS=Mus musculus OX=10090 GN=Bmp8a PE=2 SV=1, Mus_musculus_sp_P49003_BMP5_MOUSE sp_P49003_BMP5_MOUSE Bone morphogenetic protein 5 OS=Mus musculus OX=10090 GN=Bmp5 PE=2 SV=1, Mus_musculus_sp_P49003_BMP5_MOUSE sp_P49003_BMP5_MOUSE Bone morphogenetic protein 5 OS=Mus musculus OX=10090 GN=Bmp5 PE=2 SV=1, Mus_musculus_sp_P20722_BMP6_MOUSE sp_P20722_BMP6_MOUSE Bone morphogenetic protein 6 OS=Mus musculus OX=10090 GN=Bmp6 PE=1 SV=2, Mus_musculus_sp_P23359_BMP7_MOUSE sp_P23359_BMP7_MOUSE Bone morphogenetic protein 7 OS=Mus musculus OX=10090 GN=Bmp7 PE=1 SV=2	Caenorhabditis_elegans_F39G3.8 F39G3.8
OG0000021	Mus_musculus_sp_O88322_NID2_MOUSE sp_O88322_NID2_MOUSE Nidogen-2 OS=Mus musculus OX=10090 GN=Nid2 PE=1 SV=2, Mus_musculus_sp_P10493_NID1_MOUSE sp_P10493_NID1_MOUSE Nidogen-1 OS=Mus musculus OX=10090 GN=Nid1 PE=1 SV=2	Caenorhabditis_elegans_F54F3.1c F54F3.1c
