Orthogroup	Chordata_Vertebrata_Mus_musculus	Insecta_Diptera_Drosophila_melanogaster
OG0000002	Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1, Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1, Mus_musculus_sp_O35464_SEM6A_MOUSE sp_O35464_SEM6A_MOUSE Semaphorin-6A OS=Mus musculus OX=10090 GN=Sema6a PE=1 SV=2, Mus_musculus_sp_O54951_SEM6B_MOUSE sp_O54951_SEM6B_MOUSE Semaphorin-6B OS=Mus musculus OX=10090 GN=Sema6b PE=1 SV=1, Mus_musculus_sp_Q9WTM3_SEM6C_MOUSE sp_Q9WTM3_SEM6C_MOUSE Semaphorin-6C OS=Mus musculus OX=10090 GN=Sema6c PE=2 SV=1	Drosophila_melanogaster_sp_Q24322_SEM1A_DROME sp|Q24322|SEM1A_DROME Semaphorin-1A OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=3, Drosophila_melanogaster_tr_Q0E8S4_Q0E8S4_DROME tr|Q0E8S4|Q0E8S4_DROME Semaphorin 1a_ isoform D OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=2, Drosophila_melanogaster_tr_M9PCL7_M9PCL7_DROME tr|M9PCL7|M9PCL7_DROME Semaphorin 1a_ isoform G OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9PFA5_M9PFA5_DROME tr|M9PFA5|M9PFA5_DROME Semaphorin 1a_ isoform H OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9PB77_M9PB77_DROME tr|M9PB77|M9PB77_DROME Semaphorin 1a_ isoform I OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9MRI2_M9MRI2_DROME tr|M9MRI2|M9MRI2_DROME Semaphorin 1a_ isoform F OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_Q7KK54_Q7KK54_DROME tr|Q7KK54|Q7KK54_DROME MIP07328p OS=Drosophila melanogaster OX=7227 GN=Sema1b PE=1 SV=1, Drosophila_melanogaster_tr_O44253_O44253_DROME tr|O44253|O44253_DROME Similar to semaphorin-I OS=Drosophila melanogaster OX=7227 GN=Sema1b PE=2 SV=1
OG0000006	Mus_musculus_sp_Q60736_ZP3R_MOUSE sp_Q60736_ZP3R_MOUSE Zona pellucida sperm-binding protein 3 receptor OS=Mus musculus OX=10090 GN=Zp3r PE=1 SV=1	Drosophila_melanogaster_tr_Q058W1_Q058W1_DROME tr|Q058W1|Q058W1_DROME Hig-anchoring scaffold protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=1, Drosophila_melanogaster_tr_Q9VIU9_Q9VIU9_DROME tr|Q9VIU9|Q9VIU9_DROME Hig-anchoring scaffold protein_ isoform C OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=3, Drosophila_melanogaster_tr_B7YZX0_B7YZX0_DROME tr|B7YZX0|B7YZX0_DROME Hig-anchoring scaffold protein_ isoform G OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=2, Drosophila_melanogaster_tr_Q8INW2_Q8INW2_DROME tr|Q8INW2|Q8INW2_DROME Hig-anchoring scaffold protein_ isoform A OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=1
OG0000007	Mus_musculus_sp_Q80V70_MEGF6_MOUSE sp_Q80V70_MEGF6_MOUSE Multiple epidermal growth factor-like domains protein 6 OS=Mus musculus OX=10090 GN=Megf6 PE=2 SV=3, Mus_musculus_sp_Q8C088_EGFEM_MOUSE sp_Q8C088_EGFEM_MOUSE EGF-like and EMI domain-containing protein 1 OS=Mus musculus OX=10090 GN=Egfem1 PE=2 SV=1, Mus_musculus_sp_Q61592_GAS6_MOUSE sp_Q61592_GAS6_MOUSE Growth arrest-specific protein 6 OS=Mus musculus OX=10090 GN=Gas6 PE=2 SV=2	Drosophila_melanogaster_tr_M9PHP7_M9PHP7_DROME tr|M9PHP7|M9PHP7_DROME Faulty attraction_ isoform F OS=Drosophila melanogaster OX=7227 GN=frac PE=4 SV=1, Drosophila_melanogaster_tr_Q9VS89_Q9VS89_DROME tr|Q9VS89|Q9VS89_DROME FI18763p1 OS=Drosophila melanogaster OX=7227 GN=frac PE=2 SV=4, Drosophila_melanogaster_tr_Q8MQJ4_Q8MQJ4_DROME tr|Q8MQJ4|Q8MQJ4_DROME LD32019p _Fragment_ OS=Drosophila melanogaster OX=7227 GN=frac PE=2 SV=1
OG0000009	Mus_musculus_sp_P98063_BMP1_MOUSE sp_P98063_BMP1_MOUSE Bone morphogenetic protein 1 OS=Mus musculus OX=10090 GN=Bmp1 PE=1 SV=2, Mus_musculus_sp_Q9WVM6_TLL2_MOUSE sp_Q9WVM6_TLL2_MOUSE Tolloid-like protein 2 OS=Mus musculus OX=10090 GN=Tll2 PE=1 SV=1, Mus_musculus_sp_Q62381_TLL1_MOUSE sp_Q62381_TLL1_MOUSE Tolloid-like protein 1 OS=Mus musculus OX=10090 GN=Tll1 PE=1 SV=1	Drosophila_melanogaster_tr_Q49II5_Q49II5_DROME tr|Q49II5|Q49II5_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ1_Q49IJ1_DROME tr|Q49IJ1|Q49IJ1_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ0_Q49IJ0_DROME tr|Q49IJ0|Q49IJ0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II8_Q49II8_DROME tr|Q49II8|Q49II8_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II0_Q49II0_DROME tr|Q49II0|Q49II0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II7_Q49II7_DROME tr|Q49II7|Q49II7_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IK4_Q49IK4_DROME tr|Q49IK4|Q49IK4_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_sp_Q9VC47_TOK_DROME sp|Q9VC47|TOK_DROME Protein tolkin OS=Drosophila melanogaster OX=7227 GN=tok PE=1 SV=1, Drosophila_melanogaster_tr_Q7YU36_Q7YU36_DROME tr|Q7YU36|Q7YU36_DROME Metalloendopeptidase OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=1, Drosophila_melanogaster_sp_P25723_TLD_DROME sp|P25723|TLD_DROME Dorsal-ventral patterning protein tolloid OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=2
OG0000010	Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1	Drosophila_melanogaster_tr_A1ZA87_A1ZA87_DROME tr|A1ZA87|A1ZA87_DROME SP2353_ isoform A OS=Drosophila melanogaster OX=7227 GN=SP2353 PE=4 SV=1, Drosophila_melanogaster_tr_Q9NGV2_Q9NGV2_DROME tr|Q9NGV2|Q9NGV2_DROME SP2353 OS=Drosophila melanogaster OX=7227 GN=SP2353 PE=2 SV=1
OG0000010	Mus_musculus_sp_P47931_FST_MOUSE sp_P47931_FST_MOUSE Follistatin OS=Mus musculus OX=10090 GN=Fst PE=2 SV=1	Drosophila_melanogaster_tr_Q86NV3_Q86NV3_DROME tr|Q86NV3|Q86NV3_DROME Follistatin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Fs PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4LFH4_A0A0B4LFH4_DROME tr|A0A0B4LFH4|A0A0B4LFH4_DROME Follistatin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Fs PE=4 SV=1, Drosophila_melanogaster_tr_Q8WR59_Q8WR59_DROME tr|Q8WR59|Q8WR59_DROME Follistatin OS=Drosophila melanogaster OX=7227 GN=Fs PE=2 SV=1
OG0000012	Mus_musculus_sp_Q6PZE0_MUC19_MOUSE sp_Q6PZE0_MUC19_MOUSE Mucin-19 OS=Mus musculus OX=10090 GN=Muc19 PE=2 SV=2, Mus_musculus_sp_Q80T03_MUC6_MOUSE sp_Q80T03_MUC6_MOUSE Mucin-6 OS=Mus musculus OX=10090 GN=Muc6 PE=2 SV=1, Mus_musculus_sp_Q80Z19_MUC2_MOUSE sp_Q80Z19_MUC2_MOUSE Mucin-2 _Fragment_ OS=Mus musculus OX=10090 GN=Muc2 PE=1 SV=2, Mus_musculus_sp_Q8CG65_SSPO_MOUSE sp_Q8CG65_SSPO_MOUSE SCO-spondin OS=Mus musculus OX=10090 GN=Sspo PE=2 SV=2, Mus_musculus_sp_Q8CIZ8_VWF_MOUSE sp_Q8CIZ8_VWF_MOUSE von Willebrand factor OS=Mus musculus OX=10090 GN=Vwf PE=1 SV=2, Mus_musculus_sp_F7A4A7_OTOGL_MOUSE sp_F7A4A7_OTOGL_MOUSE Otogelin-like protein OS=Mus musculus OX=10090 GN=Otogl PE=1 SV=1, Mus_musculus_sp_O55225_OTOG_MOUSE sp_O55225_OTOG_MOUSE Otogelin OS=Mus musculus OX=10090 GN=Otog PE=1 SV=3, Mus_musculus_sp_O55225_OTOG_MOUSE sp_O55225_OTOG_MOUSE Otogelin OS=Mus musculus OX=10090 GN=Otog PE=1 SV=3	Drosophila_melanogaster_tr_Q9U5D0_Q9U5D0_DROME tr|Q9U5D0|Q9U5D0_DROME Hemolectin OS=Drosophila melanogaster OX=7227 GN=Hml PE=2 SV=1, Drosophila_melanogaster_tr_Q9VU94_Q9VU94_DROME tr|Q9VU94|Q9VU94_DROME Hemolectin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Hml PE=1 SV=2, Drosophila_melanogaster_tr_M9PCE5_M9PCE5_DROME tr|M9PCE5|M9PCE5_DROME Hemolectin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Hml PE=1 SV=1, Drosophila_melanogaster_tr_Q8MS79_Q8MS79_DROME tr|Q8MS79|Q8MS79_DROME LP05709p OS=Drosophila melanogaster OX=7227 GN=Hml PE=2 SV=1
OG0000012	Mus_musculus_sp_Q8CJ69_BMPER_MOUSE sp_Q8CJ69_BMPER_MOUSE BMP-binding endothelial regulator protein OS=Mus musculus OX=10090 GN=Bmper PE=1 SV=1, Mus_musculus_sp_Q3U492_KCP_MOUSE sp_Q3U492_KCP_MOUSE Kielin_chordin-like protein OS=Mus musculus OX=10090 GN=Kcp PE=1 SV=2, Mus_musculus_sp_Q3U515_VWCE_MOUSE sp_Q3U515_VWCE_MOUSE von Willebrand factor C and EGF domain-containing protein OS=Mus musculus OX=10090 GN=Vwce PE=2 SV=2	Drosophila_melanogaster_tr_Q9W2H2_Q9W2H2_DROME tr|Q9W2H2|Q9W2H2_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2, Drosophila_melanogaster_tr_Q9GYX3_Q9GYX3_DROME tr|Q9GYX3|Q9GYX3_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2
OG0000013	Mus_musculus_sp_P04426_WNT1_MOUSE sp_P04426_WNT1_MOUSE Proto-oncogene Wnt-1 OS=Mus musculus OX=10090 GN=Wnt1 PE=1 SV=1	Drosophila_melanogaster_sp_P09615_WNTG_DROME sp|P09615|WNTG_DROME Protein wingless OS=Drosophila melanogaster OX=7227 GN=wg PE=1 SV=1
OG0000013	Mus_musculus_sp_P28047_WNT7B_MOUSE sp_P28047_WNT7B_MOUSE Protein Wnt-7b OS=Mus musculus OX=10090 GN=Wnt7b PE=1 SV=1	Drosophila_melanogaster_sp_P28465_WNT2_DROME sp|P28465|WNT2_DROME Protein Wnt-2 OS=Drosophila melanogaster OX=7227 GN=Wnt2 PE=2 SV=2, Drosophila_melanogaster_tr_A0A0B4LFY4_A0A0B4LFY4_DROME tr|A0A0B4LFY4|A0A0B4LFY4_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt2 PE=3 SV=1
OG0000013	Mus_musculus_sp_Q64527_WNT8A_MOUSE sp_Q64527_WNT8A_MOUSE Protein Wnt-8a OS=Mus musculus OX=10090 GN=Wnt8a PE=2 SV=2	Drosophila_melanogaster_sp_Q9VFX1_WNT8_DROME sp|Q9VFX1|WNT8_DROME Wnt inhibitor of Dorsal protein OS=Drosophila melanogaster OX=7227 GN=wntD PE=1 SV=2
OG0000013	Mus_musculus_sp_P48614_WN10B_MOUSE sp_P48614_WN10B_MOUSE Protein Wnt-10b OS=Mus musculus OX=10090 GN=Wnt10b PE=2 SV=1, Mus_musculus_sp_P70701_WN10A_MOUSE sp_P70701_WN10A_MOUSE Protein Wnt-10a OS=Mus musculus OX=10090 GN=Wnt10a PE=2 SV=1	Drosophila_melanogaster_tr_Q9VM25_Q9VM25_DROME tr|Q9VM25|Q9VM25_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt10 PE=3 SV=4
OG0000013	Mus_musculus_sp_O35468_WNT9B_MOUSE sp_O35468_WNT9B_MOUSE Protein Wnt-9b OS=Mus musculus OX=10090 GN=Wnt9b PE=2 SV=2, Mus_musculus_sp_Q8R5M2_WNT9A_MOUSE sp_Q8R5M2_WNT9A_MOUSE Protein Wnt-9a OS=Mus musculus OX=10090 GN=Wnt9a PE=2 SV=1	Drosophila_melanogaster_tr_D2NUH8_D2NUH8_DROME tr|D2NUH8|D2NUH8_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt4 PE=2 SV=1, Drosophila_melanogaster_sp_P40589_WNT4_DROME sp|P40589|WNT4_DROME Protein Wnt-4 OS=Drosophila melanogaster OX=7227 GN=Wnt4 PE=2 SV=2
