Orthogroup	Chordata_Vertebrata_Mus_musculus	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000012	Mus_musculus_sp_O08523_TECTA_MOUSE sp_O08523_TECTA_MOUSE Alpha-tectorin OS=Mus musculus OX=10090 GN=Tecta PE=1 SV=2, Mus_musculus_sp_Q8CJ69_BMPER_MOUSE sp_Q8CJ69_BMPER_MOUSE BMP-binding endothelial regulator protein OS=Mus musculus OX=10090 GN=Bmper PE=1 SV=1, Mus_musculus_sp_Q3U492_KCP_MOUSE sp_Q3U492_KCP_MOUSE Kielin_chordin-like protein OS=Mus musculus OX=10090 GN=Kcp PE=1 SV=2, Mus_musculus_sp_Q3U515_VWCE_MOUSE sp_Q3U515_VWCE_MOUSE von Willebrand factor C and EGF domain-containing protein OS=Mus musculus OX=10090 GN=Vwce PE=2 SV=2	Pleurobrachia_bachei_sb_2662653_ sb_2662653_, Pleurobrachia_bachei_sb_2662654_ sb_2662654_, Pleurobrachia_bachei_sb_2662655_ sb_2662655_, Pleurobrachia_bachei_sb_2650533_ sb_2650533_, Pleurobrachia_bachei_sb_2642902_ sb_2642902_, Pleurobrachia_bachei_sb_2653924_ sb_2653924_, Pleurobrachia_bachei_sb_2638518_ sb_2638518_, Pleurobrachia_bachei_sb_2669102_ sb_2669102_, Pleurobrachia_bachei_sb_2647317_ sb_2647317_, Pleurobrachia_bachei_sb_2649652_ sb_2649652_, Pleurobrachia_bachei_sb_2648688_ sb_2648688_, Pleurobrachia_bachei_sb_2663772_ sb_2663772_, Pleurobrachia_bachei_sb_2643491_ sb_2643491_, Pleurobrachia_bachei_sb_2668726_ sb_2668726_
OG0000013	Mus_musculus_sp_O35468_WNT9B_MOUSE sp_O35468_WNT9B_MOUSE Protein Wnt-9b OS=Mus musculus OX=10090 GN=Wnt9b PE=2 SV=2, Mus_musculus_sp_Q8R5M2_WNT9A_MOUSE sp_Q8R5M2_WNT9A_MOUSE Protein Wnt-9a OS=Mus musculus OX=10090 GN=Wnt9a PE=2 SV=1	Pleurobrachia_bachei_sb_2647019_ sb_2647019_, Pleurobrachia_bachei_sb_2664184_ sb_2664184_, Pleurobrachia_bachei_sb_2664185_ sb_2664185_
OG0000015	Mus_musculus_sp_O08524_TECTB_MOUSE sp_O08524_TECTB_MOUSE Beta-tectorin OS=Mus musculus OX=10090 GN=Tectb PE=1 SV=2	Pleurobrachia_bachei_sb_2660647_ sb_2660647_
OG0000017	Mus_musculus_sp_Q8R121_ZPI_MOUSE sp_Q8R121_ZPI_MOUSE Protein Z-dependent protease inhibitor OS=Mus musculus OX=10090 GN=Serpina10 PE=1 SV=1, Mus_musculus_sp_Q00898_A1AT5_MOUSE sp_Q00898_A1AT5_MOUSE Alpha-1-antitrypsin 1-5 OS=Mus musculus OX=10090 GN=Serpina1e PE=1 SV=1, Mus_musculus_sp_Q00897_A1AT4_MOUSE sp_Q00897_A1AT4_MOUSE Alpha-1-antitrypsin 1-4 OS=Mus musculus OX=10090 GN=Serpina1d PE=1 SV=1, Mus_musculus_sp_Q00896_A1AT3_MOUSE sp_Q00896_A1AT3_MOUSE Alpha-1-antitrypsin 1-3 OS=Mus musculus OX=10090 GN=Serpina1c PE=1 SV=2, Mus_musculus_sp_P07758_A1AT1_MOUSE sp_P07758_A1AT1_MOUSE Alpha-1-antitrypsin 1-1 OS=Mus musculus OX=10090 GN=Serpina1a PE=1 SV=4, Mus_musculus_sp_P22599_A1AT2_MOUSE sp_P22599_A1AT2_MOUSE Alpha-1-antitrypsin 1-2 OS=Mus musculus OX=10090 GN=Serpina1b PE=1 SV=2, Mus_musculus_sp_Q8CIE0_SPA11_MOUSE sp_Q8CIE0_SPA11_MOUSE Serpin A11 OS=Mus musculus OX=10090 GN=Serpina11 PE=2 SV=1, Mus_musculus_sp_Q9D7D2_SPA9_MOUSE sp_Q9D7D2_SPA9_MOUSE Serpin A9 OS=Mus musculus OX=10090 GN=Serpina9 PE=2 SV=1, Mus_musculus_sp_P61939_THBG_MOUSE sp_P61939_THBG_MOUSE Thyroxine-binding globulin OS=Mus musculus OX=10090 GN=Serpina7 PE=2 SV=1, Mus_musculus_sp_Q03734_SPA3M_MOUSE sp_Q03734_SPA3M_MOUSE Serine protease inhibitor A3M OS=Mus musculus OX=10090 GN=Serpina3m PE=1 SV=2, Mus_musculus_sp_P07759_SPA3K_MOUSE sp_P07759_SPA3K_MOUSE Serine protease inhibitor A3K OS=Mus musculus OX=10090 GN=Serpina3k PE=1 SV=2, Mus_musculus_sp_P29621_SPA3C_MOUSE sp_P29621_SPA3C_MOUSE Serine protease inhibitor A3C OS=Mus musculus OX=10090 GN=Serpina3c PE=2 SV=1, Mus_musculus_sp_Q91WP6_SPA3N_MOUSE sp_Q91WP6_SPA3N_MOUSE Serine protease inhibitor A3N OS=Mus musculus OX=10090 GN=Serpina3n PE=1 SV=1, Mus_musculus_sp_Q5I2A0_SPA3G_MOUSE sp_Q5I2A0_SPA3G_MOUSE Serine protease inhibitor A3G OS=Mus musculus OX=10090 GN=Serpina3g PE=1 SV=2, Mus_musculus_sp_Q80X76_SPA3F_MOUSE sp_Q80X76_SPA3F_MOUSE Serine protease inhibitor A3F OS=Mus musculus OX=10090 GN=Serpina3f PE=1 SV=3, Mus_musculus_sp_Q6P4P1_SPA3A_MOUSE sp_Q6P4P1_SPA3A_MOUSE Serine protease inhibitor A3A OS=Mus musculus OX=10090 GN=Serpina3a PE=1 SV=2, Mus_musculus_sp_Q8BYY9_SPA3B_MOUSE sp_Q8BYY9_SPA3B_MOUSE Serine protease inhibitor A3B OS=Mus musculus OX=10090 GN=Serpina3b PE=2 SV=1, Mus_musculus_sp_Q06770_CBG_MOUSE sp_Q06770_CBG_MOUSE Corticosteroid-binding globulin OS=Mus musculus OX=10090 GN=Serpina6 PE=1 SV=1, Mus_musculus_sp_P49182_HEP2_MOUSE sp_P49182_HEP2_MOUSE Heparin cofactor 2 OS=Mus musculus OX=10090 GN=Serpind1 PE=1 SV=1, Mus_musculus_sp_P97290_IC1_MOUSE sp_P97290_IC1_MOUSE Plasma protease C1 inhibitor OS=Mus musculus OX=10090 GN=Serping1 PE=1 SV=3, Mus_musculus_sp_Q61247_A2AP_MOUSE sp_Q61247_A2AP_MOUSE Alpha-2-antiplasmin OS=Mus musculus OX=10090 GN=Serpinf2 PE=1 SV=1	Pleurobrachia_bachei_sb_2667785_ sb_2667785_, Pleurobrachia_bachei_sb_2652454_ sb_2652454_, Pleurobrachia_bachei_sb_2657074_ sb_2657074_, Pleurobrachia_bachei_sb_2648544_ sb_2648544_
OG0000019	Mus_musculus_sp_Q9Z0J7_GDF15_MOUSE sp_Q9Z0J7_GDF15_MOUSE Growth_differentiation factor 15 OS=Mus musculus OX=10090 GN=Gdf15 PE=1 SV=2	Pleurobrachia_bachei_sb_2656361_ sb_2656361_
OG0000019	Mus_musculus_sp_O08689_GDF8_MOUSE sp_O08689_GDF8_MOUSE Growth_differentiation factor 8 OS=Mus musculus OX=10090 GN=Mstn PE=1 SV=1	Pleurobrachia_bachei_sb_2666226_ sb_2666226_
OG0000019	Mus_musculus_sp_P34821_BMP8A_MOUSE sp_P34821_BMP8A_MOUSE Bone morphogenetic protein 8A OS=Mus musculus OX=10090 GN=Bmp8a PE=2 SV=1, Mus_musculus_sp_P49003_BMP5_MOUSE sp_P49003_BMP5_MOUSE Bone morphogenetic protein 5 OS=Mus musculus OX=10090 GN=Bmp5 PE=2 SV=1, Mus_musculus_sp_P49003_BMP5_MOUSE sp_P49003_BMP5_MOUSE Bone morphogenetic protein 5 OS=Mus musculus OX=10090 GN=Bmp5 PE=2 SV=1, Mus_musculus_sp_P20722_BMP6_MOUSE sp_P20722_BMP6_MOUSE Bone morphogenetic protein 6 OS=Mus musculus OX=10090 GN=Bmp6 PE=1 SV=2, Mus_musculus_sp_P23359_BMP7_MOUSE sp_P23359_BMP7_MOUSE Bone morphogenetic protein 7 OS=Mus musculus OX=10090 GN=Bmp7 PE=1 SV=2, Mus_musculus_sp_P21274_BMP2_MOUSE sp_P21274_BMP2_MOUSE Bone morphogenetic protein 2 OS=Mus musculus OX=10090 GN=Bmp2 PE=1 SV=3, Mus_musculus_sp_P43028_GDF6_MOUSE sp_P43028_GDF6_MOUSE Growth_differentiation factor 6 OS=Mus musculus OX=10090 GN=Gdf6 PE=2 SV=2, Mus_musculus_sp_P43027_GDF5_MOUSE sp_P43027_GDF5_MOUSE Growth_differentiation factor 5 OS=Mus musculus OX=10090 GN=Gdf5 PE=1 SV=2, Mus_musculus_sp_P43029_GDF7_MOUSE sp_P43029_GDF7_MOUSE Growth_differentiation factor 7 OS=Mus musculus OX=10090 GN=Gdf7 PE=2 SV=2, Mus_musculus_sp_Q8BHE5_BMP3_MOUSE sp_Q8BHE5_BMP3_MOUSE Bone morphogenetic protein 3 OS=Mus musculus OX=10090 GN=Bmp3 PE=1 SV=1, Mus_musculus_sp_P97737_GDF10_MOUSE sp_P97737_GDF10_MOUSE Growth_differentiation factor 10 OS=Mus musculus OX=10090 GN=Gdf10 PE=1 SV=2, Mus_musculus_sp_P20863_GDF1_MOUSE sp_P20863_GDF1_MOUSE Embryonic growth_differentiation factor 1 OS=Mus musculus OX=10090 GN=Gdf1 PE=2 SV=2, Mus_musculus_sp_Q07104_GDF3_MOUSE sp_Q07104_GDF3_MOUSE Growth_differentiation factor 3 OS=Mus musculus OX=10090 GN=Gdf3 PE=1 SV=2, Mus_musculus_sp_Q9Z0L4_BMP15_MOUSE sp_Q9Z0L4_BMP15_MOUSE Bone morphogenetic protein 15 OS=Mus musculus OX=10090 GN=Bmp15 PE=2 SV=1, Mus_musculus_sp_P43021_NODAL_MOUSE sp_P43021_NODAL_MOUSE Nodal OS=Mus musculus OX=10090 GN=Nodal PE=2 SV=2	Pleurobrachia_bachei_sb_2641584_ sb_2641584_
OG0000021	Mus_musculus_sp_P01132_EGF_MOUSE sp_P01132_EGF_MOUSE Pro-epidermal growth factor OS=Mus musculus OX=10090 GN=Egf PE=1 SV=2	Pleurobrachia_bachei_sb_2653712_ sb_2653712_, Pleurobrachia_bachei_sb_2658415_ sb_2658415_, Pleurobrachia_bachei_sb_2656801_ sb_2656801_
OG0000022	Mus_musculus_sp_P48036_ANXA5_MOUSE sp_P48036_ANXA5_MOUSE Annexin A5 OS=Mus musculus OX=10090 GN=Anxa5 PE=1 SV=1, Mus_musculus_sp_P14824_ANXA6_MOUSE sp_P14824_ANXA6_MOUSE Annexin A6 OS=Mus musculus OX=10090 GN=Anxa6 PE=1 SV=3, Mus_musculus_sp_O35640_ANXA8_MOUSE sp_O35640_ANXA8_MOUSE Annexin A8 OS=Mus musculus OX=10090 GN=Anxa8 PE=1 SV=2, Mus_musculus_sp_P07356_ANXA2_MOUSE sp_P07356_ANXA2_MOUSE Annexin A2 OS=Mus musculus OX=10090 GN=Anxa2 PE=1 SV=2, Mus_musculus_sp_Q9JHQ0_ANXA9_MOUSE sp_Q9JHQ0_ANXA9_MOUSE Annexin A9 OS=Mus musculus OX=10090 GN=Anxa9 PE=2 SV=2, Mus_musculus_sp_P10107_ANXA1_MOUSE sp_P10107_ANXA1_MOUSE Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2, Mus_musculus_sp_P97429_ANXA4_MOUSE sp_P97429_ANXA4_MOUSE Annexin A4 OS=Mus musculus OX=10090 GN=Anxa4 PE=1 SV=4, Mus_musculus_sp_P97384_ANX11_MOUSE sp_P97384_ANX11_MOUSE Annexin A11 OS=Mus musculus OX=10090 GN=Anxa11 PE=1 SV=2, Mus_musculus_sp_O35639_ANXA3_MOUSE sp_O35639_ANXA3_MOUSE Annexin A3 OS=Mus musculus OX=10090 GN=Anxa3 PE=1 SV=4	Pleurobrachia_bachei_sb_2639090_ sb_2639090_, Pleurobrachia_bachei_sb_2646697_ sb_2646697_, Pleurobrachia_bachei_sb_2657768_ sb_2657768_, Pleurobrachia_bachei_sb_2659001_ sb_2659001_
OG0000022	Mus_musculus_sp_Q07076_ANXA7_MOUSE sp_Q07076_ANXA7_MOUSE Annexin A7 OS=Mus musculus OX=10090 GN=Anxa7 PE=1 SV=2, Mus_musculus_sp_Q99JG3_ANX13_MOUSE sp_Q99JG3_ANX13_MOUSE Annexin A13 OS=Mus musculus OX=10090 GN=Anxa13 PE=1 SV=3	Pleurobrachia_bachei_sb_2664400_ sb_2664400_, Pleurobrachia_bachei_sb_2669029_ sb_2669029_, Pleurobrachia_bachei_sb_2669026_ sb_2669026_
OG0000024	Mus_musculus_sp_Q8R0S6_WFKN1_MOUSE sp_Q8R0S6_WFKN1_MOUSE WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 OS=Mus musculus OX=10090 GN=Wfikkn1 PE=2 SV=2	Pleurobrachia_bachei_sb_2659893_ sb_2659893_
OG0000030	Mus_musculus_sp_Q9Z0F8_ADA17_MOUSE sp_Q9Z0F8_ADA17_MOUSE Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus OX=10090 GN=Adam17 PE=1 SV=3	Pleurobrachia_bachei_sb_2669546_ sb_2669546_, Pleurobrachia_bachei_sb_2648059_ sb_2648059_, Pleurobrachia_bachei_sb_2657674_ sb_2657674_, Pleurobrachia_bachei_sb_2655687_ sb_2655687_
OG0000030	Mus_musculus_sp_O35598_ADA10_MOUSE sp_O35598_ADA10_MOUSE Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2	Pleurobrachia_bachei_sb_2643788_ sb_2643788_, Pleurobrachia_bachei_sb_2660324_ sb_2660324_, Pleurobrachia_bachei_sb_2642194_ sb_2642194_
OG0000036	Mus_musculus_sp_Q9QXT5_EGFL7_MOUSE sp_Q9QXT5_EGFL7_MOUSE Epidermal growth factor-like protein 7 OS=Mus musculus OX=10090 GN=Egfl7 PE=2 SV=2, Mus_musculus_sp_Q9JJZ5_EGFL6_MOUSE sp_Q9JJZ5_EGFL6_MOUSE Epidermal growth factor-like protein 6 OS=Mus musculus OX=10090 GN=Egfl6 PE=1 SV=1, Mus_musculus_sp_Q91V88_NPNT_MOUSE sp_Q91V88_NPNT_MOUSE Nephronectin OS=Mus musculus OX=10090 GN=Npnt PE=1 SV=1, Mus_musculus_sp_Q91V88_NPNT_MOUSE sp_Q91V88_NPNT_MOUSE Nephronectin OS=Mus musculus OX=10090 GN=Npnt PE=1 SV=1, Mus_musculus_sp_Q91V88_NPNT_MOUSE sp_Q91V88_NPNT_MOUSE Nephronectin OS=Mus musculus OX=10090 GN=Npnt PE=1 SV=1, Mus_musculus_sp_Q91V88_NPNT_MOUSE sp_Q91V88_NPNT_MOUSE Nephronectin OS=Mus musculus OX=10090 GN=Npnt PE=1 SV=1	Pleurobrachia_bachei_sb_2653653_ sb_2653653_, Pleurobrachia_bachei_sb_2644258_ sb_2644258_
OG0000041	Mus_musculus_sp_Q99KC8_VMA5A_MOUSE sp_Q99KC8_VMA5A_MOUSE von Willebrand factor A domain-containing protein 5A OS=Mus musculus OX=10090 GN=Vwa5a PE=1 SV=2, Mus_musculus_sp_A9Z1V5_VW5B1_MOUSE sp_A9Z1V5_VW5B1_MOUSE von Willebrand factor A domain-containing protein 5B1 OS=Mus musculus OX=10090 GN=Vwa5b1 PE=2 SV=1	Pleurobrachia_bachei_sb_2664183_ sb_2664183_
OG0000044	Mus_musculus_sp_P21981_TGM2_MOUSE sp_P21981_TGM2_MOUSE Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus OX=10090 GN=Tgm2 PE=1 SV=4, Mus_musculus_sp_Q08189_TGM3_MOUSE sp_Q08189_TGM3_MOUSE Protein-glutamine gamma-glutamyltransferase E OS=Mus musculus OX=10090 GN=Tgm3 PE=1 SV=2, Mus_musculus_sp_Q9D7I9_TGM5_MOUSE sp_Q9D7I9_TGM5_MOUSE Protein-glutamine gamma-glutamyltransferase 5 OS=Mus musculus OX=10090 GN=Tgm5 PE=2 SV=3, Mus_musculus_sp_Q8BZH1_TGM4_MOUSE sp_Q8BZH1_TGM4_MOUSE Protein-glutamine gamma-glutamyltransferase 4 OS=Mus musculus OX=10090 GN=Tgm4 PE=1 SV=2, Mus_musculus_sp_Q8BH61_F13A_MOUSE sp_Q8BH61_F13A_MOUSE Coagulation factor XIII A chain OS=Mus musculus OX=10090 GN=F13a1 PE=1 SV=3, Mus_musculus_sp_Q9JLF6_TGM1_MOUSE sp_Q9JLF6_TGM1_MOUSE Protein-glutamine gamma-glutamyltransferase K OS=Mus musculus OX=10090 GN=Tgm1 PE=1 SV=2	Pleurobrachia_bachei_sb_2650976_ sb_2650976_, Pleurobrachia_bachei_sb_2661328_ sb_2661328_
OG0000045	Mus_musculus_sp_Q61789_LAMA3_MOUSE sp_Q61789_LAMA3_MOUSE Laminin subunit alpha-3 OS=Mus musculus OX=10090 GN=Lama3 PE=1 SV=4, Mus_musculus_sp_Q61001_LAMA5_MOUSE sp_Q61001_LAMA5_MOUSE Laminin subunit alpha-5 OS=Mus musculus OX=10090 GN=Lama5 PE=1 SV=4, Mus_musculus_sp_P19137_LAMA1_MOUSE sp_P19137_LAMA1_MOUSE Laminin subunit alpha-1 OS=Mus musculus OX=10090 GN=Lama1 PE=1 SV=2, Mus_musculus_sp_Q60675_LAMA2_MOUSE sp_Q60675_LAMA2_MOUSE Laminin subunit alpha-2 OS=Mus musculus OX=10090 GN=Lama2 PE=1 SV=2	Pleurobrachia_bachei_sb_2652096_ sb_2652096_, Pleurobrachia_bachei_sb_2652094_ sb_2652094_
OG0000045	Mus_musculus_sp_P97927_LAMA4_MOUSE sp_P97927_LAMA4_MOUSE Laminin subunit alpha-4 OS=Mus musculus OX=10090 GN=Lama4 PE=1 SV=2	Pleurobrachia_bachei_sb_2660985_ sb_2660985_
OG0000048	Mus_musculus_sp_Q99MQ4_ASPN_MOUSE sp_Q99MQ4_ASPN_MOUSE Asporin OS=Mus musculus OX=10090 GN=Aspn PE=1 SV=1, Mus_musculus_sp_P28654_PGS2_MOUSE sp_P28654_PGS2_MOUSE Decorin OS=Mus musculus OX=10090 GN=Dcn PE=1 SV=1, Mus_musculus_sp_P28653_PGS1_MOUSE sp_P28653_PGS1_MOUSE Biglycan OS=Mus musculus OX=10090 GN=Bgn PE=1 SV=1, Mus_musculus_sp_Q9CQ76_NEPN_MOUSE sp_Q9CQ76_NEPN_MOUSE Nephrocan OS=Mus musculus OX=10090 GN=Nepn PE=1 SV=1, Mus_musculus_sp_Q6P3Y9_PONL1_MOUSE sp_Q6P3Y9_PONL1_MOUSE Podocan-like protein 1 OS=Mus musculus OX=10090 GN=Podnl1 PE=1 SV=3, Mus_musculus_sp_Q7TQ62_PODN_MOUSE sp_Q7TQ62_PODN_MOUSE Podocan OS=Mus musculus OX=10090 GN=Podn PE=2 SV=1, Mus_musculus_sp_P50608_FMOD_MOUSE sp_P50608_FMOD_MOUSE Fibromodulin OS=Mus musculus OX=10090 GN=Fmod PE=2 SV=1, Mus_musculus_sp_P51885_LUM_MOUSE sp_P51885_LUM_MOUSE Lumican OS=Mus musculus OX=10090 GN=Lum PE=1 SV=2, Mus_musculus_sp_O35103_OMD_MOUSE sp_O35103_OMD_MOUSE Osteomodulin OS=Mus musculus OX=10090 GN=Omd PE=2 SV=1, Mus_musculus_sp_Q9JK53_PRELP_MOUSE sp_Q9JK53_PRELP_MOUSE Prolargin OS=Mus musculus OX=10090 GN=Prelp PE=1 SV=2, Mus_musculus_sp_Q5FW85_ECM2_MOUSE sp_Q5FW85_ECM2_MOUSE Extracellular matrix protein 2 OS=Mus musculus OX=10090 GN=Ecm2 PE=1 SV=1	Pleurobrachia_bachei_sb_2663997_ sb_2663997_
