Orthogroup	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000003	Mus_musculus_sp_Q3SXB8_COL11_MOUSE sp_Q3SXB8_COL11_MOUSE Collectin-11 OS=Mus musculus OX=10090 GN=Colec11 PE=2 SV=2, Mus_musculus_sp_P35242_SFTPA_MOUSE sp_P35242_SFTPA_MOUSE Pulmonary surfactant-associated protein A OS=Mus musculus OX=10090 GN=Sftpa1 PE=1 SV=1, Mus_musculus_sp_P50404_SFTPD_MOUSE sp_P50404_SFTPD_MOUSE Pulmonary surfactant-associated protein D OS=Mus musculus OX=10090 GN=Sftpd PE=1 SV=1, Mus_musculus_sp_P41317_MBL2_MOUSE sp_P41317_MBL2_MOUSE Mannose-binding protein C OS=Mus musculus OX=10090 GN=Mbl2 PE=1 SV=2, Mus_musculus_sp_P39039_MBL1_MOUSE sp_P39039_MBL1_MOUSE Mannose-binding protein A OS=Mus musculus OX=10090 GN=Mbl1 PE=1 SV=1	Stylophora_pistillata_Spis4789 Spis4789 SpisGene4789, Stylophora_pistillata_Spis5031 Spis5031 SpisGene5031
OG0000003	Mus_musculus_sp_Q8K4Q8_COL12_MOUSE sp_Q8K4Q8_COL12_MOUSE Collectin-12 OS=Mus musculus OX=10090 GN=Colec12 PE=1 SV=1, Mus_musculus_sp_P49300_CLC10_MOUSE sp_P49300_CLC10_MOUSE C-type lectin domain family 10 member A OS=Mus musculus OX=10090 GN=Clec10a PE=1 SV=1, Mus_musculus_sp_P70194_CLC4F_MOUSE sp_P70194_CLC4F_MOUSE C-type lectin domain family 4 member F OS=Mus musculus OX=10090 GN=Clec4f PE=1 SV=1, Mus_musculus_sp_Q91ZW8_C209D_MOUSE sp_Q91ZW8_C209D_MOUSE CD209 antigen-like protein D OS=Mus musculus OX=10090 GN=Cd209d PE=2 SV=1, Mus_musculus_sp_Q8CJ91_C209B_MOUSE sp_Q8CJ91_C209B_MOUSE CD209 antigen-like protein B OS=Mus musculus OX=10090 GN=Cd209b PE=1 SV=2	Stylophora_pistillata_Spis9880 Spis9880 SpisGene9880, Stylophora_pistillata_Spis4153.t1 Spis4153.t1 SpisGene4153
OG0000003	Mus_musculus_sp_Q9D8G5_REG4_MOUSE sp_Q9D8G5_REG4_MOUSE Regenerating islet-derived protein 4 OS=Mus musculus OX=10090 GN=Reg4 PE=2 SV=1, Mus_musculus_sp_O09049_REG3G_MOUSE sp_O09049_REG3G_MOUSE Regenerating islet-derived protein 3-gamma OS=Mus musculus OX=10090 GN=Reg3g PE=1 SV=1, Mus_musculus_sp_P43137_LIT1_MOUSE sp_P43137_LIT1_MOUSE Lithostathine-1 OS=Mus musculus OX=10090 GN=Reg1 PE=1 SV=1, Mus_musculus_sp_Q08731_LIT2_MOUSE sp_Q08731_LIT2_MOUSE Lithostathine-2 OS=Mus musculus OX=10090 GN=Reg2 PE=1 SV=1	Stylophora_pistillata_Spis6052 Spis6052 SpisGene6052
OG0000004	Mus_musculus_sp_Q8VHI5_VITRN_MOUSE sp_Q8VHI5_VITRN_MOUSE Vitrin OS=Mus musculus OX=10090 GN=Vit PE=1 SV=2, Mus_musculus_sp_Q62507_COCH_MOUSE sp_Q62507_COCH_MOUSE Cochlin OS=Mus musculus OX=10090 GN=Coch PE=1 SV=2	Stylophora_pistillata_Spis23738 Spis23738 SpisGene23738, Stylophora_pistillata_Spis5287 Spis5287 SpisGene5287, Stylophora_pistillata_Spis5541 Spis5541 SpisGene5541, Stylophora_pistillata_Spis16168 Spis16168 SpisGene16168, Stylophora_pistillata_Spis11197 Spis11197 SpisGene11197, Stylophora_pistillata_Spis6567 Spis6567 SpisGene6567, Stylophora_pistillata_Spis6569 Spis6569 SpisGene6569, Stylophora_pistillata_Spis16235 Spis16235 SpisGene16235
OG0000005	Mus_musculus_sp_Q6HA09_ASTL_MOUSE sp_Q6HA09_ASTL_MOUSE Astacin-like metalloendopeptidase OS=Mus musculus OX=10090 GN=Astl PE=1 SV=3	Stylophora_pistillata_Spis797 Spis797 SpisGene797, Stylophora_pistillata_Spis2128 Spis2128 SpisGene2128, Stylophora_pistillata_Spis2115 Spis2115 SpisGene2115, Stylophora_pistillata_Spis2327 Spis2327 SpisGene2327, Stylophora_pistillata_Spis13923 Spis13923 SpisGene13923, Stylophora_pistillata_Spis1719 Spis1719 SpisGene1719, Stylophora_pistillata_Spis16896 Spis16896 SpisGene16896, Stylophora_pistillata_Spis16898 Spis16898 SpisGene16898, Stylophora_pistillata_Spis3143 Spis3143 SpisGene3143, Stylophora_pistillata_Spis4342 Spis4342 SpisGene4342, Stylophora_pistillata_Spis14627 Spis14627 SpisGene14627
OG0000006	Mus_musculus_sp_Q07968_F13B_MOUSE sp_Q07968_F13B_MOUSE Coagulation factor XIII B chain OS=Mus musculus OX=10090 GN=F13b PE=1 SV=2	Stylophora_pistillata_Spis1220 Spis1220 SpisGene1220, Stylophora_pistillata_Spis1242 Spis1242 SpisGene1242, Stylophora_pistillata_Spis1227 Spis1227 SpisGene1227, Stylophora_pistillata_Spis1225.t1 Spis1225.t1 SpisGene1225, Stylophora_pistillata_Spis1216 Spis1216 SpisGene1216, Stylophora_pistillata_Spis16437 Spis16437 SpisGene16437
OG0000006	Mus_musculus_sp_Q60736_ZP3R_MOUSE sp_Q60736_ZP3R_MOUSE Zona pellucida sperm-binding protein 3 receptor OS=Mus musculus OX=10090 GN=Zp3r PE=1 SV=1	Stylophora_pistillata_Spis1234.t1 Spis1234.t1 SpisGene1234
OG0000006	Mus_musculus_sp_Q8R054_SRPX2_MOUSE sp_Q8R054_SRPX2_MOUSE Sushi repeat-containing protein SRPX2 OS=Mus musculus OX=10090 GN=Srpx2 PE=1 SV=2, Mus_musculus_sp_Q9R0M3_SRPX_MOUSE sp_Q9R0M3_SRPX_MOUSE Sushi-repeat-containing protein SRPX OS=Mus musculus OX=10090 GN=Srpx PE=2 SV=1	Stylophora_pistillata_Spis10997 Spis10997 SpisGene10997, Stylophora_pistillata_Spis12361 Spis12361 SpisGene12361, Stylophora_pistillata_Spis18333 Spis18333 SpisGene18333, Stylophora_pistillata_Spis12364 Spis12364 SpisGene12364, Stylophora_pistillata_Spis12358 Spis12358 SpisGene12358, Stylophora_pistillata_Spis18334 Spis18334 SpisGene18334, Stylophora_pistillata_Spis21178 Spis21178 SpisGene21178, Stylophora_pistillata_Spis12362 Spis12362 SpisGene12362, Stylophora_pistillata_Spis12355 Spis12355 SpisGene12355, Stylophora_pistillata_Spis18329 Spis18329 SpisGene18329, Stylophora_pistillata_Spis12371 Spis12371 SpisGene12371, Stylophora_pistillata_Spis12372 Spis12372 SpisGene12372, Stylophora_pistillata_Spis18332 Spis18332 SpisGene18332, Stylophora_pistillata_Spis12360 Spis12360 SpisGene12360, Stylophora_pistillata_Spis12356 Spis12356 SpisGene12356, Stylophora_pistillata_Spis12363 Spis12363 SpisGene12363, Stylophora_pistillata_Spis12365 Spis12365 SpisGene12365, Stylophora_pistillata_Spis12370 Spis12370 SpisGene12370, Stylophora_pistillata_Spis10998 Spis10998 SpisGene10998
OG0000007	Mus_musculus_sp_Q8JZM8_MUC4_MOUSE sp_Q8JZM8_MUC4_MOUSE Mucin-4 OS=Mus musculus OX=10090 GN=Muc4 PE=2 SV=2	Stylophora_pistillata_Spis19279 Spis19279 SpisGene19279, Stylophora_pistillata_Spis23194 Spis23194 SpisGene23194, Stylophora_pistillata_Spis18040 Spis18040 SpisGene18040, Stylophora_pistillata_Spis19874 Spis19874 SpisGene19874, Stylophora_pistillata_Spis18038 Spis18038 SpisGene18038, Stylophora_pistillata_Spis18037 Spis18037 SpisGene18037, Stylophora_pistillata_Spis18041 Spis18041 SpisGene18041, Stylophora_pistillata_Spis23530 Spis23530 SpisGene23530, Stylophora_pistillata_Spis2770 Spis2770 SpisGene2770, Stylophora_pistillata_Spis2764 Spis2764 SpisGene2764, Stylophora_pistillata_Spis16998 Spis16998 SpisGene16998, Stylophora_pistillata_Spis16996 Spis16996 SpisGene16996, Stylophora_pistillata_Spis16440 Spis16440 SpisGene16440, Stylophora_pistillata_Spis16818 Spis16818 SpisGene16818, Stylophora_pistillata_Spis23200 Spis23200 SpisGene23200
OG0000010	Mus_musculus_sp_A2AJ76_HMCN2_MOUSE sp_A2AJ76_HMCN2_MOUSE Hemicentin-2 OS=Mus musculus OX=10090 GN=Hmcn2 PE=1 SV=1	Stylophora_pistillata_Spis4830 Spis4830 SpisGene4830
OG0000010	Mus_musculus_sp_Q3V1M1_IGS10_MOUSE sp_Q3V1M1_IGS10_MOUSE Immunoglobulin superfamily member 10 OS=Mus musculus OX=10090 GN=Igsf10 PE=2 SV=2	Stylophora_pistillata_Spis19541 Spis19541 SpisGene19541
OG0000010	Mus_musculus_sp_Q05793_PGBM_MOUSE sp_Q05793_PGBM_MOUSE Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1	Stylophora_pistillata_Spis8363.t1 Spis8363.t1 SpisGene8363
OG0000010	Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1, Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1	Stylophora_pistillata_Spis8579 Spis8579 SpisGene8579
OG0000011	Mus_musculus_sp_P19221_THRB_MOUSE sp_P19221_THRB_MOUSE Prothrombin OS=Mus musculus OX=10090 GN=F2 PE=1 SV=1	Stylophora_pistillata_Spis4945 Spis4945 SpisGene4945
OG0000012	Mus_musculus_sp_Q8CG65_SSPO_MOUSE sp_Q8CG65_SSPO_MOUSE SCO-spondin OS=Mus musculus OX=10090 GN=Sspo PE=2 SV=2	Stylophora_pistillata_Spis6613 Spis6613 SpisGene6613
OG0000012	Mus_musculus_sp_O08523_TECTA_MOUSE sp_O08523_TECTA_MOUSE Alpha-tectorin OS=Mus musculus OX=10090 GN=Tecta PE=1 SV=2, Mus_musculus_sp_Q8CJ69_BMPER_MOUSE sp_Q8CJ69_BMPER_MOUSE BMP-binding endothelial regulator protein OS=Mus musculus OX=10090 GN=Bmper PE=1 SV=1, Mus_musculus_sp_Q3U492_KCP_MOUSE sp_Q3U492_KCP_MOUSE Kielin_chordin-like protein OS=Mus musculus OX=10090 GN=Kcp PE=1 SV=2, Mus_musculus_sp_Q3U515_VWCE_MOUSE sp_Q3U515_VWCE_MOUSE von Willebrand factor C and EGF domain-containing protein OS=Mus musculus OX=10090 GN=Vwce PE=2 SV=2	Stylophora_pistillata_Spis11321.t1 Spis11321.t1 SpisGene11321
OG0000013	Mus_musculus_sp_P04426_WNT1_MOUSE sp_P04426_WNT1_MOUSE Proto-oncogene Wnt-1 OS=Mus musculus OX=10090 GN=Wnt1 PE=1 SV=1	Stylophora_pistillata_Spis10385 Spis10385 SpisGene10385
OG0000013	Mus_musculus_sp_P17553_WNT3_MOUSE sp_P17553_WNT3_MOUSE Proto-oncogene Wnt-3 OS=Mus musculus OX=10090 GN=Wnt3 PE=1 SV=1, Mus_musculus_sp_P27467_WNT3A_MOUSE sp_P27467_WNT3A_MOUSE Protein Wnt-3a OS=Mus musculus OX=10090 GN=Wnt3a PE=1 SV=1	Stylophora_pistillata_Spis10363 Spis10363 SpisGene10363
OG0000013	Mus_musculus_sp_P22724_WNT4_MOUSE sp_P22724_WNT4_MOUSE Protein Wnt-4 OS=Mus musculus OX=10090 GN=Wnt4 PE=1 SV=1	Stylophora_pistillata_Spis16312 Spis16312 SpisGene16312
OG0000013	Mus_musculus_sp_P22726_WNT5B_MOUSE sp_P22726_WNT5B_MOUSE Protein Wnt-5b OS=Mus musculus OX=10090 GN=Wnt5b PE=1 SV=2, Mus_musculus_sp_P22725_WNT5A_MOUSE sp_P22725_WNT5A_MOUSE Protein Wnt-5a OS=Mus musculus OX=10090 GN=Wnt5a PE=1 SV=2	Stylophora_pistillata_Spis3866 Spis3866 SpisGene3866, Stylophora_pistillata_Spis3867 Spis3867 SpisGene3867
OG0000013	Mus_musculus_sp_P48615_WNT11_MOUSE sp_P48615_WNT11_MOUSE Protein Wnt-11 OS=Mus musculus OX=10090 GN=Wnt11 PE=2 SV=1	Stylophora_pistillata_Spis1461.t1 Spis1461.t1 SpisGene1461
OG0000013	Mus_musculus_sp_P28047_WNT7B_MOUSE sp_P28047_WNT7B_MOUSE Protein Wnt-7b OS=Mus musculus OX=10090 GN=Wnt7b PE=1 SV=1	Stylophora_pistillata_Spis3868.t1 Spis3868.t1 SpisGene3868
OG0000013	Mus_musculus_sp_P21552_WNT2_MOUSE sp_P21552_WNT2_MOUSE Protein Wnt-2 OS=Mus musculus OX=10090 GN=Wnt2 PE=2 SV=2, Mus_musculus_sp_O70283_WNT2B_MOUSE sp_O70283_WNT2B_MOUSE Protein Wnt-2b OS=Mus musculus OX=10090 GN=Wnt2b PE=2 SV=3	Stylophora_pistillata_Spis825 Spis825 SpisGene825, Stylophora_pistillata_Spis824 Spis824 SpisGene824, Stylophora_pistillata_Spis826 Spis826 SpisGene826
OG0000013	Mus_musculus_sp_Q64527_WNT8A_MOUSE sp_Q64527_WNT8A_MOUSE Protein Wnt-8a OS=Mus musculus OX=10090 GN=Wnt8a PE=2 SV=2	Stylophora_pistillata_Spis18607.t1 Spis18607.t1 SpisGene18607, Stylophora_pistillata_Spis727 Spis727 SpisGene727, Stylophora_pistillata_Spis726 Spis726 SpisGene726, Stylophora_pistillata_Spis18606 Spis18606 SpisGene18606
OG0000013	Mus_musculus_sp_P48614_WN10B_MOUSE sp_P48614_WN10B_MOUSE Protein Wnt-10b OS=Mus musculus OX=10090 GN=Wnt10b PE=2 SV=1, Mus_musculus_sp_P70701_WN10A_MOUSE sp_P70701_WN10A_MOUSE Protein Wnt-10a OS=Mus musculus OX=10090 GN=Wnt10a PE=2 SV=1	Stylophora_pistillata_Spis10383 Spis10383 SpisGene10383
OG0000014	Mus_musculus_sp_Q80T21_ATL4_MOUSE sp_Q80T21_ATL4_MOUSE ADAMTS-like protein 4 OS=Mus musculus OX=10090 GN=Adamtsl4 PE=2 SV=1, Mus_musculus_sp_Q3UTY6_THSD4_MOUSE sp_Q3UTY6_THSD4_MOUSE Thrombospondin type-1 domain-containing protein 4 OS=Mus musculus OX=10090 GN=Thsd4 PE=1 SV=2	Stylophora_pistillata_Spis347 Spis347 SpisGene347
OG0000014	Mus_musculus_sp_Q811B3_ATS12_MOUSE sp_Q811B3_ATS12_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Mus musculus OX=10090 GN=Adamts12 PE=2 SV=2	Stylophora_pistillata_Spis18290.t1 Spis18290.t1 SpisGene18290
OG0000014	Mus_musculus_sp_Q9EPX2_PPN_MOUSE sp_Q9EPX2_PPN_MOUSE Papilin OS=Mus musculus OX=10090 GN=Papln PE=2 SV=2	Stylophora_pistillata_Spis2407 Spis2407 SpisGene2407
OG0000015	Mus_musculus_sp_O08524_TECTB_MOUSE sp_O08524_TECTB_MOUSE Beta-tectorin OS=Mus musculus OX=10090 GN=Tectb PE=1 SV=2	Stylophora_pistillata_Spis12670.t1 Spis12670.t1 SpisGene12670, Stylophora_pistillata_Spis12671 Spis12671 SpisGene12671, Stylophora_pistillata_Spis12669 Spis12669 SpisGene12669
OG0000017	Mus_musculus_sp_P32261_ANT3_MOUSE sp_P32261_ANT3_MOUSE Antithrombin-III OS=Mus musculus OX=10090 GN=Serpinc1 PE=1 SV=1, Mus_musculus_sp_Q5SV42_ILEUC_MOUSE sp_Q5SV42_ILEUC_MOUSE Leukocyte elastase inhibitor C OS=Mus musculus OX=10090 GN=Serpinb1c PE=1 SV=1, Mus_musculus_sp_Q8VHP7_ILEUB_MOUSE sp_Q8VHP7_ILEUB_MOUSE Leukocyte elastase inhibitor B OS=Mus musculus OX=10090 GN=Serpinb1b PE=1 SV=1, Mus_musculus_sp_Q9D154_ILEUA_MOUSE sp_Q9D154_ILEUA_MOUSE Leukocyte elastase inhibitor A OS=Mus musculus OX=10090 GN=Serpinb1a PE=1 SV=1, Mus_musculus_sp_O08800_SPB8_MOUSE sp_O08800_SPB8_MOUSE Serpin B8 OS=Mus musculus OX=10090 GN=Serpinb8 PE=1 SV=2, Mus_musculus_sp_P70124_SPB5_MOUSE sp_P70124_SPB5_MOUSE Serpin B5 OS=Mus musculus OX=10090 GN=Serpinb5 PE=1 SV=1, Mus_musculus_sp_P12388_PAI2_MOUSE sp_P12388_PAI2_MOUSE Plasminogen activator inhibitor 2_ macrophage OS=Mus musculus OX=10090 GN=Serpinb2 PE=1 SV=1, Mus_musculus_sp_Q9D7P9_SPB12_MOUSE sp_Q9D7P9_SPB12_MOUSE Serpin B12 OS=Mus musculus OX=10090 GN=Serpinb12 PE=2 SV=1, Mus_musculus_sp_Q8CDC0_SPB13_MOUSE sp_Q8CDC0_SPB13_MOUSE Serpin B13 OS=Mus musculus OX=10090 GN=Serpinb13 PE=2 SV=2, Mus_musculus_sp_Q9CQV3_SPB11_MOUSE sp_Q9CQV3_SPB11_MOUSE Serpin B11 OS=Mus musculus OX=10090 GN=Serpinb11 PE=2 SV=1, Mus_musculus_sp_Q9D695_SPB7_MOUSE sp_Q9D695_SPB7_MOUSE Serpin B7 OS=Mus musculus OX=10090 GN=Serpinb7 PE=2 SV=1	Stylophora_pistillata_Spis1531 Spis1531 SpisGene1531, Stylophora_pistillata_Spis5283 Spis5283 SpisGene5283, Stylophora_pistillata_Spis1532 Spis1532 SpisGene1532
OG0000018	Mus_musculus_sp_Q924C6_LOXL4_MOUSE sp_Q924C6_LOXL4_MOUSE Lysyl oxidase homolog 4 OS=Mus musculus OX=10090 GN=Loxl4 PE=2 SV=2, Mus_musculus_sp_Q9Z175_LOXL3_MOUSE sp_Q9Z175_LOXL3_MOUSE Lysyl oxidase homolog 3 OS=Mus musculus OX=10090 GN=Loxl3 PE=1 SV=2, Mus_musculus_sp_P58022_LOXL2_MOUSE sp_P58022_LOXL2_MOUSE Lysyl oxidase homolog 2 OS=Mus musculus OX=10090 GN=Loxl2 PE=1 SV=2	Stylophora_pistillata_Spis5446 Spis5446 SpisGene5446, Stylophora_pistillata_Spis5444 Spis5444 SpisGene5444, Stylophora_pistillata_Spis5445 Spis5445 SpisGene5445
OG0000018	Mus_musculus_sp_Q60997_DMBT1_MOUSE sp_Q60997_DMBT1_MOUSE Deleted in malignant brain tumors 1 protein OS=Mus musculus OX=10090 GN=Dmbt1 PE=1 SV=2	Stylophora_pistillata_Spis23534 Spis23534 SpisGene23534, Stylophora_pistillata_Spis15395 Spis15395 SpisGene15395
