Orthogroup	Chordata_Vertebrata_Mus_musculus	Chordata_Vertebrata_Coturnix_japonica
OG0000000	Mus_musculus_sp_Q8R1Q3_ANGL7_MOUSE sp_Q8R1Q3_ANGL7_MOUSE Angiopoietin-related protein 7 OS=Mus musculus OX=10090 GN=Angptl7 PE=2 SV=1	Coturnix_japonica_XP_015737920.1 angiopoietin-related protein 7 isoform X1 [Coturnix japonica]
OG0000000	Mus_musculus_sp_Q9WVH6_ANGP4_MOUSE sp_Q9WVH6_ANGP4_MOUSE Angiopoietin-4 OS=Mus musculus OX=10090 GN=Angpt4 PE=1 SV=1	Coturnix_japonica_XP_015737426.1 angiopoietin-4 [Coturnix japonica]
OG0000000	Mus_musculus_sp_O35608_ANGP2_MOUSE sp_O35608_ANGP2_MOUSE Angiopoietin-2 OS=Mus musculus OX=10090 GN=Angpt2 PE=2 SV=2	Coturnix_japonica_XP_015714782.1 angiopoietin-2 isoform X2 [Coturnix japonica]
OG0000000	Mus_musculus_sp_O08538_ANGP1_MOUSE sp_O08538_ANGP1_MOUSE Angiopoietin-1 OS=Mus musculus OX=10090 GN=Angpt1 PE=1 SV=2	Coturnix_japonica_XP_015711648.1 angiopoietin-1 [Coturnix japonica]
OG0000000	Mus_musculus_sp_Q9Z1P8_ANGL4_MOUSE sp_Q9Z1P8_ANGL4_MOUSE Angiopoietin-related protein 4 OS=Mus musculus OX=10090 GN=Angptl4 PE=1 SV=1	Coturnix_japonica_XP_015741945.1 angiopoietin-related protein 4 [Coturnix japonica]
OG0000000	Mus_musculus_sp_Q9R182_ANGL3_MOUSE sp_Q9R182_ANGL3_MOUSE Angiopoietin-related protein 3 OS=Mus musculus OX=10090 GN=Angptl3 PE=1 SV=1	Coturnix_japonica_XP_015726184.1 angiopoietin-related protein 3 [Coturnix japonica]
OG0000000	Mus_musculus_sp_P12804_FGL2_MOUSE sp_P12804_FGL2_MOUSE Fibroleukin OS=Mus musculus OX=10090 GN=Fgl2 PE=1 SV=1	Coturnix_japonica_XP_015738452.1 fibroleukin [Coturnix japonica]
OG0000001	Mus_musculus_sp_Q61092_LAMC2_MOUSE sp_Q61092_LAMC2_MOUSE Laminin subunit gamma-2 OS=Mus musculus OX=10090 GN=Lamc2 PE=1 SV=2	Coturnix_japonica_XP_015725071.1 laminin subunit gamma-2 [Coturnix japonica]
OG0000001	Mus_musculus_sp_Q9JI33_NET4_MOUSE sp_Q9JI33_NET4_MOUSE Netrin-4 OS=Mus musculus OX=10090 GN=Ntn4 PE=1 SV=2	Coturnix_japonica_XP_015714020.1 netrin-4 isoform X2 [Coturnix japonica]
OG0000001	Mus_musculus_sp_Q61087_LAMB3_MOUSE sp_Q61087_LAMB3_MOUSE Laminin subunit beta-3 OS=Mus musculus OX=10090 GN=Lamb3 PE=1 SV=2	Coturnix_japonica_XP_015740591.1 laminin subunit beta-3 [Coturnix japonica]
OG0000001	Mus_musculus_sp_Q61292_LAMB2_MOUSE sp_Q61292_LAMB2_MOUSE Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2	Coturnix_japonica_XP_015730671.1 laminin subunit beta-2 [Coturnix japonica]
OG0000001	Mus_musculus_sp_P02469_LAMB1_MOUSE sp_P02469_LAMB1_MOUSE Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=3	Coturnix_japonica_XP_015706984.1 laminin subunit beta-1 [Coturnix japonica]
OG0000001	Mus_musculus_sp_P11276_FINC_MOUSE sp_P11276_FINC_MOUSE Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=4	Coturnix_japonica_XP_015723463.1 PREDICTED_ fibronectin isoform X1 [Coturnix japonica]
OG0000001	Mus_musculus_sp_Q8R4F1_NTNG2_MOUSE sp_Q8R4F1_NTNG2_MOUSE Netrin-G2 OS=Mus musculus OX=10090 GN=Ntng2 PE=1 SV=2	Coturnix_japonica_XP_015734637.1 PREDICTED_ netrin-G2 isoform X3 [Coturnix japonica]
OG0000001	Mus_musculus_sp_O09118_NET1_MOUSE sp_O09118_NET1_MOUSE Netrin-1 OS=Mus musculus OX=10090 GN=Ntn1 PE=1 SV=3	Coturnix_japonica_XP_015735411.1 netrin-1 [Coturnix japonica]
OG0000001	Mus_musculus_sp_Q9R0B6_LAMC3_MOUSE sp_Q9R0B6_LAMC3_MOUSE Laminin subunit gamma-3 OS=Mus musculus OX=10090 GN=Lamc3 PE=1 SV=2	Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica]
OG0000001	Mus_musculus_sp_P02468_LAMC1_MOUSE sp_P02468_LAMC1_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2	Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]
OG0000002	Mus_musculus_sp_A2ATD1_ISM1_MOUSE sp_A2ATD1_ISM1_MOUSE Isthmin-1 OS=Mus musculus OX=10090 GN=Ism1 PE=1 SV=1	Coturnix_japonica_XP_015712627.1 isthmin-1 [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q03350_TSP2_MOUSE sp_Q03350_TSP2_MOUSE Thrombospondin-2 OS=Mus musculus OX=10090 GN=Thbs2 PE=1 SV=2	Coturnix_japonica_XP_015713502.1 thrombospondin-2 [Coturnix japonica]
OG0000002	Mus_musculus_sp_P35441_TSP1_MOUSE sp_P35441_TSP1_MOUSE Thrombospondin-1 OS=Mus musculus OX=10090 GN=Thbs1 PE=1 SV=1	Coturnix_japonica_XP_015720231.1 thrombospondin-1 [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q9R0G6_COMP_MOUSE sp_Q9R0G6_COMP_MOUSE Cartilage oligomeric matrix protein OS=Mus musculus OX=10090 GN=Comp PE=1 SV=2	Coturnix_japonica_XP_015741579.1 cartilage oligomeric matrix protein [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q9Z1T2_TSP4_MOUSE sp_Q9Z1T2_TSP4_MOUSE Thrombospondin-4 OS=Mus musculus OX=10090 GN=Thbs4 PE=1 SV=1	Coturnix_japonica_XP_015704105.1 thrombospondin-4 isoform X1 [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q62177_SEM3B_MOUSE sp_Q62177_SEM3B_MOUSE Semaphorin-3B OS=Mus musculus OX=10090 GN=Sema3b PE=2 SV=2	Coturnix_japonica_XP_015730130.1 semaphorin-3B isoform X2 [Coturnix japonica]
OG0000002	Mus_musculus_sp_O08665_SEM3A_MOUSE sp_O08665_SEM3A_MOUSE Semaphorin-3A OS=Mus musculus OX=10090 GN=Sema3a PE=1 SV=2	Coturnix_japonica_XP_015731584.1 semaphorin-3A isoform X1 [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q8BH34_SEM3D_MOUSE sp_Q8BH34_SEM3D_MOUSE Semaphorin-3D OS=Mus musculus OX=10090 GN=Sema3d PE=1 SV=1	Coturnix_japonica_XP_015731398.1 LOW QUALITY PROTEIN_ semaphorin-3D [Coturnix japonica]
OG0000002	Mus_musculus_sp_O88632_SEM3F_MOUSE sp_O88632_SEM3F_MOUSE Semaphorin-3F OS=Mus musculus OX=10090 GN=Sema3f PE=2 SV=2, Mus_musculus_sp_O88632_SEM3F_MOUSE sp_O88632_SEM3F_MOUSE Semaphorin-3F OS=Mus musculus OX=10090 GN=Sema3f PE=2 SV=2	Coturnix_japonica_XP_015730142.1 semaphorin-3F isoform X1 [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q62181_SEM3C_MOUSE sp_Q62181_SEM3C_MOUSE Semaphorin-3C OS=Mus musculus OX=10090 GN=Sema3c PE=1 SV=2	Coturnix_japonica_XP_015733533.1 semaphorin-3C [Coturnix japonica]
OG0000002	Mus_musculus_sp_P70275_SEM3E_MOUSE sp_P70275_SEM3E_MOUSE Semaphorin-3E OS=Mus musculus OX=10090 GN=Sema3e PE=1 SV=3	Coturnix_japonica_XP_015736068.1 semaphorin-3E [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q4LFA9_SEM3G_MOUSE sp_Q4LFA9_SEM3G_MOUSE Semaphorin-3G OS=Mus musculus OX=10090 GN=Sema3g PE=2 SV=1	Coturnix_japonica_XP_015730125.1 semaphorin-3G [Coturnix japonica]
OG0000002	Mus_musculus_sp_O09126_SEM4D_MOUSE sp_O09126_SEM4D_MOUSE Semaphorin-4D OS=Mus musculus OX=10090 GN=Sema4d PE=1 SV=2	Coturnix_japonica_XP_015704836.1 semaphorin-4D isoform X10 [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q9WUH7_SEM4G_MOUSE sp_Q9WUH7_SEM4G_MOUSE Semaphorin-4G OS=Mus musculus OX=10090 GN=Sema4g PE=1 SV=1	Coturnix_japonica_XP_015722546.1 PREDICTED_ semaphorin-4G isoform X1 [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q64151_SEM4C_MOUSE sp_Q64151_SEM4C_MOUSE Semaphorin-4C OS=Mus musculus OX=10090 GN=Sema4c PE=1 SV=1	Coturnix_japonica_XP_015738337.1 PREDICTED_ semaphorin-4C [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q9QUR8_SEM7A_MOUSE sp_Q9QUR8_SEM7A_MOUSE Semaphorin-7A OS=Mus musculus OX=10090 GN=Sema7a PE=1 SV=1	Coturnix_japonica_XP_015728181.1 PREDICTED_ semaphorin-7A isoform X1 [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q62217_SEM5A_MOUSE sp_Q62217_SEM5A_MOUSE Semaphorin-5A OS=Mus musculus OX=10090 GN=Sema5a PE=2 SV=1	Coturnix_japonica_XP_015709878.1 semaphorin-5A [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2, Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2	Coturnix_japonica_XP_015724160.1 semaphorin-5B isoform X2 [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1, Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1	Coturnix_japonica_XP_015728452.1 semaphorin-6D isoform X7 [Coturnix japonica]
OG0000002	Mus_musculus_sp_O35464_SEM6A_MOUSE sp_O35464_SEM6A_MOUSE Semaphorin-6A OS=Mus musculus OX=10090 GN=Sema6a PE=1 SV=2	Coturnix_japonica_XP_015705476.1 semaphorin-6A isoform X1 [Coturnix japonica]
OG0000002	Mus_musculus_sp_O54951_SEM6B_MOUSE sp_O54951_SEM6B_MOUSE Semaphorin-6B OS=Mus musculus OX=10090 GN=Sema6b PE=1 SV=1	Coturnix_japonica_XP_015742241.1 semaphorin-6B isoform X3 [Coturnix japonica]
OG0000002	Mus_musculus_sp_Q9WTM3_SEM6C_MOUSE sp_Q9WTM3_SEM6C_MOUSE Semaphorin-6C OS=Mus musculus OX=10090 GN=Sema6c PE=2 SV=1	Coturnix_japonica_XP_015740145.1 PREDICTED_ semaphorin-6C isoform X3 [Coturnix japonica]
OG0000002	Mus_musculus_sp_D3YXG0_HMCN1_MOUSE sp_D3YXG0_HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1, Mus_musculus_sp_D3YXG0_HMCN1_MOUSE sp_D3YXG0_HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1	Coturnix_japonica_XP_015725373.1 PREDICTED_ hemicentin-1 isoform X9 [Coturnix japonica]
OG0000003	Mus_musculus_sp_Q61361_PGCB_MOUSE sp_Q61361_PGCB_MOUSE Brevican core protein OS=Mus musculus OX=10090 GN=Bcan PE=1 SV=2	Coturnix_japonica_XP_015739942.1 brevican core protein isoform X1 [Coturnix japonica]
OG0000003	Mus_musculus_sp_P55066_NCAN_MOUSE sp_P55066_NCAN_MOUSE Neurocan core protein OS=Mus musculus OX=10090 GN=Ncan PE=1 SV=1	Coturnix_japonica_XP_015742251.2 neurocan core protein isoform X1 [Coturnix japonica]
OG0000003	Mus_musculus_sp_Q61282_PGCA_MOUSE sp_Q61282_PGCA_MOUSE Aggrecan core protein OS=Mus musculus OX=10090 GN=Acan PE=1 SV=2	Coturnix_japonica_XP_015728567.1 PREDICTED_ aggrecan core protein isoform X1 [Coturnix japonica]
OG0000003	Mus_musculus_sp_Q62059_CSPG2_MOUSE sp_Q62059_CSPG2_MOUSE Versican core protein OS=Mus musculus OX=10090 GN=Vcan PE=1 SV=2, Mus_musculus_sp_Q62059_CSPG2_MOUSE sp_Q62059_CSPG2_MOUSE Versican core protein OS=Mus musculus OX=10090 GN=Vcan PE=1 SV=2	Coturnix_japonica_XP_015705249.1 PREDICTED_ versican core protein isoform X1 [Coturnix japonica]
OG0000003	Mus_musculus_sp_Q3SXB8_COL11_MOUSE sp_Q3SXB8_COL11_MOUSE Collectin-11 OS=Mus musculus OX=10090 GN=Colec11 PE=2 SV=2	Coturnix_japonica_XP_015714842.1 PREDICTED_ collectin-11 isoform X1 [Coturnix japonica]
OG0000003	Mus_musculus_sp_P35242_SFTPA_MOUSE sp_P35242_SFTPA_MOUSE Pulmonary surfactant-associated protein A OS=Mus musculus OX=10090 GN=Sftpa1 PE=1 SV=1, Mus_musculus_sp_P50404_SFTPD_MOUSE sp_P50404_SFTPD_MOUSE Pulmonary surfactant-associated protein D OS=Mus musculus OX=10090 GN=Sftpd PE=1 SV=1, Mus_musculus_sp_P41317_MBL2_MOUSE sp_P41317_MBL2_MOUSE Mannose-binding protein C OS=Mus musculus OX=10090 GN=Mbl2 PE=1 SV=2, Mus_musculus_sp_P39039_MBL1_MOUSE sp_P39039_MBL1_MOUSE Mannose-binding protein A OS=Mus musculus OX=10090 GN=Mbl1 PE=1 SV=1	Coturnix_japonica_XP_015721592.1 mannose-binding protein [Coturnix japonica]
OG0000003	Mus_musculus_sp_P43025_TETN_MOUSE sp_P43025_TETN_MOUSE Tetranectin OS=Mus musculus OX=10090 GN=Clec3b PE=1 SV=2	Coturnix_japonica_XP_015709635.1 tetranectin [Coturnix japonica]
OG0000003	Mus_musculus_sp_Q9EPW4_CLC3A_MOUSE sp_Q9EPW4_CLC3A_MOUSE C-type lectin domain family 3 member A OS=Mus musculus OX=10090 GN=Clec3a PE=3 SV=1	Coturnix_japonica_XP_015729671.1 C-type lectin domain family 3 member A [Coturnix japonica]
OG0000003	Mus_musculus_sp_Q8K4Q8_COL12_MOUSE sp_Q8K4Q8_COL12_MOUSE Collectin-12 OS=Mus musculus OX=10090 GN=Colec12 PE=1 SV=1	Coturnix_japonica_XP_015710863.1 collectin-12 [Coturnix japonica]
OG0000003	Mus_musculus_sp_Q9D8G5_REG4_MOUSE sp_Q9D8G5_REG4_MOUSE Regenerating islet-derived protein 4 OS=Mus musculus OX=10090 GN=Reg4 PE=2 SV=1, Mus_musculus_sp_O09049_REG3G_MOUSE sp_O09049_REG3G_MOUSE Regenerating islet-derived protein 3-gamma OS=Mus musculus OX=10090 GN=Reg3g PE=1 SV=1, Mus_musculus_sp_P43137_LIT1_MOUSE sp_P43137_LIT1_MOUSE Lithostathine-1 OS=Mus musculus OX=10090 GN=Reg1 PE=1 SV=1, Mus_musculus_sp_Q08731_LIT2_MOUSE sp_Q08731_LIT2_MOUSE Lithostathine-2 OS=Mus musculus OX=10090 GN=Reg2 PE=1 SV=1, Mus_musculus_sp_Q80XD9_CLC2E_MOUSE sp_Q80XD9_CLC2E_MOUSE C-type lectin domain family 2 member E OS=Mus musculus OX=10090 GN=Clec2e PE=2 SV=2, Mus_musculus_sp_Q91V08_CLC2D_MOUSE sp_Q91V08_CLC2D_MOUSE C-type lectin domain family 2 member D OS=Mus musculus OX=10090 GN=Clec2d PE=1 SV=1, Mus_musculus_sp_Q6QLQ4_CLC7A_MOUSE sp_Q6QLQ4_CLC7A_MOUSE C-type lectin domain family 7 member A OS=Mus musculus OX=10090 GN=Clec7a PE=1 SV=3	Coturnix_japonica_XP_015703924.1 CD209 antigen-like protein E isoform X2 [Coturnix japonica]
OG0000004	Mus_musculus_sp_Q8R2Z5_VWA1_MOUSE sp_Q8R2Z5_VWA1_MOUSE von Willebrand factor A domain-containing protein 1 OS=Mus musculus OX=10090 GN=Vwa1 PE=1 SV=1	Coturnix_japonica_XP_015737645.1 von Willebrand factor A domain-containing protein 1 [Coturnix japonica]
OG0000004	Mus_musculus_sp_Q63870_CO7A1_MOUSE sp_Q63870_CO7A1_MOUSE Collagen alpha-1_VII_ chain OS=Mus musculus OX=10090 GN=Col7a1 PE=1 SV=3	Coturnix_japonica_XP_015730555.1 collagen alpha-1_VII_ chain isoform X1 [Coturnix japonica]
OG0000004	Mus_musculus_sp_Q923P0_COKA1_MOUSE sp_Q923P0_COKA1_MOUSE Collagen alpha-1_XX_ chain OS=Mus musculus OX=10090 GN=Col20a1 PE=2 SV=3	Coturnix_japonica_XP_015737180.1 collagen alpha-1_XX_ chain [Coturnix japonica]
OG0000004	Mus_musculus_sp_Q60847_COCA1_MOUSE sp_Q60847_COCA1_MOUSE Collagen alpha-1_XII_ chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3, Mus_musculus_sp_Q60847_COCA1_MOUSE sp_Q60847_COCA1_MOUSE Collagen alpha-1_XII_ chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3	Coturnix_japonica_XP_015714536.1 collagen alpha-1_XII_ chain isoform X1 [Coturnix japonica]
OG0000004	Mus_musculus_sp_Q80X19_COEA1_MOUSE sp_Q80X19_COEA1_MOUSE Collagen alpha-1_XIV_ chain OS=Mus musculus OX=10090 GN=Col14a1 PE=1 SV=2	Coturnix_japonica_XP_015711669.1 PREDICTED_ collagen alpha-1_XIV_ chain isoform X1 [Coturnix japonica]
OG0000004	Mus_musculus_sp_Q70UZ7_VWA2_MOUSE sp_Q70UZ7_VWA2_MOUSE von Willebrand factor A domain-containing protein 2 OS=Mus musculus OX=10090 GN=Vwa2 PE=1 SV=1	Coturnix_japonica_XP_015722855.1 von Willebrand factor A domain-containing protein 2 isoform X2 [Coturnix japonica]
OG0000004	Mus_musculus_sp_A6H584_CO6A5_MOUSE sp_A6H584_CO6A5_MOUSE Collagen alpha-5_VI_ chain OS=Mus musculus OX=10090 GN=Col6a5 PE=1 SV=4, Mus_musculus_sp_Q8C6K9_CO6A6_MOUSE sp_Q8C6K9_CO6A6_MOUSE Collagen alpha-6_VI_ chain OS=Mus musculus OX=10090 GN=Col6a6 PE=1 SV=2, Mus_musculus_sp_Q8C6K9_CO6A6_MOUSE sp_Q8C6K9_CO6A6_MOUSE Collagen alpha-6_VI_ chain OS=Mus musculus OX=10090 GN=Col6a6 PE=1 SV=2	Coturnix_japonica_XP_015709514.1 collagen alpha-6_VI_ chain [Coturnix japonica]
OG0000004	Mus_musculus_sp_A2AX52_CO6A4_MOUSE sp_A2AX52_CO6A4_MOUSE Collagen alpha-4_VI_ chain OS=Mus musculus OX=10090 GN=Col6a4 PE=1 SV=2	Coturnix_japonica_XP_015723563.1 collagen alpha-3_VI_ chain isoform X1 [Coturnix japonica]
OG0000004	Mus_musculus_sp_Q8VHI5_VITRN_MOUSE sp_Q8VHI5_VITRN_MOUSE Vitrin OS=Mus musculus OX=10090 GN=Vit PE=1 SV=2	Coturnix_japonica_XP_015713068.1 vitrin isoform X2 [Coturnix japonica]
OG0000004	Mus_musculus_sp_Q62507_COCH_MOUSE sp_Q62507_COCH_MOUSE Cochlin OS=Mus musculus OX=10090 GN=Coch PE=1 SV=2	Coturnix_japonica_XP_015720468.1 cochlin [Coturnix japonica]
OG0000004	Mus_musculus_sp_O35701_MATN3_MOUSE sp_O35701_MATN3_MOUSE Matrilin-3 OS=Mus musculus OX=10090 GN=Matn3 PE=1 SV=2	Coturnix_japonica_XP_015715058.1 matrilin-3 [Coturnix japonica]
OG0000004	Mus_musculus_sp_O08746_MATN2_MOUSE sp_O08746_MATN2_MOUSE Matrilin-2 OS=Mus musculus OX=10090 GN=Matn2 PE=2 SV=2	Coturnix_japonica_XP_015711574.1 matrilin-2 isoform X1 [Coturnix japonica]
OG0000004	Mus_musculus_sp_P51942_MATN1_MOUSE sp_P51942_MATN1_MOUSE Cartilage matrix protein OS=Mus musculus OX=10090 GN=Matn1 PE=2 SV=2	Coturnix_japonica_XP_015738684.1 cartilage matrix protein [Coturnix japonica]
OG0000004	Mus_musculus_sp_O89029_MATN4_MOUSE sp_O89029_MATN4_MOUSE Matrilin-4 OS=Mus musculus OX=10090 GN=Matn4 PE=1 SV=1	Coturnix_japonica_XP_015737175.1 PREDICTED_ matrilin-4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737176.1 PREDICTED_ matrilin-4 isoform X2 [Coturnix japonica]
OG0000004	Mus_musculus_sp_Q2UY11_COSA1_MOUSE sp_Q2UY11_COSA1_MOUSE Collagen alpha-1_XXVIII_ chain OS=Mus musculus OX=10090 GN=Col28a1 PE=2 SV=1	Coturnix_japonica_XP_015709146.1 collagen alpha-1_XXVIII_ chain [Coturnix japonica]
OG0000005	Mus_musculus_sp_P28825_MEP1A_MOUSE sp_P28825_MEP1A_MOUSE Meprin A subunit alpha OS=Mus musculus OX=10090 GN=Mep1a PE=1 SV=4	Coturnix_japonica_XP_015715407.1 meprin A subunit alpha [Coturnix japonica]
OG0000005	Mus_musculus_sp_Q6HA09_ASTL_MOUSE sp_Q6HA09_ASTL_MOUSE Astacin-like metalloendopeptidase OS=Mus musculus OX=10090 GN=Astl PE=1 SV=3	Coturnix_japonica_XP_015720065.1 astacin-like metalloendopeptidase [Coturnix japonica]
OG0000006	Mus_musculus_sp_Q07968_F13B_MOUSE sp_Q07968_F13B_MOUSE Coagulation factor XIII B chain OS=Mus musculus OX=10090 GN=F13b PE=1 SV=2	Coturnix_japonica_XP_015724966.1 PREDICTED_ coagulation factor XIII B chain-like isoform X3 [Coturnix japonica]
OG0000006	Mus_musculus_sp_Q8R054_SRPX2_MOUSE sp_Q8R054_SRPX2_MOUSE Sushi repeat-containing protein SRPX2 OS=Mus musculus OX=10090 GN=Srpx2 PE=1 SV=2	Coturnix_japonica_XP_015715861.1 sushi repeat-containing protein SRPX2 [Coturnix japonica]
OG0000006	Mus_musculus_sp_Q9R0M3_SRPX_MOUSE sp_Q9R0M3_SRPX_MOUSE Sushi-repeat-containing protein SRPX OS=Mus musculus OX=10090 GN=Srpx PE=2 SV=1	Coturnix_japonica_XP_015740022.1 sushi repeat-containing protein SRPX isoform X1 [Coturnix japonica]
OG0000006	Mus_musculus_sp_A2AVA0_SVEP1_MOUSE sp_A2AVA0_SVEP1_MOUSE Sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 OS=Mus musculus OX=10090 GN=Svep1 PE=1 SV=1	Coturnix_japonica_XP_015705358.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 isoform X2 [Coturnix japonica]
OG0000007	Mus_musculus_sp_Q80V70_MEGF6_MOUSE sp_Q80V70_MEGF6_MOUSE Multiple epidermal growth factor-like domains protein 6 OS=Mus musculus OX=10090 GN=Megf6 PE=2 SV=3, Mus_musculus_sp_Q8C088_EGFEM_MOUSE sp_Q8C088_EGFEM_MOUSE EGF-like and EMI domain-containing protein 1 OS=Mus musculus OX=10090 GN=Egfem1 PE=2 SV=1	Coturnix_japonica_XP_015738107.1 PREDICTED_ LOW QUALITY PROTEIN_ multiple epidermal growth factor-like domains protein 6 [Coturnix japonica]
OG0000007	Mus_musculus_sp_Q61592_GAS6_MOUSE sp_Q61592_GAS6_MOUSE Growth arrest-specific protein 6 OS=Mus musculus OX=10090 GN=Gas6 PE=2 SV=2	Coturnix_japonica_XP_015705002.1 growth arrest-specific protein 6 [Coturnix japonica]
