Orthogroup	Chordata_Vertebrata_Mus_musculus	Chordata_Vertebrata_Danio_rerio
OG0000000	Mus_musculus_sp_Q9WVH6_ANGP4_MOUSE sp_Q9WVH6_ANGP4_MOUSE Angiopoietin-4 OS=Mus musculus OX=10090 GN=Angpt4 PE=1 SV=1	Danio_rerio_tr_X1WC45_X1WC45_DANRE tr|X1WC45|X1WC45_DANRE Angiopoietin 4 OS=Danio rerio OX=7955 GN=angpt4 PE=4 SV=1
OG0000000	Mus_musculus_sp_O35608_ANGP2_MOUSE sp_O35608_ANGP2_MOUSE Angiopoietin-2 OS=Mus musculus OX=10090 GN=Angpt2 PE=2 SV=2	Danio_rerio_tr_I6Z0F9_I6Z0F9_DANRE tr|I6Z0F9|I6Z0F9_DANRE Angiopoietin 2-like protein OS=Danio rerio OX=7955 GN=ang2-1 PE=2 SV=1
OG0000000	Mus_musculus_sp_O08538_ANGP1_MOUSE sp_O08538_ANGP1_MOUSE Angiopoietin-1 OS=Mus musculus OX=10090 GN=Angpt1 PE=1 SV=2	Danio_rerio_tr_Q90Z19_Q90Z19_DANRE tr|Q90Z19|Q90Z19_DANRE Angiopoietin-1 OS=Danio rerio OX=7955 GN=ang1 PE=2 SV=1
OG0000000	Mus_musculus_sp_Q9Z1P8_ANGL4_MOUSE sp_Q9Z1P8_ANGL4_MOUSE Angiopoietin-related protein 4 OS=Mus musculus OX=10090 GN=Angptl4 PE=1 SV=1, Mus_musculus_sp_Q9R182_ANGL3_MOUSE sp_Q9R182_ANGL3_MOUSE Angiopoietin-related protein 3 OS=Mus musculus OX=10090 GN=Angptl3 PE=1 SV=1	Danio_rerio_tr_A0A8N7UZN6_A0A8N7UZN6_DANRE tr|A0A8N7UZN6|A0A8N7UZN6_DANRE Angiopoietin-like 3 OS=Danio rerio OX=7955 GN=fb60e11 PE=4 SV=1
OG0000000	Mus_musculus_sp_P12804_FGL2_MOUSE sp_P12804_FGL2_MOUSE Fibroleukin OS=Mus musculus OX=10090 GN=Fgl2 PE=1 SV=1	Danio_rerio_tr_K7DY96_K7DY96_DANRE tr|K7DY96|K7DY96_DANRE Fibrinogen-like 2b OS=Danio rerio OX=7955 GN=fgl2b PE=4 SV=1, Danio_rerio_tr_Q5TYU3_Q5TYU3_DANRE tr|Q5TYU3|Q5TYU3_DANRE Fibrinogen-like 2 OS=Danio rerio OX=7955 GN=fgl2 PE=1 SV=1
OG0000001	Mus_musculus_sp_Q9JI33_NET4_MOUSE sp_Q9JI33_NET4_MOUSE Netrin-4 OS=Mus musculus OX=10090 GN=Ntn4 PE=1 SV=2	Danio_rerio_tr_A0A0R4IFE9_A0A0R4IFE9_DANRE tr|A0A0R4IFE9|A0A0R4IFE9_DANRE Netrin 4 OS=Danio rerio OX=7955 GN=ntn4 PE=4 SV=1, Danio_rerio_tr_Q32SK8_Q32SK8_DANRE tr|Q32SK8|Q32SK8_DANRE Netrin 4 OS=Danio rerio OX=7955 GN=ntn4 PE=2 SV=1
OG0000001	Mus_musculus_sp_Q61292_LAMB2_MOUSE sp_Q61292_LAMB2_MOUSE Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2	Danio_rerio_tr_B7ZDA6_B7ZDA6_DANRE tr|B7ZDA6|B7ZDA6_DANRE Laminin subunit beta-2 precursor OS=Danio rerio OX=7955 GN=si_dkey-32e6.2 PE=1 SV=1
OG0000001	Mus_musculus_sp_P02469_LAMB1_MOUSE sp_P02469_LAMB1_MOUSE Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=3	Danio_rerio_tr_F1REL9_F1REL9_DANRE tr|F1REL9|F1REL9_DANRE Laminin_ beta 1b OS=Danio rerio OX=7955 GN=si_dkey-183c16.5 PE=4 SV=1, Danio_rerio_tr_Q8JHV7_Q8JHV7_DANRE tr|Q8JHV7|Q8JHV7_DANRE Laminin beta 1 OS=Danio rerio OX=7955 GN=lamb1 PE=1 SV=1
OG0000001	Mus_musculus_sp_P11276_FINC_MOUSE sp_P11276_FINC_MOUSE Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=4	Danio_rerio_tr_Q6JAN2_Q6JAN2_DANRE tr|Q6JAN2|Q6JAN2_DANRE Fibronectin OS=Danio rerio OX=7955 GN=wu_fb03c02 PE=1 SV=1, Danio_rerio_tr_A2CEW3_A2CEW3_DANRE tr|A2CEW3|A2CEW3_DANRE Fibronectin OS=Danio rerio OX=7955 GN=cb1057 PE=1 SV=2, Danio_rerio_tr_B0S602_B0S602_DANRE tr|B0S602|B0S602_DANRE Fibronectin OS=Danio rerio OX=7955 GN=Fn PE=1 SV=1
OG0000001	Mus_musculus_sp_Q8R4F1_NTNG2_MOUSE sp_Q8R4F1_NTNG2_MOUSE Netrin-G2 OS=Mus musculus OX=10090 GN=Ntng2 PE=1 SV=2	Danio_rerio_tr_I3IT80_I3IT80_DANRE tr|I3IT80|I3IT80_DANRE Netrin g2b OS=Danio rerio OX=7955 GN=ntng2b PE=4 SV=1
OG0000001	Mus_musculus_sp_O09118_NET1_MOUSE sp_O09118_NET1_MOUSE Netrin-1 OS=Mus musculus OX=10090 GN=Ntn1 PE=1 SV=3	Danio_rerio_tr_O42140_O42140_DANRE tr|O42140|O42140_DANRE Netrin-1 OS=Danio rerio OX=7955 GN=ntn2 PE=2 SV=1
OG0000001	Mus_musculus_sp_Q9R0B6_LAMC3_MOUSE sp_Q9R0B6_LAMC3_MOUSE Laminin subunit gamma-3 OS=Mus musculus OX=10090 GN=Lamc3 PE=1 SV=2	Danio_rerio_tr_F1QPJ1_F1QPJ1_DANRE tr|F1QPJ1|F1QPJ1_DANRE Laminin subunit gamma-3 OS=Danio rerio OX=7955 GN=lamc3 PE=4 SV=1
OG0000001	Mus_musculus_sp_P02468_LAMC1_MOUSE sp_P02468_LAMC1_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2	Danio_rerio_sp_Q1LVF0_LAMC1_DANRE sp|Q1LVF0|LAMC1_DANRE Laminin subunit gamma-1 OS=Danio rerio OX=7955 GN=lamc1 PE=2 SV=2
OG0000002	Mus_musculus_sp_A2ATD1_ISM1_MOUSE sp_A2ATD1_ISM1_MOUSE Isthmin-1 OS=Mus musculus OX=10090 GN=Ism1 PE=1 SV=1	Danio_rerio_sp_Q5EGE1_ISM1_DANRE sp|Q5EGE1|ISM1_DANRE Isthmin-1 OS=Danio rerio OX=7955 GN=ism1 PE=2 SV=1
OG0000002	Mus_musculus_sp_Q03350_TSP2_MOUSE sp_Q03350_TSP2_MOUSE Thrombospondin-2 OS=Mus musculus OX=10090 GN=Thbs2 PE=1 SV=2	Danio_rerio_tr_A0A8M3B7K3_A0A8M3B7K3_DANRE tr|A0A8M3B7K3|A0A8M3B7K3_DANRE Thrombospondin 2b OS=Danio rerio OX=7955 GN=thbs2b PE=3 SV=1, Danio_rerio_tr_F8W5Z7_F8W5Z7_DANRE tr|F8W5Z7|F8W5Z7_DANRE Thrombospondin 2a OS=Danio rerio OX=7955 GN=thbs2a PE=3 SV=1
OG0000002	Mus_musculus_sp_P35441_TSP1_MOUSE sp_P35441_TSP1_MOUSE Thrombospondin-1 OS=Mus musculus OX=10090 GN=Thbs1 PE=1 SV=1	Danio_rerio_tr_F1QL35_F1QL35_DANRE tr|F1QL35|F1QL35_DANRE Thrombospondin 1b OS=Danio rerio OX=7955 GN=thbs1b PE=3 SV=2, Danio_rerio_tr_F1QEE7_F1QEE7_DANRE tr|F1QEE7|F1QEE7_DANRE Thrombospondin 1b OS=Danio rerio OX=7955 GN=thbs1b PE=3 SV=2
OG0000002	Mus_musculus_sp_Q9R0G6_COMP_MOUSE sp_Q9R0G6_COMP_MOUSE Cartilage oligomeric matrix protein OS=Mus musculus OX=10090 GN=Comp PE=1 SV=2	Danio_rerio_tr_A0A0G2KDJ5_A0A0G2KDJ5_DANRE tr|A0A0G2KDJ5|A0A0G2KDJ5_DANRE Cartilage oligomeric matrix protein OS=Danio rerio OX=7955 GN=Tsp-4b PE=1 SV=1
OG0000002	Mus_musculus_sp_Q05895_TSP3_MOUSE sp_Q05895_TSP3_MOUSE Thrombospondin-3 OS=Mus musculus OX=10090 GN=Thbs3 PE=1 SV=2	Danio_rerio_sp_Q1L8P7_TSP3B_DANRE sp|Q1L8P7|TSP3B_DANRE Thrombospondin-3b OS=Danio rerio OX=7955 GN=thbs3b PE=3 SV=1, Danio_rerio_sp_Q8JHW2_TSP3A_DANRE sp|Q8JHW2|TSP3A_DANRE Thrombospondin-3a OS=Danio rerio OX=7955 GN=thbs3a PE=2 SV=2
OG0000002	Mus_musculus_sp_Q9Z1T2_TSP4_MOUSE sp_Q9Z1T2_TSP4_MOUSE Thrombospondin-4 OS=Mus musculus OX=10090 GN=Thbs4 PE=1 SV=1	Danio_rerio_tr_A0A0R4I9N1_A0A0R4I9N1_DANRE tr|A0A0R4I9N1|A0A0R4I9N1_DANRE Thrombospondin 4a OS=Danio rerio OX=7955 GN=zgc_175276 PE=3 SV=1, Danio_rerio_sp_Q8JGW0_TSP4B_DANRE sp|Q8JGW0|TSP4B_DANRE Thrombospondin-4-B OS=Danio rerio OX=7955 GN=thbs4b PE=2 SV=1
OG0000002	Mus_musculus_sp_Q62177_SEM3B_MOUSE sp_Q62177_SEM3B_MOUSE Semaphorin-3B OS=Mus musculus OX=10090 GN=Sema3b PE=2 SV=2	Danio_rerio_tr_A0A8M1NJX9_A0A8M1NJX9_DANRE tr|A0A8M1NJX9|A0A8M1NJX9_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3B OS=Danio rerio OX=7955 GN=si_ch211-106g4.2 PE=3 SV=1
OG0000002	Mus_musculus_sp_O08665_SEM3A_MOUSE sp_O08665_SEM3A_MOUSE Semaphorin-3A OS=Mus musculus OX=10090 GN=Sema3a PE=1 SV=2	Danio_rerio_sp_Q9W7J1_SE3AA_DANRE sp|Q9W7J1|SE3AA_DANRE Semaphorin-3aa OS=Danio rerio OX=7955 GN=sema3aa PE=2 SV=1, Danio_rerio_sp_Q9W686_SE3AB_DANRE sp|Q9W686|SE3AB_DANRE Semaphorin-3ab OS=Danio rerio OX=7955 GN=sema3ab PE=2 SV=1
OG0000002	Mus_musculus_sp_Q8BH34_SEM3D_MOUSE sp_Q8BH34_SEM3D_MOUSE Semaphorin-3D OS=Mus musculus OX=10090 GN=Sema3d PE=1 SV=1	Danio_rerio_tr_E9QD84_E9QD84_DANRE tr|E9QD84|E9QD84_DANRE Semaphorin-3D OS=Danio rerio OX=7955 GN=sema2 PE=3 SV=2, Danio_rerio_sp_Q9W6G6_SEM3D_DANRE sp|Q9W6G6|SEM3D_DANRE Semaphorin-3D OS=Danio rerio OX=7955 GN=sema3d PE=2 SV=1
OG0000002	Mus_musculus_sp_O88632_SEM3F_MOUSE sp_O88632_SEM3F_MOUSE Semaphorin-3F OS=Mus musculus OX=10090 GN=Sema3f PE=2 SV=2, Mus_musculus_sp_O88632_SEM3F_MOUSE sp_O88632_SEM3F_MOUSE Semaphorin-3F OS=Mus musculus OX=10090 GN=Sema3f PE=2 SV=2	Danio_rerio_tr_F1QPG9_F1QPG9_DANRE tr|F1QPG9|F1QPG9_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Fa isoform X1 OS=Danio rerio OX=7955 GN=wu_fb92d12 PE=3 SV=1, Danio_rerio_tr_Q5ID24_Q5ID24_DANRE tr|Q5ID24|Q5ID24_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Fa precursor OS=Danio rerio OX=7955 GN=sema3Fa PE=2 SV=1, Danio_rerio_tr_E7F6C0_E7F6C0_DANRE tr|E7F6C0|E7F6C0_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3Fb OS=Danio rerio OX=7955 GN=sema3fb PE=3 SV=1
OG0000002	Mus_musculus_sp_Q62181_SEM3C_MOUSE sp_Q62181_SEM3C_MOUSE Semaphorin-3C OS=Mus musculus OX=10090 GN=Sema3c PE=1 SV=2	Danio_rerio_tr_A0A1A8AQ50_A0A1A8AQ50_NOTFU tr|A0A1A8AQ50|A0A1A8AQ50_NOTFU Semaphorin 3ga OS=Nothobranchius furzeri OX=105023 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8EGA6_A0A1A8EGA6_9TELE tr|A0A1A8EGA6|A0A1A8EGA6_9TELE Semaphorin 3ga OS=Nothobranchius kadleci OX=1051664 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8MXQ7_A0A1A8MXQ7_9TELE tr|A0A1A8MXQ7|A0A1A8MXQ7_9TELE Semaphorin 3ga OS=Nothobranchius pienaari OX=704102 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8QUT7_A0A1A8QUT7_9TELE tr|A0A1A8QUT7|A0A1A8QUT7_9TELE Semaphorin 3ga OS=Nothobranchius rachovii OX=451742 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8J989_A0A1A8J989_NOTKU tr|A0A1A8J989|A0A1A8J989_NOTKU Semaphorin 3ga OS=Nothobranchius kuhntae OX=321403 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8G211_A0A1A8G211_9TELE tr|A0A1A8G211|A0A1A8G211_9TELE Semaphorin 3ga OS=Nothobranchius korthausae OX=1143690 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A1L5C9_A1L5C9_DANRE tr|A1L5C9|A1L5C9_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Ga isoform X1 OS=Danio rerio OX=7955 GN=sema3ga PE=2 SV=1, Danio_rerio_tr_Q5ID22_Q5ID22_DANRE tr|Q5ID22|Q5ID22_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Ga precursor OS=Danio rerio OX=7955 GN=sema3Ga PE=2 SV=1, Danio_rerio_tr_B0S5G6_B0S5G6_DANRE tr|B0S5G6|B0S5G6_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Gb isoform X2 OS=Danio rerio OX=7955 GN=sema3gb PE=1 SV=1, Danio_rerio_tr_Q5ID21_Q5ID21_DANRE tr|Q5ID21|Q5ID21_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Gb precursor OS=Danio rerio OX=7955 GN=sema3Gb PE=1 SV=1
OG0000002	Mus_musculus_sp_P70275_SEM3E_MOUSE sp_P70275_SEM3E_MOUSE Semaphorin-3E OS=Mus musculus OX=10090 GN=Sema3e PE=1 SV=3	Danio_rerio_tr_Q1LYS1_Q1LYS1_DANRE tr|Q1LYS1|Q1LYS1_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3E OS=Danio rerio OX=7955 GN=fj37c11 PE=3 SV=1
OG0000002	Mus_musculus_sp_Q4LFA9_SEM3G_MOUSE sp_Q4LFA9_SEM3G_MOUSE Semaphorin-3G OS=Mus musculus OX=10090 GN=Sema3g PE=2 SV=1	Danio_rerio_tr_M9MM97_M9MM97_DANRE tr|M9MM97|M9MM97_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3bl OS=Danio rerio OX=7955 GN=fc22d04 PE=3 SV=1
OG0000002	Mus_musculus_sp_Q62178_SEM4A_MOUSE sp_Q62178_SEM4A_MOUSE Semaphorin-4A OS=Mus musculus OX=10090 GN=Sema4a PE=1 SV=2	Danio_rerio_tr_F1R501_F1R501_DANRE tr|F1R501|F1R501_DANRE Sema domain_ immunoglobulin domain _Ig__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 4Ab OS=Danio rerio OX=7955 GN=sema4ab PE=3 SV=1
OG0000002	Mus_musculus_sp_Q9Z123_SEM4F_MOUSE sp_Q9Z123_SEM4F_MOUSE Semaphorin-4F OS=Mus musculus OX=10090 GN=Sema4f PE=1 SV=2, Mus_musculus_sp_O09126_SEM4D_MOUSE sp_O09126_SEM4D_MOUSE Semaphorin-4D OS=Mus musculus OX=10090 GN=Sema4d PE=1 SV=2, Mus_musculus_sp_Q9WUH7_SEM4G_MOUSE sp_Q9WUH7_SEM4G_MOUSE Semaphorin-4G OS=Mus musculus OX=10090 GN=Sema4g PE=1 SV=1, Mus_musculus_sp_Q64151_SEM4C_MOUSE sp_Q64151_SEM4C_MOUSE Semaphorin-4C OS=Mus musculus OX=10090 GN=Sema4c PE=1 SV=1	Danio_rerio_tr_F1QF70_F1QF70_DANRE tr|F1QF70|F1QF70_DANRE Sema domain_ immunoglobulin domain _Ig__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 4C OS=Danio rerio OX=7955 GN=sc_d411 PE=3 SV=1, Danio_rerio_tr_A4JYS4_A4JYS4_DANRE tr|A4JYS4|A4JYS4_DANRE Semaphorin-4C precursor OS=Danio rerio OX=7955 GN=sc_d411 PE=2 SV=1
OG0000002	Mus_musculus_sp_Q9QUR8_SEM7A_MOUSE sp_Q9QUR8_SEM7A_MOUSE Semaphorin-7A OS=Mus musculus OX=10090 GN=Sema7a PE=1 SV=1	Danio_rerio_tr_X1WHP4_X1WHP4_DANRE tr|X1WHP4|X1WHP4_DANRE Semaphorin 7A OS=Danio rerio OX=7955 GN=fc47g07 PE=4 SV=1, Danio_rerio_tr_E7FBE1_E7FBE1_DANRE tr|E7FBE1|E7FBE1_DANRE Semaphorin 7A OS=Danio rerio OX=7955 GN=fc47g07 PE=3 SV=1
OG0000002	Mus_musculus_sp_Q62217_SEM5A_MOUSE sp_Q62217_SEM5A_MOUSE Semaphorin-5A OS=Mus musculus OX=10090 GN=Sema5a PE=2 SV=1	Danio_rerio_tr_A0A0R4IMM9_A0A0R4IMM9_DANRE tr|A0A0R4IMM9|A0A0R4IMM9_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5A OS=Danio rerio OX=7955 GN=wu_fa95e03 PE=4 SV=1, Danio_rerio_tr_F1R9L1_F1R9L1_DANRE tr|F1R9L1|F1R9L1_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5A OS=Danio rerio OX=7955 GN=wu_fa95e03 PE=4 SV=3
OG0000002	Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2, Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2	Danio_rerio_tr_F1QPQ6_F1QPQ6_DANRE tr|F1QPQ6|F1QPQ6_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5Ba OS=Danio rerio OX=7955 GN=sema5ba PE=4 SV=1, Danio_rerio_tr_A0A8M1Q1V7_A0A8M1Q1V7_DANRE tr|A0A8M1Q1V7|A0A8M1Q1V7_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5Bb OS=Danio rerio OX=7955 GN=sema5bb PE=4 SV=1
OG0000002	Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1, Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1	Danio_rerio_tr_A3KPS4_A3KPS4_DANRE tr|A3KPS4|A3KPS4_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_A3KPS3_A3KPS3_DANRE tr|A3KPS3|A3KPS3_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1
OG0000002	Mus_musculus_sp_O35464_SEM6A_MOUSE sp_O35464_SEM6A_MOUSE Semaphorin-6A OS=Mus musculus OX=10090 GN=Sema6a PE=1 SV=2	Danio_rerio_tr_Q6P7E1_Q6P7E1_DANRE tr|Q6P7E1|Q6P7E1_DANRE Semaphorin-6A precursor OS=Danio rerio OX=7955 GN=zgc_66106 PE=2 SV=1
OG0000002	Mus_musculus_sp_Q9WTM3_SEM6C_MOUSE sp_Q9WTM3_SEM6C_MOUSE Semaphorin-6C OS=Mus musculus OX=10090 GN=Sema6c PE=2 SV=1	Danio_rerio_tr_B8JMB1_B8JMB1_DANRE tr|B8JMB1|B8JMB1_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D OS=Danio rerio OX=7955 GN=wu_fi06a12 PE=4 SV=1
